;Directives[Note 1];Conditionals;Atomic groups[Note 2];Named capture[Note 3];Comments;Embedded code;Unicode property support [20];Balancing groups[Note 4];Variable-length look-behinds[Note 5];
Boost.Regex;Yes;Yes;Yes;Yes;Yes;No;Some[Note 6];No;No;
Boost.Xpressive;Yes;No;Yes;Yes;Yes;No;No;No;No;
CL-PPCRE;Yes;Yes;Yes;Yes;Yes;Yes;Some[Note 6];No;No;
EmEditor;Yes;Yes;?;?;Yes;No;?;No;No;
FREJ;No;No;Yes;Yes;Yes;No;?;No;No;
GLib/GRegex;Yes;Yes;Yes;Yes;Yes;No;Some[Note 6];No;No;
GNU grep;Yes;Yes;?;Yes;Yes;No;No;No;No;
Haskell;?;?;?;?;?;No;No;No;No;
Helios RXPF;Yes;Yes;No;Yes;Yes;No;No;No;No;
ICU Regex;Yes;No;Yes;Yes[Note 7];Yes;No;Yes;No;No;
Java;Yes;No;Yes;Yes[Note 8];Yes;No;Some[Note 6];No;No;
JavaScript (ECMAScript);No;No;No;No;No;No;No;No;No;
JGsoft;Yes;Yes;Yes;Yes;Yes;No;Some[Note 6];No;Yes;
Lua;No;No;No;No;No;No;No;No;No;
.NET;Yes;Yes;Yes;Yes;Yes;No;Some[Note 6];Yes;Yes;
OCaml;No;No;No;No;No;No;No;No;No;
OmniOutliner 3.6.2;?;?;?;?;No;No;?;No;No;
PCRE;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;
Perl;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;
PHP;Yes;Yes;Yes;Yes;Yes;No;No;No;No;
Python;Yes;Yes;Yes[Note 9];Yes;Yes;No;Yes[Note 10];No;Yes[Note 9];
Qt/QRegExp;No;No;No;No;No;No;No;No;No;
RE2;Yes;No;?;Yes;No;No;Some[Note 6];No;No;
Ruby;Yes;Yes;Yes;Yes;Yes;Yes;Some[Note 6];No;No;
Tcl;Yes;No;Yes;No;Yes;No;Yes;No;No;
TRE;Yes;No;No;No;Yes;No;?;No;No;
Vim;Yes;No;Yes;No;No;No;No;No;Yes;
RGX;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;
XRegExp;Leading only;No;No;Yes;Yes;No;Yes;No;No;
