;Windows;macOS;Linux;BSD;UNIX;AmigaOS;z/OS;iOS;Android;OpenVMS;
4th Dimension;Yes;Yes;No;No;No;No;No;No;No;No;
ADABAS;Yes;No;Yes;No;Yes;No;Yes;No;No;No;
Adaptive Server Enterprise;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;No;
Advantage Database Server;Yes;No;Yes;No;No;No;No;No;No;No;
Altibase;Yes;No;Yes;No;Yes;No;No;No;No;No;
Apache Derby;Yes;Yes;Yes;Yes;Yes;No;Yes;?;No;No;
ClustrixDB;No;No;Yes;No;Yes;No;No;No;No;No;
CUBRID;Yes;Partial;Yes;No;No;No;No;No;No;No;
DB2;Yes;Yes (Express C);Yes;No;Yes;No;Yes;Yes;No;No;
Empress Embedded Database;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;No;
EXASolution;No;No;Yes;No;No;No;No;No;No;No;
FileMaker;Yes;Yes;Yes;No;No;No;No;Yes;No;No;
Firebird;Yes;Yes;Yes;Yes;Yes;No;Maybe;No;Yes[33];No;
HSQLDB;Yes;Yes;Yes;Yes;Yes;No;Yes;?;?;No;
H2;Yes;Yes;Yes;Yes;Yes;No;Yes;?;Yes;No;
Informix Dynamic Server;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;
Ingres;Yes;Yes;Yes;Yes;Yes;No;Partial;No;No;Yes[34];
InterBase;Yes;Yes;Yes;No;Yes (Solaris);No;No;Yes;Yes;No;
Linter SQL RDBMS;Yes;Yes;Yes;Yes;Yes;No;Under Linux on z Systems;Yes;Yes;Yes;
LucidDB;Yes;Yes;Yes;No;No;No;No;No;No;No;
MariaDB;Yes;Yes[35];Yes;Yes;Yes;No;No;?;Yes[36];No;
MaxDB;Yes;No;Yes;No;Yes;No;Maybe;No;No;No;
Microsoft Access (JET);Yes;No;No;No;No;No;No;No;No;No;
Microsoft Visual Foxpro;Yes;No;No;No;No;No;No;No;No;No;
Microsoft SQL Server;Yes;No;Yes[37];No;No;No;No;No;No;No;
Microsoft SQL Server Compact (Embedded Database);Yes;No;No;No;No;No;No;No;No;No;
Mimer SQL;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;
MonetDB;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;
MySQL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes[38];No;
Omnis Studio;Yes;Yes;Yes;No;No;No;No;No;No;No;
OpenBase SQL;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;
OpenEdge;Yes;No;Yes;No;Yes;No;No;No;No;No;
OpenLink Virtuoso;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;
Oracle;Yes;Yes;Yes;No;Yes;No;Yes;No;No;Yes;
Oracle Rdb;No;No;No;No;No;No;No;No;No;Yes;
Pervasive PSQL;Yes;Yes (OEM only);Yes;No;No;No;No;No;No;No;
Polyhedra;Yes;No;Yes;No;Yes;No;No;No;No;No;
PostgreSQL;Yes;Yes;Yes;Yes;Yes;Yes (MorphOS)[39];Under Linux on z Systems[40];No;Yes;No;
R:Base;Yes;No;No;No;No;No;No;No;No;No;
Raima Database Manager;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;
RDM Server;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;
SAP HANA;Yes;No;Yes;No;No;No;No;No;No;No;
solidDB;Yes;No;Yes;No;Yes;No;Under Linux on z Systems;No;No;No;
SQL Anywhere;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;
SQLBase;Yes;No;Yes;No;No;No;No;No;No;No;
SQLite;Yes;Yes;Yes;Yes;Yes;Yes;Maybe;Yes;Yes;No;
SQream DB;No;No;Yes;No;No;No;No;No;No;No;
Superbase;Yes;No;No;No;No;Yes;No;No;No;No;
Teradata;Yes;No;Yes;No;Yes;No;No;No;No;No;
Tibero;Yes;No;Yes;No;Yes;No;No;No;No;No;
UniData;Yes;No;Yes;No;Yes;No;No;No;No;No;
UniVerse;Yes;No;Yes;No;Yes;No;No;No;No;No;
;Windows;macOS;Linux;BSD;UNIX;AmigaOS;z/OS;iOS;Android;OpenVMS;
