Database Name;ACID;Referential integrity;Transactions;Fine-grained locking;Multiversion concurrency control;Unicode;Interface;Type inference;
4th Dimension;Yes;Yes;Yes;?;?;Yes;GUI & SQL;Yes;
ADABAS;Yes;No;Yes;?;?;Yes;proprietary direct call & SQL (via 3rd party);Yes;
Adaptive Server Enterprise;Yes;Yes;Yes;?;?;Yes;SQL;Yes;
Advantage Database Server;Yes;Yes;Yes;Yes (Row-level locking);?;Yes4;API & SQL;Yes;
Altibase;Yes;Yes;Yes;Yes (Row-level locking);?;Yes;API & GUI & SQL;Yes;
Apache Derby;Yes;Yes;Yes;Yes (Row-level locking) [41];?;Yes;SQL;Yes;
ClustrixDB;Yes;Yes;Yes;Yes;Yes;Yes;SQL;Yes;
CUBRID;Yes;Yes;Yes;Yes (Row-level locking);?;Yes;GUI & SQL;Yes;
DB2;Yes;Yes;Yes;Yes (Row-level locking)[42];?;Yes;GUI & SQL;Yes;
Empress Embedded Database;Yes;Yes;Yes;?;?;Yes;API & SQL;Yes;
EXASolution;Yes;Yes;Yes;?;?;Yes;API & GUI & SQL;Yes;
Firebird;Yes;Yes;Yes;?;Yes;Yes;API & SQL;Yes;
HSQLDB;Yes;Yes;Yes;?;Yes;Yes;SQL;Yes;
H2;Yes;Yes;Yes;?;Yes[43];Yes;SQL;Yes;
Informix Dynamic Server;Yes;Yes;Yes;Yes (Row-level locking);Yes;Yes;SQL, REST, and JSON;Yes;
Ingres;Yes;Yes;Yes;?;?;Yes;SQL & QUEL;Yes;
InterBase;Yes;Yes;Yes;?;?;Yes;SQL;Yes;
Linter SQL RDBMS;Yes;Yes;Yes (Except for DDL);Yes (Row-level locking);?;Yes;API & GUI & SQL;Yes;
LucidDB;Yes;No;No;?;?;Yes;SQL;Yes;
MariaDB;Yes2;Yes6;Yes2 except for DDL[44][45];Yes (Row-level locking);Yes;Yes;SQL;Yes;
MaxDB;Yes;Yes;Yes;?;?;Yes;SQL;Yes;
Microsoft Access (JET);Yes;Yes;Yes;?;?;Yes;GUI & SQL;Yes;
Microsoft Visual FoxPro;No;Yes;Yes;?;?;No;GUI & SQL;Yes;
Microsoft SQL Server;Yes;Yes;Yes;Yes (Row-level locking)[46];Yes;Yes;GUI & SQL;Yes;
Microsoft SQL Server Compact (Embedded Database);Yes;Yes;Yes;?;?;Yes;GUI & SQL;Yes;
Mimer SQL;Yes;Yes;Yes;Yes (Optimistic locking);Yes;Yes;API & GUI & SQL;Yes;
MonetDB;Yes;Yes;Yes;?;?;Yes;SQL;Yes;
MySQL;Yes2;Yes3;Yes2 except for DDL[44];Yes (Row-level locking)[47];Yes;Yes;GUI 5 & SQL;Yes;
OpenBase SQL;Yes;Yes;Yes;?;?;Yes;GUI & SQL;Yes;
OpenEdge;Yes;Yes7;Yes;Yes (Row-level locking);?;Yes;GUI & SQL;Yes;
OpenLink Virtuoso;Yes;Yes;Yes;?;?;Yes;API & GUI & SQL;Yes;
Oracle;Yes;Yes;Yes except for DDL[44];Yes (Row-level locking)[48];Yes;Yes;API & GUI & SQL;Yes;
Oracle Rdb;Yes;Yes;Yes;?;?;Yes;SQL;Yes;
Pervasive PSQL;Yes;Yes;Yes;?;?;Yes6;API & GUI & SQL;Yes;
Polyhedra DBMS;Yes;Yes;Yes;Yes (optimistic and pessimistic cell-level locking)[49];?;Yes;API & SQL;Yes;
PostgreSQL;Yes;Yes;Yes;Yes (Row-level locking)[50];Yes;Yes;API & GUI & SQL;No[51];
Raima Database Manager;Yes;Yes;Yes;?;Yes;Yes;SQL & API;Yes;
RDM Server;Yes;Yes;Yes;?;?;Yes;SQL & API;Yes;
SAP HANA;Yes;Yes;Yes;Yes (Row-level locking);Yes;Yes;API & GUI & SQL;Yes;
solidDB;Yes;Yes;Yes;Yes (Row-level locking);?;Yes;API & SQL;Yes;
SQL Anywhere;Yes;Yes;Yes;?;?;Yes;SQL;Yes;
SQLBase;Yes;Yes;Yes;?;?;Yes;API & GUI & SQL;Yes;
SQLite;Yes;Yes;Yes;No (Database-level locking)[52];No;Optional[53];API & SQL;Yes;
Teradata;Yes;Yes;Yes;Yes (Hash and Partition);?;Yes;SQL;Yes;
Tibero;Yes;Yes;Yes;Yes (Row-level locking);Yes;Yes;API & GUI & SQL;Yes;
UniData;Yes;No;Yes;?;?;Yes;Multiple;Yes;
UniVerse;Yes;No;Yes;?;?;Yes;Multiple;Yes;
Database Name;ACID;Referential integrity;Transactions;Fine-grained locking;Multiversion concurrency control;Unicode;Interface;Type inference;
