;R-/R+ tree;Hash;Expression;Partial;Reverse;Bitmap;GiST;GIN;Full-text;Spatial;FOT;Duplicate index prevention;
4th Dimension;?;Cluster;?;?;?;?;?;?;Yes;?;?;No;
ADABAS;?;?;?;?;?;?;?;?;?;?;?;No;
Adaptive Server Enterprise;No;No;Yes;No;Yes;No;No;No;Yes;?;?;No;
Advantage Database Server;No;No;Yes;No;Yes;Yes;No;No;Yes;?;?;No;
Apache Derby;No;No;No;No;No;No;No;No;No[68];?;?;No;
ClustrixDB;No;Yes;No;No;No;No;No;No;No;No;?;No;
CUBRID;No;No;Yes[69];Yes[69];Yes;No;No;No;No;No;No;No;
DB2;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes[70];?;?;No;
Empress Embedded Database;Yes;No;No;Yes;No;Yes;No;No;No;?;?;No;
EXASolution;No;Yes;No;No;No;No;No;No;No;?;?;No;
Firebird;No;No;Yes;No;Yes;No;No;No;No[71];?;?;No;
HSQLDB;No;No;No;No;No;No;No;No;No;?;?;No;
H2;No;Yes;No;No;No;No;No;No;Yes[72];Yes[73];?;No;
Informix Dynamic Server;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[74];No;
Ingres;Yes;Yes;Ingres v10;No;No;Ingres v10;No;No;No;?;?;No;
InterBase;No;No;No;No;No;No;No;No;No;?;?;No;
Linter SQL RDBMS10;No;Yes temporary indexes for equality joins;Yes for some scalar functions like LOWER and UPPER;No;No;No;No;No;Yes[75];Yes[76];No;No;
LucidDB;No;No;No;No;No;Yes;No;No;No;?;?;No;
MariaDB;Aria and MyISAM tables and, since v10.2.2, InnoDB tables only[77];MEMORY,[78] InnoDB,5 tables only;PERSISTENT virtual columns only[79];No;No;No;No;No;Yes[80];Aria and MyISAM tables and, since v10.2.2, InnoDB tables only[77];?;No;
MaxDB;No;No;No;No;No;No;No;No;No;?;?;No;
Microsoft Access (JET);No;No;No;No;No;No;No;No;No[81];?;?;No;
Microsoft Visual Foxpro;No;No;Yes;Yes;Yes2;Yes;No;No;No;?;?;No;
Microsoft SQL Server;Spatial Indexes;Yes4;Yes3;Yes;on Computed columns3;Bitmap filter index for Star Join Query;No;No;Yes[82];Yes[83];?;No;
Microsoft SQL Server Compact (Embedded Database);No;No;No;No;No;No;No;No;No[84];?;?;No;
Mimer SQL;No;No;No;No;Yes;No;No;No;Yes;Yes;No;No;
MonetDB;No;Yes;No;No;No;Yes;No;No;No;No;No;No;
MySQL;Spatial Indexes[85];MEMORY, Cluster (NDB), InnoDB,5 tables only;No[86];No;No;No;No;No;MyISAM tables[87] and, since v5.6.4, InnoDB tables[88];MyISAM tables[89] and, since v5.7.5, InnoDB tables[90];?;No;
OpenLink Virtuoso;Yes;Cluster;Yes;Yes;No;Yes;No;No;Yes;Yes (Commercial only);No;No;
Oracle;Yes 11;Cluster Tables;Yes;Yes 6;Yes;Yes;No;No;Yes[91];Yes[92];?;Yes[93];
Oracle Rdb;No;Yes;?;No;No;?;No;No;?;?;?;No;
Pervasive PSQL;No;No;No;No;No;No;No;No;No;No;No;No;
Polyhedra DBMS;No;Yes;No;No;No;No;No;No;No;No;?;No;
PostgreSQL;Yes;Yes;Yes;Yes;Yes7;Yes;Yes;Yes;Yes[94];PostGIS[95];?;No;
Raima Database Manager;Yes;Yes;No;Yes;Yes;No;No;No;No;Yes;No;No;
RDM Server;No;No;No;Yes;Yes;No;No;No;No;No;No;No;
SAP HANA;?;?;?;?;?;?;?;?;?;?;?;No;
solidDB;No;No;No;No;Yes;No;No;No;No;No;No;No;
SQL Anywhere;No;No;No;No;No;No;No;No;Yes;Yes;?;No;
SQLite;Yes[96];No;Yes[97];Yes;No;No;No;No;Yes[98];SpatiaLite[99];?;No;
SQream DB;?;?;?;?;Yes;?;?;?;?;?;?;No;
Teradata;No;Yes;Yes;Yes;No;Yes;No;No;?[100];?;?;No;
UniVerse;Yes;Yes;Yes3;Yes3;Yes3;No;No;No;?;Yes[101];?;No;
;R-/R+ tree;Hash;Expression;Partial;Reverse;Bitmap;GiST;GIN;Full-text;Spatial;FOT;Duplicate index prevention;
