;Data Domain;Cursor;Trigger;Function 1;Procedure 1;External routine 1;
4th Dimension;Yes;No;Yes;Yes;Yes;Yes;
ADABAS;?;Yes;?;Yes?;Yes?;Yes;
Adaptive Server Enterprise;Yes;Yes;Yes;Yes;Yes;Yes;
Advantage Database Server;Yes;Yes;Yes;Yes;Yes;Yes;
Altibase;Yes;Yes;Yes;Yes;Yes;Yes;
Apache Derby;No;Yes;Yes;Yes 2;Yes 2;Yes 2;
ClustrixDB;No;Yes;No;Yes;Yes;Yes;
CUBRID;Yes;Yes;Yes;Yes;Yes 2;Yes;
Empress Embedded Database;Yes via RANGE CHECK;Yes;Yes;Yes;Yes;Yes;
EXASolution;Yes;No;No;Yes;Yes;Yes;
DB2;Yes via CHECK CONSTRAINT;Yes;Yes;Yes;Yes;Yes;
Firebird;Yes;Yes;Yes;Yes;Yes;Yes;
HSQLDB;Yes;No;Yes;Yes;Yes;Yes;
H2;Yes;No;Yes 2;Yes 2;Yes 2;Yes;
Informix Dynamic Server;Yes via CHECK;Yes;Yes;Yes;Yes;Yes  5;
Ingres;Yes;Yes;Yes;Yes;Yes;Yes;
InterBase;Yes;Yes;Yes;Yes;Yes;Yes;
Linter SQL RDBMS;No;Yes;Yes;Yes;Yes;No;
LucidDB;No;Yes;No;Yes 2;Yes 2;Yes 2;
MariaDB;Yes[146];Yes;Yes;Yes;Yes;Yes;
MaxDB;Yes;Yes;Yes;Yes;Yes;?;
Microsoft Access (JET);Yes;No;No;No;Yes, But single DML/DDL Operation;Yes;
Microsoft Visual Foxpro;No;Yes;Yes;Yes;Yes;Yes;
Microsoft SQL Server;Yes;Yes;Yes;Yes;Yes;Yes;
Microsoft SQL Server Compact (Embedded Database);No;Yes;No;No;No;No;
Mimer SQL;Yes;Yes;Yes;Yes;Yes;No;
MonetDB;No;No;Yes;Yes;Yes;Yes;
MySQL;No  3;Yes;Yes;Yes;Yes;Yes;
OpenBase SQL;Yes;Yes;Yes;Yes;Yes;Yes;
Oracle;Yes;Yes;Yes;Yes;Yes;Yes;
Oracle Rdb;Yes;Yes;Yes;Yes;Yes;Yes;
OpenLink Virtuoso;Yes;Yes;Yes;Yes;Yes;Yes;
Pervasive PSQL;Yes;Yes;Yes;Yes;Yes;No;
Polyhedra DBMS;No;No;Yes;Yes;Yes;Yes;
PostgreSQL;Yes;Yes;Yes;Yes;Yes;Yes;
Raima Database Manager;No;Yes;No;No;Yes;Yes;
RDM Server;No;Yes;Yes;No;Yes;Yes;
SAP HANA;?;?;?;?;?;?;
solidDB;Yes;Yes;Yes;Yes;Yes;Yes;
SQL Anywhere;Yes;Yes;Yes;Yes;Yes;Yes;
SQLite;No;No;Yes;No;No;Yes;
Teradata;No;Yes;Yes;Yes;Yes;Yes;
UniData;No;No;Yes;Yes;Yes;Yes;
UniVerse;No;No;Yes;Yes;Yes;Yes;
;Data Domain;Cursor;Trigger;Function 1;Procedure 1;External routine 1;
