Research Networking Tool;h-index;Citation count;Altmetrics;SNIP and SJR;Journal Impact Factor*;Other;Comment;
Academic Room;;;;;;;;
Activity Insight;Yes;Yes;Yes;Yes;Yes;;;
C-IKNOW;;;;;;;;
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System);Yes;Yes;Yes;Yes;Yes;;;
Community Academic Profiles - CAP;;;;;;;;
InCites;Yes;Yes;Yes Can integrate with altmetric data feed;No;Yes;;;
CurvitaTM Profile Manager;;;;;;;;
CUSP - Columbia University Scientific Profiles;;;;;;;;
Digital Vita;;;;;;;;
Elsevier's Pure (integrated with SciVal);Yes;Yes;Yes Altmetric and PlumX;Yes;No;Field-weighted Citation Impact, Number of Authors, CiteScore;;;
Elsevier's SciVal;Yes;Yes;Yes Views data from ScienceDirect and Scopus;Yes;No;20+ indicators ranging from h, g & m indices, to Publications in Top Journal Percentiles, Field-Weighted Citation Impact, Academic-Corporate Collaboration Impact & Views per Publication;;
Epernicus Solutions & Epernicus Network;;;;;;;;
ERIM Member Profile System (ERIM MIS);;;;;;;;
EUREKA!TM Enhancing Student Research;;;;;;;;
Expertise @ Maryland;;;;;;;;
Faculty Profile System;;;;;;;;
Faculty Research Information Profile (FRIP);;;;;;;;
Faculty Scholarly Productivity Index;;;;;;;;
GENIUS;;;;;;;;
Google Scholar;Yes;;;;;;;
HUBzero;;;;;;;;
iamResearcher;;;;;;;;
iAMscientist;;;;;;;;
i2iConnect;;;;;;;;
InCites;Yes;Yes;Yes Recorded Future partnership provides customized newsfeed and instition activity from web content;No;Yes;;;
INDURE;;;;;;;;
LatticeGrid;;;;;;;;
Lattes Database;;;;;;;;
LinkedIn;No;No;None;;;;;
Life Science Network;No;No;Yes (views counts, recommendations, rating scores calculated from anonymous and non-anonymous contributions);No;No (but journals can be entered into the database and their IF indicated);;;
Loki;;;;;;;;
Lyterati;;;;;;;;
McCormick Collaboration Visualization Tool;;;;;;;;
MizzouLinks;;;;;;;;
MyScienceWork;;;;;;;;
OSU:pro;;;;;;;;
Pivot;;;;;;;;
Profiles;;;;;;;;
ReachNC;Yes;;;;;;;
Research Accelerator;;;;;;;;
ResearcherID;Yes;Yes;;;;;;
SciENcv;;;;;;;;
Symplectic Elements;Yes;Yes;Yes;Yes;Yes;;;
VIVO;;;Yes;;;;;
Yaffle;;;;;;;;
