Server;Developed by;Software license;Last stable version;Latest release date;
AOLserver;NaviSoft;Mozilla;4.5.2;2012-09-19;
Apache HTTP Server;Apache Software Foundation;Apache;2.4.37;2018-10-23;
Apache Tomcat;Apache Software Foundation;Apache;9.0.10;2018-06-25;
Boa;Jon Nelson and Larry Doolittle;GNU GPL;0.94.13;2002-07-30 (discontinued);
Caddy;Matt Holt;Apache;0.10.7;2017-08-26;
Caudium;The Caudium Group;GNU GPL;1.4.18;2012-02-24;
Cherokee HTTP Server;Álvaro López Ortega;GNU GPL;1.2.103;2013-04-21;
GlassFish;"Oracle Corporation (initial code from Sun Microsystems)";Common Development and Distribution License & GNU General Public License;4.1.2;2017-03-31;
Hiawatha;Hugo Leisink;GNU GPLv2;10.8.1;2018-04-10;
HFS;Rejetto;GNU GPL;2.3i;2016-06-14;
IBM HTTP Server;IBM;Non-free proprietary;9.0.0;2016-03-11;
Internet Information Services;Microsoft;Non-free proprietary;10;2015-07-29;
Jetty;Eclipse Foundation;Apache;9.4.7;2017-09-14;
Jexus;Bing Liu;Non-free proprietary;5.5.2;2014-04-27;
lighttpd;Jan Kneschke (Incremental);BSD variant;1.4.52;2018-11-28;
LiteSpeed Web Server;LiteSpeed Technologies;Non-free proprietary;5.2.7;2018-04-23;
Mongoose;Cesanta Software;GNU GPLv2 / proprietary license;6.10;2017-10-31;
Monkey HTTP Server;Monkey Software;Apache;1.6.9;2016-05-04;
NaviServer;Various;Mozilla 1.1;4.99.16;2017-12-30;
NCSA HTTPd;Robert McCool;Non-free proprietary;1.5.2a;1996-10-08;
Nginx;NGINX, Inc.;BSD variant;1.14.1;2018-11-14;
OpenLink Virtuoso;OpenLink Software;GNU GPL and proprietary versions;7.2.4;2016-04-24;
OpenLiteSpeed;LiteSpeed Technologies;GPLv3;1.4.31;2018-04-11;
Oracle HTTP Server;Oracle Corporation;Non-free proprietary;12.1.2;2014-09-23;
Oracle iPlanet Web Server;Oracle Corporation;BSD;7.0.23;2016-02-12;
Oracle WebLogic Server;Oracle Corporation (formerly BEA Systems);Non-free proprietary;12cR3 (12.1.3);2014-06-26;
Resin Open Source;Caucho Technology;GNU GPLv3 / proprietary license;4.0.49;2016-10-19;
Resin Professional;Caucho Technology;Non-free proprietary;4.0.49;2016-10-19;
thttpd;Jef Poskanzer for ACME Laboratories;BSD variant;2.27;2014-10-03;
TUX web server;Ingo Molnár;GNU GPL;3.2.6.18;2006-09-20;
Wakanda Server;Wakanda;GNU AGPLv3 / proprietary license;1.1.2;2016-11-25;
WEBrick;Ruby Community;Ruby;1.9.3 p286 (Ruby);2012-10-12;
Windows Webserver;mwiede Software;Non-free proprietary;1.4;2017-12-12;
Xitami;iMatix Corporation;BSD;5.0a0;2009-02-19;
Yaws;Claes Wikström;BSD variant;2.0.4;2016-09-22;
Zeus Web Server;Zeus Technology;Non-free proprietary;4.3r5;2010-01-13;
Zope;Zope Corporation;Zope;2.13.21;2013-07-16;
Server;Developed by;Software license;Last stable version;Latest release date;
