Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);Bus interface;Clock rate;Core config;Fillrate;Memory;TDP (Watts);API support (version);Release Price (USD);
Core (MHz);Memory (MHz);MOperations/s;MPixels/s;MVertices/s;MTexels/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Max.;Direct3D;OpenGL;
Radeon X1300;Oct. 5, 2005 (PCI-E) Dec. 1, 2005 (AGP);RV515;90;107;100;AGP 8x PCI PCI-E x16;450;250;4:2:4:4;1800;1800;225;1800;128 256;8.00;DDR2;128;;9.0c;2.0;$;
Radeon X1300 HyperMemory;Oct. 5, 2005;RV515;90;107;100;PCI-E x16;450;250;4:2:4:4;1800;1800;225;1800;128 256 512;8.00;DDR2;64;;9.0c;2.0;$;
Radeon X1300 PRO;Oct. 5, 2005 (PCI-E) Nov. 1, 2006 (AGP);RV515;90;107;100;AGP 8x PCI-E x16;600;400;4:2:4:4;2400;2400;300;2400;128 256;12.8;DDR2;128;31;9.0c;2.0;$;
Radeon X1300 XT;Aug. 12, 2006;RV530;90;157;150;AGP 8x PCI-E x16;500;400;12:5:4:4;6000;2000;625;2000;128 256;12.8;DDR2;128;22;9.0c;2.0;$;
Radeon X1550;Jan. 8, 2007;RV516;90;107;100;AGP 8x PCI PCI-E x16;550;400;4:2:4:4;2200;2200;275;2200;128 256 512;12.8;DDR2;128;27;9.0c;2.0;$;
Radeon X1600 PRO;Oct. 10, 2005;RV530;90;157;150;AGP 8x PCI-E x16;500;390;12:5:4:4;6000;2000;625;2000;128 256 512;12.48;DDR2;128;41;9.0c;2.0;$;
Radeon X1600 XT;Oct. 10, 2005 (PCI-E);RV530;90;157;150;AGP 8x PCI-E x16;590;780;12:5:4:4;7080;2360;737.5;2360;256 512;22.08;GDDR3;128;42;9.0c;2.0;$;
Radeon X1650;Feb. 1, 2007;RV530;90;157;150;AGP 8x PCI-E x16;500;400;12:5:4:4;6000;2000;625;2000;256 512;12.8;DDR2;128;;9.0c;2.0;$;
Radeon X1650 SE;;RV516;90;105;;PCI-E x16;635;400;4:2:4:4;;;;;256;12.8;DDR2;128;;9.0c;2.0;;
Radeon X1650 GT;May 1, 2007 (PCI-E) Oct. 1, 2007 (AGP);RV560;80;330;230;AGP 8x PCI-E x16;400;400;24:8:8:8;9600;3200;800;3200;256 512;12.8;GDDR3;128;;9.0c;2.0;$;
Radeon X1650 PRO;Aug. 23, 2006 (PCI-E) Oct. 15, 2006 (AGP);RV535;80;330;131;AGP 8x PCI-E x16;600;700;12:5:4:4;7200;2400;750;2400;256 512;22.4;GDDR3;128;44;9.0c;2.0;$;
Radeon X1650 XT;Oct. 30, 2006;RV560;80;330;230;AGP 8x PCI-E x16;525;700;24:8:8:8;12600;4200;1050;4200;256 512;22.4;GDDR3;128;55;9.0c;2.0;$;
Radeon X1800 CrossFire Edition;Dec. 20, 2005;R520;90;321;288;PCI-E x16;600;700;16:8:16:16;9600;9600;900;9600;512;46.08;GDDR3;256;113;9.0c;2.0;$;
Radeon X1800 GTO;Mar. 9, 2006;R520;90;321;288;PCI-E x16;500;495;12:8:12:8;6000;6000;1000;6000;256 512;32.0;GDDR3;256;48;9.0c;2.0;$249;
Radeon X1800 XL;Oct. 5, 2005;R520;90;321;288;PCI-E x16;500;500;16:8:16:16;8000;8000;1000;8000;256;32.0;GDDR3;256;70;9.0c;2.0;$;
