Model;Launch;Micro-archi-tecture;Core;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config;Fillrate;Memory;Processing power (GFLOPS);API compliance (version);Notes;
Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Single precision;Direct3D;OpenGL;Vulkan;
FireGL 8700;2001;R200;Radeon 8500;150;AGP;250;270;2:4:8:41;1;2;64;8.64;DDR;64 × 2;Unknown;8.1;1.4;N/A;;
FireGL 8800;2001;R200;Radeon 8500;150;AGP;300;290;2:4:8:41;1.2;2.4;128;9.28;DDR;64 × 2;Unknown;8.1;1.4;;
FireGL T2-64;2003;R300;Radeon 9600 Pro;130;AGP;325;200;2:4:4:41;1.3;1.3;64;6.4;DDR;128;Unknown;9.0;2.0;;
FireGL T2-128;2003;R300;Radeon 9600 Pro;130;AGP;400;320;2:4:4:41;1.6;1.6;128;10.2;DDR;128;Unknown;9.0;2.0;;
FireGL Z1-128;2002;R300;Radeon 9500 Pro;150;AGP;325;310;4:4:4:41;1.3;1.3;128;19.8;DDR;256;Unknown;9.0;2.0;;
FireGL X1-128;2002;R300;Radeon 9700;150;AGP;325;310;4:8:8:81;2.6;2.6;128;19.84;DDR;256;Unknown;9.0;2.0;;
FireGL X1-256;2002;R300;Radeon 9700 Pro;150;AGP Pro;325;310;4:8:8:81;2.6;2.6;256;19.84;DDR;256;Unknown;9.0;2.0;;
FireGL X2-256;2003;R300;Radeon 9800 Pro;150;AGP;380;350;4:8:8:81;3.04;3.04;256;22.4;DDR2;256;Unknown;9.0;2.0;;
FireGL X2-256T;2003;R300;Radeon 9800 XT;150;AGP;412;344;4:8:8:81;3.3;3.3;256;22.0;DDR2;256;Unknown;9.0;2.0;;
FireGL X3-256;2004;R300;Radeon X800 XT;130;AGP;450;450;6:12:12:121;5.4;5.4;256;28.8;GDDR3;256;Unknown;9.0b;2.0;;
FireGL V3100;2005;R300;Radeon X300 XT;110;PCIe x16;400;200;2:4:4:41;1.6;1.6;128;6.4;DDR;128;Unknown;9.0;2.0;;
FireGL V3200;2005;R300;Radeon X600 XT;130;PCIe x16;500;400;2:4:4:41;2;2;128;12.8;DDR2;128;Unknown;9.0b;2.0;;
FireGL V3300;2006;R500;Radeon 1300 Pro;90;PCIe x16;600;400;2:4:4:41;2.4;2.4;128;6.4;GDDR2;64;Unknown;9.0c;2.0;;
FireGL V3350;2006;R500;Radeon 1300 Pro;90;PCIe x16;600;400;2:4:4:41;2.4;2.4;256;6.4;GDDR2;64;Unknown;9.0c;2.0;;
FireGL V3400;2006;R500;Radeon 1600 Pro/XT;90;PCIe x16;500;500;5:12:4:41;2;2;128;16;GDDR3;128;Unknown;9.0c;2.0;;
FireGL V3600[131];2007;Tera-Scale 1;RV630 GL, HD 2600 Pro;65;PCIe x16;600;500;1202(24×5):8:4:3;2.4;4.8;256;16.0;GDDR3;128;144;10;3.3;Shader Model 4.0, APP Stream;
FireGL V5000;2005;R400;Radeon X700 Pro/XT;130;PCIe x16;425;430;6:8:8:81;3.4;3.4;128;13.6;GDDR3;128;Unknown;9.0b;2.0;;
FireGL V5100;2005;R400;Radeon X800 Pro;130;PCIe x16;450;350;6:12:12:121;5.4;5.4;128;22.4;DDR;256;Unknown;9.0b;2.0;;
FireGL V5200;2005;R500;Radeon X1600 XT;90;PCIe x16;600;700;5:12:4:41;2.4;2.4;256;22.4;GDDR3;128;Unknown;9.0c;2.0;;
FireGL V5600[132];2007;Tera-Scale 1;R630 GL, HD 2600 XT;65;PCIe;800;1100;1202(24×5):8:4:3;3.2;6.4;512;35.2;GDDR4;128;192;10;3.3;Shader Model 4.0, APP Stream;
FireGL V7100;2005;R400;Radeon X800 XT;130;PCIe;500;450;6:16:16:161;8;8;256;28.8;GDDR3;256;Unknown;9.0c;2.0;;
FireGL V7200;2006;R500;Radeon X1800 XT;90;PCIe x16;600;650;8:16:16:161;9.6;9.6;256;41.6;GDDR3;256;Unknown;9.0c;2.0;;
FireGL V7300[133];2006;R500;R520 GL, X1800 XT;90;PCIe;600;650;8:16:16:161;9.6;9.6;512;41.6;GDDR3;256;Unknown;9.0c;2.0;;
FireGL V7350[134];2006;R500;R520 GL, X1800 XT;90;PCIe;600;650;8:16:16:161;9.6;9.6;1024;41.6;GDDR3;256;Unknown;9.0c;2.0;;
FireGL V7400;2006 (Canceled);R500;Radeon X1950 Pro;80;PCIe;550?;650?;8:36:16:161;19.8?;19.8?;512?;41.6?;GDDR3;256;Unknown;9.0c;2.0;never released, superseded by 2007 Series;
FireGL V7600[135];2007;Tera-Scale 1;R600 GL, HD 2900 GT;80;PCIe;600;800;2402(48×5):12:12:3;9.6;9.6;512;51.2;GDDR3;256;288;10;3.3;Shader Model 4.0, APP Stream;
FireGL V7700[136];2007 (2008);Tera-Scale 1;R670 GL, HD 3870;55;PCIe 2.0;775;1125;3202(64×5):16:16:4;12.4;12.4;512;72;GDDR4;256;496;10.1 (SM4.1);3.3;DisplayPort. Can do double precision computation via the AMD Stream SDK.;
FireGL V8600[137];2007;Tera-Scale 1;R600 GL, HD 2900 XT;80;PCIe;688;868;3202(64×5):16:16:4;11.008;11.008;1024;111.1[138];GDDR4;512;440.32;10;3.3;Shader Model 4.0, APP Stream;
FireGL V8650[139];2007;Tera-Scale 1;R600 GL, HD 2900 XT;80;PCIe;688;868;3202(64×5):16:16:4;11.008;11.008;2048;111.1;GDDR4;512;440.32;10;3.3;Shader Model 4.0, APP Stream;
