Model (Codename);Launch;Architecture (Fab);Transistors Die Size;Core;Fillrate[a][b][c];Processing power[a][d] (TFLOPS);Memory;TBP (W);Bus interface;Graphic output Port;Release Price (USD);
Config[e];Clock[a] (MHz);Texture (GT/s);Pixel (GP/s);Half;Single;Double[f];Bus type & width (bit);Size (GiB);Clock (MT/s);Band- width (GB/s);
Radeon Pro WX 2100[192][193][194];June 2017;GCN 4th gen (14 nm);103 mm2;512:32:16 (8);1219;39.0;19.5;SP;1.25;0.078;GDDR5 64;2;6000;48;<35;PCIe 3.0 ×16;1x DP 1.4 2x mini-DP 1.4;$150;
Radeon Pro WX 3100[192][195];June 2017;GCN 4th gen (14 nm);103 mm2;512:32:16 (8);1219;39.0;19.5;SP;1.25;0.078;GDDR5 128;4;6000;96;<50;PCIe 3.0 ×16;1x DP 1.4 2x mini-DP 1.4;$200;
Radeon Pro WX 4100 (Polaris 11)[196][197][198][199][200][201];November 2016;GCN 4th gen (14 nm);7009300000000000000?3000×106 123 mm2;1024:64:16 (16);925 1170;59.2 74.9;14.8 18.7;SP;1.89 2.40;0.118 0.15;GDDR5 128;4;7000;112;50;PCIe 3.0 ×16;4x mini-DP 1.4;$399;
Radeon Pro WX 5100 (Polaris 10)[197][198][199][202][201];November 2016;GCN 4th gen (14 nm);7009570000000000000?5700×106 232 mm2;1792:112:32 (28);926 1090;103.7 122.1;29.6 34.9;SP;3.32 3.91;0.208 0.244;GDDR5 256;8;6600;211.2;75;PCIe 3.0 ×16;4x Display Port 1.4;$499;
Radeon Pro WX 7100 (Polaris 10)[197][198][199][203][204][201];November 2016;GCN 4th gen (14 nm);7009570000000000000?5700×106 232 mm2;2304:144:32 (36);900 1240;115.2 158.7;28.8 39.7;SP;4.15 5.71;0.259 0.357;GDDR5 256;8;8000;256;130;PCIe 3.0 ×16;4x Display Port 1.4;$799;
Radeon Pro WX 8200 (Vega) [205];August 2018;GCN 5th gen (14 nm);7010125000000000000?12500×106 484mm2;3584:224:64 (56);1200 1530;342.7;97.92;2x SP;10.967;1/16 SP;HBM2 2048;8;2000;512;<230;PCIe 3.0 ×16;4x mini-DP 1.4;$999;
Radeon Pro WX 9100 (Vega)[206][207][208][209][210][211][212];September 2017;GCN 5th gen (14 nm);7010125000000000000?12500×106 484mm2;4096:256:64[213] (64);1500;384.0;96.0;24.576 2x SP;12.288;0.768 1/16 SP;HBM2 2048;16;1890;483.84;<250;PCIe 3.0 ×16;6x mini-DP 1.4;$2,199;
Radeon Pro SSG (Fiji) (prototype only)[214];July 2016;GCN 3rd gen (28 nm);7009890000000000000?8900×106 596 mm2;4096:256:64 (64);1000?;256?;64.0?;8.192?;8.192?;0.512?;HBM + SSG 4096;4 + 1TB;1000;512;200?;PCIe 3.0 ×16;Unknown;$9,999;
Radeon Pro SSG (Vega)[215][208][210][211];September 2017;GCN 5th gen (14 nm);7010125000000000000?12500×106 484 mm2;4096:256:64[213] (64);1500;384.0;96.0;24.6;12.29;0.768;HBM2 + SSG 2048;16 + 2TB;1890;483.84;<300;PCIe 3.0 ×16;6x mini-DP 1.4;$6,999;
Radeon Pro Duo Polaris (Polaris 10)[197][198][199][216][217][201][218];April 2017;GCN 4th gen (14 nm);2×7009570000000000000?5700×106 2x232 mm2;2× 2304:128:32 (2x36);1243;179.0 ×2;39.78 ×2;SP;2x 5.728 =11.45;1/16 SP;GDDR5 2x256;2x16;7000;2x224;<250;PCIe 3.0 ×16;3x DP 1.4 1x HDMI 2.0;$999;
Radeon Pro V340 (Vega) (Single for server)[219];Q4 2018;GCN 5th gen (14 nm);7010125000000000000?12500×106 2x484 mm2;3584:224:64 (2x56);852 1000;224.0;64.0;2x SP;7.168;1/16 SP;HBM2 2048;16;2000;512;230;PCIe 3.0 ×16;no outputs;Unknown;
Radeon Pro V340 MxGPU (Vega) (Dual for server)[220][221][222];Q4 2018;GCN 5th gen (14 nm);2×7010125000000000000?12500×106 2x484 mm2;2× 3584:224:64 (2x56);852 1000;2x 224.0;2x 64.0;2x SP;2x 7.168 =14.34;1/16 SP;HBM2 2x2048;2x16;2000?;2x512;300;PCIe 3.0 ×16;no outputs;Unknown;
