Model;Launch;Code name;Fab (nm);Core config1,2;Core clock (MHz);Fillrate;Memory;Bus interface;API compliance (version);Processing power (GFLOPS);Notes;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MiB);Clock (MHz);RAM type;Bus width (bit);Bandwidth (GB/s);Direct3D;OpenGL;other;
Flipper (GameCube)[337][338][339][340][341];September 14, 2001;;180;4(Pixel Pipelines):1(Vertex Pipeline):4:4;162;648;648;648;90;24 shared 16 shared 3 eDRAM;324 81 162;1T-SRAM SDRAM eDRAM;64 8 512;3.2 1.6 12.8/9.63;Integrated;No;Unknown;Unknown;9.4;Fixed-function T&L, TEV register combiner;
Xenos (Xbox 360)[342];November 22, 2005;Xenon Zephyr Opus Falcon Jasper Vejle Corona;90/90 90/90 65/80 65/80 65/65[343] 45[344] 45;240(48x5):16:8;500;240,000;4000;8000;6000;512 (shared) 10 eDRAM;700 500;GDDR3 eDRAM;128;22.4 32 (GPU to daughter die) 256 (Daughter die ROP to eDRAM);Integrated;9.0c+;No;Unknown;240;Surface tessellation;
Hollywood (Wii)[345];November 19, 2006;Hollywood;90;4(Pixel Pipelines):1(Vertex Pipeline):4:4;243;972;972;972;135;24 shared 64 shared 3 eDRAM;486 Unknown 243;1T-SRAM GDDR3 eDRAM;64 Unknown 512;4.8 4 19.2/14.4;Integrated;No;Unknown;Unknown;14.1;Fixed-function T&L, TEV register combiner;
Latte (Wii U)[346];November 18, 2012;Latte;45;320:16:8;550;176,000-352,000;4400;8800;Unknown;2048 (shared) 32 eDRAM;800 (1600 effective) 550;DDR3 eDRAM;64 1024;12.8 70.4;Integrated;No;Unknown;Unknown;176-352;;
Liverpool (PlayStation 4)[347];November 15, 2013;Liverpool (GCN based);28 16;1152:72:32;800;1,843,200;25,600;57,600;Unknown;8192 (shared);1375 (5500 effective);GDDR5;256;176;Integrated;No;4.2;GNM, GNMX, PlayStation Shader Language, Mantle technically possible;1843.2;HDR possible (only 2K);
Durango (Xbox One)[348];November 22, 2013;Durango (GCN based);28 (One S) 16;768:48:16;853, (One S) 914;1,310,208, (One S) 1,403,904;13,648, (One S) 14,624;40,944, (One S) 43,872;Unknown;8192 (shared) 32 eSRAM;1066.5 (2133 effective) 1706 (3412 effective);DDR3 eSRAM;256;68.3 218, 219 (One S);Integrated;11.2[349] 12;No;Mantle technically possible;1310.2, (One S) 1403.9;Tiled resources, (One S) Upscaled 4K HDR support;
Neo (PlayStation 4 Pro)[350][351][352];November 10, 2016;Ellesmere GCN 4;16;2304:144:32;911;4,197,888;29,152;131,200;Unknown;8192;1700 (6800 effective);GDDR5;256;217.6;Integrated;No;4.2 (4.5);GNM, GNMX, PlayStation Shader Language, Mantle technically possible;4197.8;4K HDR possible, Full Compatible PS4 mode with reduced power consumption;
Scorpio Engine (Xbox One X)[353][354];November 7, 2017;Jaguar (GCN custom-based);16;2560:160:32;1172;6,000,640;37,504 [355];187,520;Unknown;12288 (shared);1700 (6800 effective);GDDR5;384;326;Integrated;11.2 12;No;Unknown;6000.6;4K HDR support, supersampling;
Model;Launch;Code name;Fab (nm);Core config1, 2;Core clock (MHz);Million Operations/s;Million Pixels/s;MTexels/s;MVertices/s;Size (MiB);Clock (MHz);RAM type;Bus width (bit);Bandwidth (GB/s);Bus interface;Direct3D;OpenGL;Other;Processing power (GFLOPS);Notes;
Fillrate;Memory;API compliance (version);
