Name;License;Platform;Details;
Cerberus FTP Server;Proprietary;Windows only;FTP, FTPS, SFTP, HTTPS web client, IPv6, SOAP-based web services API, Windows Active Directory / LDAP authentication, HTTP / HTTPS remote administration, public key and client certificate authentication;
CompleteFTP Free;freeware;Windows only;FTP, FTPS, autobanning, virtual file-system, dockable dashboard, remote administration;
CompleteFTP;trialware;Windows only;FTP, FTPS, SFTP, SCP, HTTP, HTTPS, Windows Active Directory authentication, SQL authentication, SAML Single Sign-On authentication, groups, virtual file-system, process/e-mail events, data at rest encryption, protocol conversion for back-end servers, SSH tunnelling, file-sharing (via client app), web-app hosting via server-side Javascript, remote administration, public key and client certificate authentication, Plugin API (.NET/Javascript), fail-over, load-balancing, dockable dashboard;
CrushFTP Server;trialware;Mac OS X, Windows (all), Linux (all), *BSD, Solaris, IBM.;FTP, FTPS, SFTP, SCP, HTTP, HTTPS, WebDAV(SSL), AS2, AS3, Plugin API, Active Directory / LDAP authentication, RADIUS authentication, SQL authentication, SAML SSO Authentication, CrushBalance load balancer, Web UI administration, Groups, Layered Inheritance, Events / Alerts, Protocol Conversion (incoming FTP/FTPS/SFTP/HTTP(s) protocols converted to a back end FTP(ES)/SFTP/HTTP(s)/S3/WebDAV server.), SSH Tunneling, HTTP(S) Tunneling, CrushTask, client certificate authentication, ad-hoc file sharing, keywords search, PGP in stream encryption / decryption, bandwidth acceleration (CrushTunnel), file revisions and synchronization, DMZ front end server mode can also cluster with load balance (supports proxy protocol v1 and v2), DDOS protection, High Availability Virtual IP, data replication and session replication, Job scheduling and monitoring, user config via API, scriptable command line file transfer client. Supports cloud storage via S3, Azure, [Citrix] file storage, Hadoop and Google Drive for file data.;
FileZilla Server;open source, free software;Server: Windows only Client: Mac OS X, Windows (all), Linux (all).;FTP, FTPS, supports autoban, speedlimits, IP Filter, Groups, Shared folders, compression,;
Microsoft Internet Information Services;Proprietary;Windows only;FTP, FTPS, WebDAV and WebDAV over SSL (FTPS is supported in IIS 7 and later);
NASLite;Proprietary;Linux based;FTP/NAS server;
Sysax Multi Server;proprietary, Free Personal Edition;Windows (All Editions);Secure FTP Server that also supports Secure Shell Access and Web browser based secure file transfer. Protocols supported include FTP, FTPS, SFTP, HTTP, HTTPS, Telnet, and Secure Shell. Features include web UI administration, server event triggers and scripting, and authentication using Windows, ODBC, or Active Directory. Certified for Windows Vista.;
War FTP Daemon;open source, free software;Windows 9X/2000/XP/2003;One of the original FTP servers made for the windows platform and still available.;
WS FTP Server;Proprietary;Windows only: XP or later;WS_FTP stands for WinSock File Transfer Protocol. It's developed and sold by Ipswitch, which offers it with three different prices: an FTP server, an SFTP server, and the full Corporate version with encrypting and SCP2.;
