;;CrushFTP;ProFTPD;Pure-FTPd;vsftpd;Wu-ftp;
;License type;proprietary;FLOSS/GPL;BSD;FLOSS/GPL2;proprietary;
OS;Linux;Yes;Yes;Yes;Yes;Yes;
Mac OS X;Yes;Yes;Yes;Yes;Yes;
Unix;Yes;Yes;Yes;Yes;Yes;
Windows;Yes;No;?;?;?;
User Interface;CLI;Yes;Yes;?;?;?;
GUI integrated;Yes;No;?;?;?;
GUI(s) separately;Yes;Yes;?;?;?;
Web-based GUI;Yes;?;?;?;?;
Services;FTP;Yes;Yes;Yes;Yes;Yes;
SFTP;Yes;Yes;No;No;No;
FTPS;Yes;Yes;Yes;Yes;?;
SCP;Yes;?;?;?;?;
WebDAV;Yes;?;?;?;?;
HTTP/HTTPS;Yes;?;?;?;?;
AS2;No;?;?;?;?;
Authentication;LDAP;Yes;Yes;Yes;?;?;
Active Directory;Yes;?;?;?;?;
Local;Yes;Yes;Yes;Yes;Yes;
Database;Yes;Yes;Yes;?;?;
High Availability;Failover Cluster (active/passive);Yes;?;?;?;?;
Load Balancing (active/active);Yes;?;?;?;?;
Automation;Event-handling;Yes;Yes;?;?;?;
Scripting;Yes;Yes;?;?;?;
;;CrushFTP;ProFTPD;Pure-FTPd;vsftpd;Wu-ftp;
