Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);Bus interface;SM count;Core config1,3;Clock rate;Fillrate;Memory configuration;Supported API version;Processing power (GFLOPS)2;TDP (Watts)6;Release Price (USD);
Core (MHz);Shader (MHz);Memory (MHz);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);DRAM type;Bus width (bit);Vulkan;Direct3D;OpenGL;OpenCL8;Single precision;Double precision;
GeForce 510;September 29, 2011;GF119;40;292;79;PCIe 2.0 ×16;1;48:8:4;523;1046;1800;2.1;4.5;1024 2048;14.4;DDR3;64;n/a[20];12;4.6;1.1;100.4;Unknown;25;OEM;
GeForce GT 520;April 12, 2011;GF119;40;292;79;PCIe 2.0 ×16 PCIe 2.0 ×1 PCI;1;48:8:4;810;1620;1800;3.25;6.5;1024 2048;14.4;DDR3;64;12;4.6;1.2;155.5;Unknown;29;$59;
GeForce GT 530;May 14, 2011;GF108? / GF118[citation needed];40;~585;~116;PCIe 2.0 ×16;2;96:16:4;700;1400;1800;2.8;11.2;1024 2048;28.8;DDR3;128;12;4.6;1.2;268.8;Unknown;50;OEM;
GeForce GT 545;May 14, 2011;GF116;40;~1170;~238;3;144:24:16;720;1440;1800;11.52;17.28;1536 3072;43;DDR3;192;12;4.6;1.2;415.07;Unknown;70;$149;
May 14, 2011;GF116;40;~1170;~238;3;144:24:16;870;1740;1998;13.92;20.88;1024;64;GDDR5;128;12;4.6;1.2;501.12;Unknown;105;OEM;
GeForce GTX 550 Ti;March 15, 2011;GF116-400;40;~1170;~238;4;192:32:24;900;1800;4104;21.6;28.8;768+256 1536;65.7+32.8 98.5;GDDR5;128+64 1929;12;4.6;1.2;691.2;Unknown;116;$149;
GeForce GTX 555;May 14, 2011;GF114;40;1950;332;6;288:48:24;736;1472;3828;17.6;35.3;1024;91.9;GDDR5;1929;12;4.6;1.2;847.9;Unknown;150;OEM;
GeForce GTX 560 SE;February 20, 2012 [29];GF1144;40;1950;~332;6;288:48:24;736;1472;3828;17.7;35.3;1024;91.9;GDDR5;1929;12;4.6;1.2;847.8;Unknown;150;OEM;
GeForce GTX 560;May 17, 2011;GF1144;40;1950;~332;7;336:56:32;810;1620;4008;25.92;45.36;1024 2048;128.1;GDDR5;256;12;4.6;1.2;1088.6;Unknown;150;$199;
GeForce GTX 560 Ti;January 25, 2011;GF1144;40;1950;~332;8;384:64:32;822;1645;4008;26.3;52.61;1024 2048;128.26;GDDR5;256;12;4.6;1.2;1263.4;110;170;$249;
May 30, 2011;GF1105;40;3000;520;11;352:44:40;732;1464;3800;29.28;32.21;1280 2560;152;GDDR5;320;12;4.6;1.2;1030.7;128.83;2106;OEM;
November 29, 2011;GF110-270-A15;40;3000;520;14;448:56:40;732;1464;3800;29.28;40.99;1280;152;GDDR5;320;12;4.6;1.2;1311.7;163.97;2106;$289;
GeForce GTX 570;December 7, 2010;GF110-275-A15;40;3000;520;15;480:60:40;732;1464;3800;29.28;43.92;1280 2560;152;GDDR5;320;12;4.6;1.2;1405.4;175.68;2196;$349;
GeForce GTX 580;November 9, 2010;GF110-375-A15;40;3000[30];520[30];16;512:64:48;772;1544;4008;37.05;49.41;1536 30727;192.384;GDDR5;384;12;4.6;1.2;1581.1;197.63;2446[31];$499;
GeForce GTX 590;March 24, 2011;2× GF110-351-A1;40;2× 3000;2× 520;2×16;2× 512:64:48;607;1215;3414;2×29.14;2×38.85;2× 1536;2×163.87;GDDR5;2×384;12;4.6;1.2;2488.3;311.04;365;$699;
Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);Bus interface;SM count;Core config1,3;Clock rate;Fillrate;Memory configuration;Supported API version;Processing power (GFLOPS)2;TDP (Watts)6;Release Price (USD);
Core (MHz);Shader (MHz);Memory (MHz);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);DRAM type;Bus width (bit);Vulkan;Direct3D;OpenGL;OpenCL8;Single precision;Double precision;
