Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);
GeForce FX 5200;March 2003;NV34;150;AGP 8× PCI;250;200;4:1:4:4;1000;1000;1000;62.5;64 128;3.2 6.4[citation needed];DDR;64 128;
GeForce FX 5200 Ultra;March 6, 2003;NV34;150;AGP 8×;325;325;4:1:4:4;1300;1300;1300;81.25;64 128;10.4;DDR;128;
GeForce PCX 5300;March 17, 2004;NV34;150;PCIe ×16;250;200;4:1:4:4;1000;1000;1000;62.5;128;3.2 6.4[citation needed];DDR;64 128;
GeForce FX 5500;March 2004;NV34B;140;AGP 8× AGP 4× PCI;270;200;4:1:4:4;1080;1080;1080;67.5;64 128 256;3.2 6.4[citation needed];DDR;64 128;
GeForce FX 5600 XT;October 2003;NV31;130;AGP 8×;235;200;4:1:4:4;940;940;940;58.75;64 128;6.4;DDR;128;
GeForce FX 5600;March 2003;NV31;130;AGP 8× PCI;325;275;4:1:4:4;1300;1300;1300;81.25;64 128 256[3];8.8;DDR;128;
GeForce FX 5600 Ultra;March 6, 2003;NV31;130;AGP 8×;350;350;4:1:4:4;1400;1400;1400;87.5;64 128;11.2;DDR;128;
GeForce FX 5600 Ultra Rev.2;March 6, 2003;NV31;130;AGP 8×;400;400;4:1:4:4;1600;1600;1600;100;64 128;12.8;DDR;128;
GeForce FX 5700 VE;September 2004;NV36;130;AGP 8×;235;200;4:3:4:4;940;940;940;106.5;128 256;6.4;DDR;128;
GeForce FX 5700 LE;March 2004;NV36;130;AGP 8×;250;200;4:3:4:4;1000;1000;1000;187.5;128 256;6.4;DDR;128;
GeForce FX 5700;2003;NV36;130;AGP 8×;425;250;4:3:4:4;1700;1700;1700;318.75;128 256;8;DDR;128;
GeForce PCX 5750;March 17, 2004;NV36;130;PCIe ×16;425;250;4:3:4:4;1700;1700;1700;318.75;128;8;DDR;128;
GeForce FX 5700 Ultra;October 23, 2003;NV36;130;AGP 8×;475;450;4:3:4:4;1900;1900;1900;356.25;128 256;14.4;GDDR2;128;
GeForce FX 5700 Ultra GDDR3;March 15, 2004;NV36;130;AGP 8×;475;475;4:3:4:4;1900;1900;1900;356.25;128 256;15.2;GDDR3;128;
GeForce FX 5800;January 27, 2003;NV30;130;AGP 8×;400;400;4:2:8:4;1600;1600;3200;200;128;12.8;GDDR2;128;
GeForce FX 5800 Ultra;January 27, 2003;NV30;130;AGP 8×;500;500;4:2:8:4;2000;2000;4000;250;128;16;GDDR2;128;
GeForce FX 5900 ZT;December 15, 2003;NV35;130;AGP 8×;325;350;4:3:8:4;1300;1300;2600;343.75;128;22.4;DDR;256;
GeForce FX 5900 XT;December 15, 2003[4];NV35;130;AGP 8×;390;350;4:3:8:4;1600;1600;3200;300;128;22.4;DDR;256;
GeForce FX 5900;May 2003;NV35;130;AGP 8×;400;425;4:3:8:4;1600;1600;3200;300;128;27.2;DDR;256;
GeForce FX 5900 Ultra;May 12, 2003;NV35;130;AGP 8×;450;425;4:3:8:4;1800;1800;3600;337.5;128 256;27.2;DDR;256;
GeForce PCX 5900;March 17, 2004;NV35;130;PCIe ×16;450;425;4:3:8:4;1800;1800;3600;337.5;128 256;27.2;DDR;256;
GeForce FX 5950 Ultra;October 23, 2003;NV38;130;AGP 8×;475;475;4:3:8:4;1900;1900;3800;356.25;256;30.4;DDR;256;
GeForce PCX 5950;February 17, 2004;NV38;130;PCIe ×16;475;475;4:3:8:4;1900;1900;3800;356.25;256;30.4;GDDR3;256;
Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);
