Model;Features;
OpenEXR HDR;Scalable Link Interface (SLI);TurboCache;PureVideo WMV9 Decoding;
GeForce 6100;No;No;No;Limited;
GeForce 6150 SE;No;No;Driver-Side Only;Limited;
GeForce 6150;No;No;No;Yes;
GeForce 6150 LE;No;No;Driver-Side Only;Yes;
GeForce 6200;No;No;Yes (PCIe only);Yes;
GeForce 6500;No;Yes;Yes;Yes;
GeForce 6600 LE;Yes;Yes (No SLI Connector);No;Yes;
GeForce 6600;Yes;Yes (SLI Connector or PCIe Interface);No;Yes;
GeForce 6600 DDR2;Yes;Yes (SLI Connector or PCIe Interface);No;Yes;
GeForce 6600 GT;Yes;Yes;No;Yes;
GeForce 6800 LE;Yes;No;No;No;
GeForce 6800 XT;Yes;Yes (PCIe only);No;Yes (NV42 only);
GeForce 6800;Yes;Yes (PCIe only);No;Yes (NV41, NV42 only);
GeForce 6800 GTO;Yes;Yes;No;No;
GeForce 6800 GS;Yes;Yes (PCIe only);No;Yes (NV42 only);
GeForce 6800 GT;Yes;Yes (PCIe only);No;No;
GeForce 6800 Ultra;Yes;Yes (PCIe only);No;No;
