Esperanto;Interlingua;Latin;English (traditional);
Patro Nia, kiu estas en la ?ielo,;Patre nostre, qui es in le celos,;Pater noster, qui es in cælis,;Our Father, who art in heaven,;
via nomo estu sanktigita.;que tu nomine sia sanctificate;;sanctificetur nomen tuum.;hallowed be thy name;;
Venu via regno,;que tu regno veni;;Adveniat regnum tuum.;thy kingdom come,;
plenumi?u via volo,;que tu voluntate sia facite;Fiat voluntas tua,;thy will be done;
kiel en la ?ielo, tiel anka? sur la tero.;como in le celo, etiam super le terra.;sicut in cælo, et in terra.;on earth, as it is in heaven.;
Nian panon ?iutagan donu al ni hodia?.;Da nos hodie nostre pan quotidian,;Panem nostrum quotidianum da nobis hodie,;Give us this day our daily bread;;
Kaj pardonu al ni niajn ?uldojn,;e pardona a nos nostre debitas;et dimitte nobis debita nostra,;and forgive us our debts;
kiel anka? ni pardonas al niaj ?uldantoj.;como etiam nos los pardona a nostre debitores.;sicut et nos dimittimus debitoribus nostris.;as we have forgiven our debtors.;
Kaj ne konduku nin en tenton,;E non induce nos in tentation,;Et ne nos inducas in tentationem,;And lead us not into temptation,;
sed liberigu nin de la malbono.;sed libera nos del mal.;sed libera nos a malo.;but deliver us from evil.;
Amen.;Amen.;Amen.;Amen.;
