Esperanto;IPA;Novial;
A, a;{{IPAblink|a}};A, a;
B, b;{{IPAblink|b}};B, b;
C, c;{{IPAblink|ts}};Ts, ts; S, s;
?, ?;{{IPAblink|t?}};Ch, ch; Sh, sh;
D, d;{{IPAblink|d}};D, d;
E, e;{{IPAblink|e}} or {{IPAblink|?}};E, e;
F, f;{{IPAblink|f}};F, f;
G, g;{{IPAblink|?}};G, g;
?, ?;{{IPAblink|d?}};J, j;
H, h;{{IPAblink|h}};H, h;
?, ?;{{IPAblink|x}};K, k;
I, i;{{IPAblink|i}};I, i;
J, j;{{IPAblink|j}};Y, y;
?, ?;{{IPAblink|?}};J, j;
K, k;{{IPAblink|k}};K, k;
L, l;{{IPAblink|l}};L, l;
M, m;{{IPAblink|m}};M, m;
N, n;{{IPAblink|n}};N, n;
O, o;{{IPAblink|o}} or {{IPAblink|?}};O, o;
P, p;{{IPAblink|p}};P, p;
Kv kv;{{IPA|[kv]}};Qu, qu;
R, r;{{IPAblink|r}};R, r;
S, s;{{IPAblink|s}};S, s; Z, z;
?, ?;{{IPAblink|?}};Sh, sh; Ch, ch;
T, t;{{IPAblink|t}};T, t;
U, u;{{IPAblink|u}};U, u;
?, ?;{{IPA|[u?]}};U, u (after a vowel);
V, v;{{IPAblink|v}};V, v; W, w;
Ks, ks; kz;{{IPA|[ks], [?z]}};X, x;
Z, z;{{IPAblink|z}};Z, z; S, s;
