Rank;State;GDP {{small|(in millions $USD)}};
1;{{flag|California }};2,935,332;
2;{{flag|Texas }};1,755,634;
3;{{flag|New York }};1,675,685;
4;{{flag|Florida}};1,029,154;
5;{{flag|Illinois}};857,067;
6;{{flag|Pennsylvania}};788,842;
7;{{flag|Ohio}};672,055;
8;{{flag|New Jersey}};626,684;
9;{{flagcountry|Georgia (U.S. state)}};587,325;
10;{{flag|Massachusetts}};569,290;
11;{{flag|North Carolina}};565,300;
12;{{flag|Washington}};559,011;
13;{{flag|Virginia}};532,896;
14;{{flag|Michigan}};532,039;
15;{{flag|Maryland}};414,373;
16;{{flag|Indiana}};369,209;
17;{{flag|Tennessee}};365,129;
18;{{flag|Colorado}};363,845;
19;{{flag|Minnesota}};362,904;
20;{{flag|Arizona}};344,636;
21;{{flag|Wisconsin}};335,560;
22;{{flag|Missouri}};316,735;
23;{{flag|Connecticut}};272,745;
24;{{flag|Louisiana}};249,726;
25;{{flag|Oregon}};238,687;
26;{{flag|South Carolina}};230,213;
27;{{flag|Alabama}};221,026;
28;{{flag|Kentucky}};209,562;
29;{{flag|Oklahoma}};199,572;
30;{{flag|Iowa}};189,299;
31;{{flag|Utah}};175,601;
32;{{flag|Nevada}};167,708;
33;{{flag|Kansas}};164,018;
—;{{flag|District of Columbia}};140,686;
34;{{flag|Arkansas}};127,951;
35;{{flag|Nebraska}};123,363;
36;{{flag|Mississippi}};113,334;
37;{{flag|New Mexico}};98,390;
38;{{flag|Hawaii}};91,048;
39;{{flag|New Hampshire}};85,548;
40;{{flag|West Virginia}};77,748;
41;{{flag|Idaho}};76,187;
42;{{flag|Delaware}};74,717;
43;{{flag|Maine}};64,203;
44;{{flag|Rhode Island}};61,168;
45;{{flag|North Dakota}};55,180;
46;{{flag|Alaska}};53,944;
47;{{flag|South Dakota}};51,721;
48;{{flag|Montana}};49,514;
49;{{flag|Wyoming}};40,384;
50;{{flag|Vermont}};33,522;
Total;{{flag|United States}};20,411,924;
