Rank;Nation;GDP {{small|(in millions $USD)}};
;{{noflag}}World[2];73,170,986;
1;{{flag|United States}};17,947,000;
9999999;{{flag|European Union}}{{refn|group = n|name = clarification that the EU is not a country and should not be given a rank number|The European Union (EU) is an economic and political union of {{EUnum}} member states that are located primarily in Europe. As the EU is not a country, it is not numerically ranked on the list.}}[2];16,220,370;
2;{{flag|China}};11,007,721;
3;{{flag|Japan}};4,123,258;
4;{{flag|Germany}};3,357,614;
5;{{flag|United Kingdom}};2,849,345;
6;{{flag|France}};2,421,560;
7;{{flag|India}};2,090,706;
8;{{flag|Italy}};1,815,757;
9;{{flag|Brazil}};1,772,589;
10;{{flag|Canada}};1,552,386;
11;{{flag|South Korea}};1,376,868;
12;{{flag|Russia}};1,324,734;
13;{{flag|Australia}};1,322,827;
14;{{flag|Spain}};1,321,915;
15;{{flag|Mexico}};1,144,334;
16;{{flag|Indonesia}};858,953;
17;{{flag|Netherlands}};738,419;
18;{{flag|Turkey}};733,642;
19;{{flag|Switzerland}};664,603;
20;{{flag|Saudi Arabia}};653,219;
21;{{flag|Argentina}};585,623;
22;{{flag|Taiwan}};523,581;
23;{{flag|Sweden}};492,618;
24;{{flag|Nigeria}};490,207;
25;{{flag|Poland}};474,893;
26;{{flag|Belgium}};454,687;
27;{{flag|Thailand}};395,288;
28;{{flag|Norway}};389,482;
29;{{flag|Iran}};387,611;
30;{{flag|Austria}};374,124;
31;{{flag|United Arab Emirates}};345,483;
32;{{flag|Egypt}};330,765;
33;{{flag|South Africa}};312,957;
;{{flag|Hong Kong}};309,931;
34;{{flag|Malaysia}};296,219;
35;{{flag|Israel}};296,073;
36;{{flag|Denmark}};294,951;
37;{{flag|Colombia}};293,243;
38;{{flag|Singapore}};292,734;
39;{{flag|Philippines}};291,965;
40;{{flag|Pakistan}};269,971;
41;{{flag|Chile}};240,222;
42;{{flag|Venezuela}};239,572;
43;{{flag|Ireland}};238,031;
44;{{flag|Finland}};229,671;
45;{{flag|Bangladesh}};205,715;
46;{{flag|Portugal}};199,077;
47;{{flag|Greece}};195,320;
48;{{flag|Peru}};192,141;
49;{{flag|Vietnam}};191,454;
50;{{flag|Qatar}};185,395;
51;{{flag|Czech Republic}};181,858;
52;{{flag|Romania}};177,315;
53;{{flag|Kazakhstan}};173,212;
54;{{flag|Algeria}};172,278;
55;{{flag|New Zealand}};172,248;
56;{{flag|Iraq}};169,460;
57;{{flag|Kuwait}};120,682;
58;{{flag|Hungary}};120,636;
59;{{flag|Morocco}};103,142;
60;{{flag|Angola}};102,979;
61;{{flag|Ecuador}};98,828;
62;{{flag|Ukraine}};90,524;
63;{{flag|Slovak Republic}};86,629;
64;{{flag|Sudan}};83,612;
65;{{flag|Sri Lanka}};82,095;
66;{{flag|Syria}}{{refn|Data for Syria's 2014 GDP is from the September 2011 WEO Database, the latest available from the IMF.|group = n}};77,460;
67;{{flag|Dominican Republic}};67,492;
68;{{flag|Myanmar}};66,983;
69;{{flag|Uzbekistan}};65,683;
70;{{flag|Guatemala}};63,911;
71;{{flag|Ethiopia}};61,629;
72;{{flag|Kenya}};61,405;
73;{{flag|Oman}};58,491;
74;{{flag|Luxembourg}};57,423;
75;{{flag|Belarus}};54,609;
76;{{flag|Azerbaijan}};54,048;
77;{{flag|Uruguay}};53,794;
