BitTorrent client;GUI;Remote;CLI;Other;Programming language;Based on;IPv6;µTP;
ABC;{{yes}};{{yes}};{{no}};{{no}};Python;BitTornado;{{partial|buggy}}[19];{{no}};
Acquisition;{{yes}};{{no}};{{no}};{{no}};Objective-C, Cocoa;Limewire;{{no}};{{no}};
BitComet;{{yes}};{{yes}};{{Partial}}[20];{{no}};C++;;{{no}};{{no}};
BitLet;{{no}};{{no}};{{no}};{{yes|Webapp}};Java Applet;;{{no}};{{no}};
BitLord;{{yes}};{{no}};{{no}};{{no}};Python, C++;libtorrent (Rasterbar);{{yes}};{{no}};
BitTornado;{{yes}};{{no}};{{partial}};{{no}};Python;BitTorrent;{{yes}};{{no}};
BitTorrent 5, Mainline;{{yes}};{{no}};{{partial}};{{no}};Python;;{{no}};{{no}};
BitTorrent 6;{{yes}};{{yes}};{{partial}};{{no}};C++;µTorrent;{{yes}};{{yes}};
BitTyrant;{{yes}};{{yes}};{{partial}};{{yes|Telnet, XML over HTTP remote control API}};Java, SWT;Azureus;{{yes}};{{no}};
Blog Torrent;{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};{{no}};
Deluge;{{yes}};{{yes}};{{yes}};{{yes|Daemon}};Python, C++;libtorrent (Rasterbar);{{yes}};{{yes}}[21];
FlashGet;{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};{{no}};
Free Download Manager;{{yes}};{{yes}};{{partial}};{{no}};C++;libtorrent (Rasterbar);{{no}};{{no}};
Frostwire;{{yes}};{{no}};{{no}};{{no}};Java;libtorrent (Rasterbar);{{no}};{{yes}}[22];
KGet;{{yes}};{{yes}};{{Partial}}[23];{{no}};C++;;{{yes}};{{no}};
KTorrent;{{yes}};{{yes}};{{partial}};{{no}};C++;;{{yes}};{{yes}}[24];
LimeWire;{{yes}};{{no}};{{no}};{{no}};Java;libtorrent (Rasterbar);{{no}};{{no}};
Meerkat Bittorrent Client;{{yes}};{{no}};{{no}};{{no}};C++;;{{no}};{{no}};
Miro;{{yes}};{{no}};{{no}};{{no}};C++;libtorrent (Rasterbar);{{no}};{{no}};
MLDonkey;{{no}};{{yes2|Third Party}}[25];{{partial}};{{yes|Telnet}};OCaml;;{{no}};{{no}};
µTorrent;{{yes}};{{yes}};{{no}}[26];{{yes|RESTful Web API}}[27];C++[28];;{{yes}}[29];{{yes}}[30];
OneSwarm;{{partial}};{{yes}};{{partial|No-partial}};{{no}};Java;Azureus;{{yes}};{{no}};
Opera 12;{{yes}};{{no}};{{no}};{{no}};C++;;{{yes}};{{no}};
qBittorrent;{{yes}};{{yes}};{{partial}};{{no}};Python, C++;libtorrent (Rasterbar);{{yes}};{{yes}}[31];
rTorrent;{{no}};{{yes2|Third Party}};{{yes}};{{yes|SCGI}};C++;libTorrent (Rakshasa);{{no}}[32];{{no}};
Shareaza;{{yes}};{{yes}};{{partial}};{{no}};C++;;{{no}};{{no}};
SymTorrent;{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};{{no}};
Tixati;{{yes}};{{yes}};{{no}};{{no}};C++;;{{yes}};{{yes}}[33];
Tomato Torrent;{{yes}};{{no}};{{no}};{{no}};Cocoa;BitTorrent;{{no}};{{no}};
Tonido;{{no}};{{yes}};{{no}};{{no}};C++;libtorrent (Rasterbar);{{no}};{{no}};
TorrentFlux;{{no}};{{yes}};{{no}};{{no}};PHP;BitTornado;{{no}};{{no}};
Transmission;{{yes}};{{yes}};{{yes}};{{yes|Daemon, JSON-RPC over HTTP remote control API}};C, Objective-C;;{{yes}};{{yes}}[34];
Tribler;{{yes}};{{partial}};{{partial}};{{no}};Python, C++;libtorrent (Rasterbar);{{no}};{{yes}};
Vuze (formerly Azureus);{{yes}};{{yes}};{{partial}};{{yes|Telnet, XML over HTTP remote control API}};Java, SWT;;{{yes}};{{yes}}[35];
Xunlei;{{yes}};{{no}};{{no}};{{yes|remote control over internet[36]}};C++;;{{no}};{{no}};
BitTorrent client;GUI;Web;CLI;Other;Programming language;Based on;IPv6;µTP;
