BitTorrent client;Cache [66];Hash Web seeding;HTTP Web seeding;Broad-catching (RSS);Prioritization;Selective downloads;Sequential downloading;SOCKS;Tracker exchange [67];Remote control via web;Search engine;Auto updates;Reviews and Comments;Notes;
ABC;{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes2}} Separate download;{{no}};{{no}};;
Acquisition;{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};3 torrents max, infinite when registered;
BitComet;{{yes}};{{no}};{{partial|Partial [68]}}[69];{{beta}};{{yes}};{{yes}};{{yes}}[70];{{yes}};{{no}};{{yes}};{{partial|Built-in Web browser}};{{yes}};{{no}};Portable version available;
BitLet;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};;
BitLord;{{yes}};{{no}};{{partial|Partial [71][68]}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{partial|Built-in Web browser}};{{yes}};{{no}};;
BitTornado;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes2}} via PMS;{{no}};;
BitTorrent 5, Mainline;{{no}};{{yes}};{{partial|Partial [68]}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};;
BitTorrent 6;{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};;
BitTyrant;{{yes}};{{yes}}[72];{{yes}};{{yes2}} Plugin;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes2}} Plugin[73];{{partial|3rd party plugins}};{{yes}};{{no}};Upload priority optimized according to a series of research papers;
Blog Torrent;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;
Deluge;{{yes}};{{yes}};{{partial|Partial [71]}};{{yes2}} Plugin;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{yes2}} via PMS;{{no}};;
FlashGet;{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};FlashGet (standalone application) is not FlashGot (Firefox Addon);
Free Download Manager;{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{Optional}};{{no}};;
KTorrent;{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{partial|Built-in Web browser}};{{yes2}} via PMS;{{no}};;
LimeWire;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};;
Meerkat Bittorrent Client;{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;
MLDonkey;{{yes}};{{no}};;{{partial|3rd party bash script}};{{yes}};{{no}};{{no}};{{no}}[74];{{no}};{{yes}};{{partial|Built-in Web browser}};{{yes2}} via PMS;{{no}};;
µTorrent;{{yes}};{{yes}}[75];{{partial|Partial [68]}};{{yes}}[76];{{yes}}[77];{{yes}};{{yes}}[78];{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};;
