Site;Specialization;Is a tracker;Directory;Public;RSS;One-click download;Sortable;Comments;Multi-tracker index;Ignores DMCA;Tor friendly;Alexa Traffic Rank;
The Pirate Bay;{{yes|None}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{sort|000106|106}}[5];
Rarbg;{{yes|None}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{sort|000266|266}}[6];
YTS.AM[7];Movies;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{sort|000308|308}}[8];
1337x[9];{{yes|None}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}}[10];{{no}};{{sort|000320|320}}[11];
Rutracker;{{yes|None}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{sort|000327|327}}[12] <!-- It has been down since 4 Sept 2017;
Torrent Project[13];DHT search engine;{{no}};{{yes}}[14];{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}}[15];{{no}};{{sort|000826|826}}[16] -->;
Limetorrents[17];{{yes|None}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{sort|001266|1,266}}[18];
Torrents.me[19];Search;{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{sort|002264|2,264}}[20];
Zooqle[21];Search;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{sort|002330|2,330}}[22];
Torrent downloads[23];{{yes|None}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{sort|002421|2,421}}[24];
IPTorrents[25];{{yes|None}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{sort|002460|2,460}}[26];
Demonoid;{{yes|None}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{?}};{{?}};{{yes}};{{sort|003970|3,970}}[27];
YourBittorrent;{{yes|None}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}}[28];{{no}};{{sort|004131|4,131}}[29];
Torlock[30];No;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}}[31];?;{{sort|004945|4,945}}[32];
torrentleech.org[33];No;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{sort|007803|7,803}}[34];
Empornium;Pornography;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{sort|009755|9,755}}[35];
isoHunt;{{yes|None}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}}[36];{{no}};{{sort|017317|17,317}}[37];
HDBits[38];Movies;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{sort|025941 |25,941}}[39];
Worldwidetorrents.me[40];{{yes|None}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{sort|026688|26,688}}[41];
ETTV[42];{{yes|None}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{sort|031902|31,902}}[43];
RevolutionTT[44];{{yes|None}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{sort|032860|32,860}}[45];
apollo.rip[46];Music;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{sort|046738|46,738}}[47];
ETtorrent;{{yes|None}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{sort|056150|56,150}}[48];
Waffles[49];Music;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{sort|074558|74,558 }}[50];
AnimeSuki;Anime & otaku subculture[51];{{no}};{{yes}}[52];{{yes}};{{yes}};{{yes}};{{no }};{{no}};{{no}};?;?;{{sort|093,8434|93,843}}[53];
etree;Live concerts;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};?;?;{{sort|097818| 97,818}}[54];
MovieMagnet[55];Movies;{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};?;{{sort|349627|349,627}}[56];
NyaaV2;CJK contents, especially otaku subculture like anime;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes }};{{yes}};{{no}};{{yes}};{{no}};{{sort|000560|560}}[57];
Site;Specialization;Is a tracker;Directory;Public;RSS;One-click download;Sortable;Comments;Multi-tracker index;Ignores DMCA;Tor friendly;Alexa Traffic Rank;
