Object orientation;Java;C#;
Classes;{{yes|mandatory}};{{yes|mandatory}};
Interfaces;{{yes}};{{yes}};
Abstract classes;{{yes}};{{yes}};
Member accessibility levels;{{yes|Yes; public, package, protected, private}};{{yes|Yes; public, internal, protected, private, protected internal}};
Class-level inner classes;{{yes}};<kbd>static</kbd> inner classes are class level;{{yes}}; all inner classes are class level;
Instance-level inner classes;{{yes}};{{no}};
Statement-level (local) anonymous classes;{{yes}};{{yes|Yes; but without methods| style=background: #8CF;}};
Partial classes;{{no | style=background: #8CF;}}; Third-party library[45];{{yes}};
Implicit (inferred) anonymous classes;{{no}};{{yes}}[46];
Deprecation/obsolescence;{{yes}};{{yes}};
Overload versioning;{{some}};{{yes}};
Enums can implement interfaces;{{yes}};{{no}};
Properties;{{no}}, but see JavaBeans spec;{{yes}};
Events;{{yes|Provided by standard libraries}};{{yes|Built-in language feature}};
Operator overloading;{{no}};{{yes}};
Indexers;{{no}};{{yes}};
Implicit conversions;{{no | style=background: #8CF;}}; but see autoboxing;{{yes}};
Explicit conversions;{{yes}};{{yes}};
