Name;First public release date;Creator;Owner or maintainer {{As of|2016|lc=y}};License;
86-DOS 0.42;1981-02-25;Seattle Computer Products;rowspan="15" {{no|Support ended}};rowspan="40" {{Proprietary}};
86-DOS 1.00;1981-04-28;
PC DOS 1.0;1981-08-12;Microsoft (for IBM);
PC DOS 1.1;1982-05-??;
PC DOS 2.0;1983-03-??;
PC DOS 2.1;1983-10-??;
PC DOS 3.0;1984-08-??;
PC DOS 3.1;1985;
PC DOS 3.2;1986;
PC DOS 3.3;1987;
IBM DOS 4.0 (called PC DOS 4.0);1988;
IBM DOS 5.0 (called PC DOS 5.0);1991;
PC DOS 6.1, PC DOS 6.3;1993;
PC DOS 7.0 (revision 0);1995;
PC DOS 2000 (PC DOS 7.0 revision 1);1998;
PC DOS 7.10;2003;{{no|Support ended by IBM}};
MS-DOS 1.25[1] (first version named "MS-DOS");1982;Microsoft;rowspan="16" {{no|Support ended}};
Z-DOS 1.25;1982-05-??;OEM Zenith Data Systems;
MS-DOS 2.0;1983-03-??;Microsoft;
MS-DOS 2.11;1983-12-??;
MS-DOS 3.0;1984;
MS-DOS 3.1;1984;
MS-DOS 3.2;1986;
MS-DOS 3.3;1987;
MS-DOS 4.0;1988;
MS-DOS 5.0;1991;
MS-DOS 6.0;1993;
MS-DOS 6.20;1993;
MS-DOS 6.21;1994;
MS-DOS 6.22;1994;
MS-DOS 7.0 (Windows 95A);1995;
MS-DOS 7.10 (Windows {{nowrap|95 OSRs 2 and 2.5}}, 98, {{nowrap|98 SE}});1996;
MS-DOS 8.0 (Windows ME and later)[2];2000;{{No|Support ended by Microsoft}}[3];
DOS Plus 1.1, 1.2/1.2a;1985;Digital Research;rowspan="7" {{no|Support ended}};
DOS Plus 2.1;1986;
DR DOS 3.31-3.35;1988;
DR DOS 3.40-3.41;1989;
DR DOS 5.0;1990;
DR DOS 6.0;1991;
Novell DOS 7;1993;Novell;
Caldera OpenDOS 7.01;1997;Caldera, Inc.; Caldera UK, Ltd.;{{some|Support ended}} officially; a derivative, Enhanced DR-DOS, is maintained by Udo Kuhnt;rowspan="2" {{Partial}}, free non-commercial use;
Caldera DR-OpenDOS 7.02;rowspan="2" {{no|Support ended}};
Caldera DR-DOS 7.02;1998;rowspan="4" {{Proprietary}};
Caldera DR-DOS 7.03;1999, 1998 prereleased;Caldera Thin Clients, Inc.; Caldera UK, Ltd; Lineo, Inc.;{{yes|DRDOS, Inc.}};
DR-DOS 8.0;2004;DeviceLogics;rowspan="2" {{no|Support ended}};
DR-DOS 8.1[4];2005;DRDOS, Inc.;
FreeDOS 1.0;2006-09-03;Jim Hall, et al.;rowspan="3" {{yes|The FreeDOS Project}};rowspan="3" {{Free}}, GPL;
FreeDOS 1.1;2012-01-02;
FreeDOS 1.2;2016-12-25;
PTS-DOS 6.4;1993;PhysTechSoft[5];rowspan="5" {{no|PhysTechSoft}};rowspan="11" {{Proprietary}};
PTS-DOS 6.5;?;
PTS-DOS 6.6;?;
PTS-DOS 2000 (6.7);?;
PTS-DOS 32 (7.0);?;
PTS-DOS 6.51;ca. 1995;Paragon Technology Systems;rowspan="2" {{no|Paragon Technology Systems}};
Paragon DOS 2000 Pro;?;
ROM-DOS 6.22[6];?;Datalight;rowspan="2" {{yes|Datalight}};
ROM-DOS 7.1[6];?;
Embedded DOS;?;General Software;{{no|General Software}};
DIP DOS 2.11;1989;DIP Research, Atari Corporation;{{no|Support ended}};
RxDOS;1994;Michael Podanoffsky;;
