Client;Creator;First public release date;Latest stable version;Software license;Copy files over 2 GB[1];
ALFTP;ESTsoft;2000;5.31 {{Start date and age|2012|02|01}};Proprietary;{{dunno}};
ExpanDrive (Mac);ExpanDrive, Inc;2008;{{Latest stable software release/ExpanDrive}};Proprietary;{{yes}};
ExpanDrive (Windows) (formerly SFTPDrive);ExpanDrive, Inc;2005;{{Latest stable software release/ExpanDrive}};Proprietary;{{yes}};
ForkLift;BinaryNights, LLC;2007;3.2.2 {{Start date and age|2018|04|10}};Proprietary;{{yes}};
FTP Commander;Internetsoft Corporation;1997;9.21 {{Start date and age|2010|11|08}};Proprietary;{{yes}};
FTP Explorer;FTPx Corp.;October, 1996;1.0.1.53; January 2012;Proprietary;{{dunno}};
Interarchy;Nolobe Software Pty Ltd;1993 (as Anarchie);10.0.6 {{Start date and age|2014|08|18}};Proprietary;{{yes}};
Robo-FTP;Serengeti Systems Incorporated;2001;3.10.11 {{Start date and age|2017|04|14}};Proprietary;{{yes}};
Steed;French Fry, SAS;2012;1.2.1.1169 {{Start date and age|2017|06|27}};Proprietary;{{yes}};
Transmit;Panic, Inc.;1998;5.0.4 {{Start date and age|2017|10|02}};Proprietary;{{yes}};
WISE-FTP;AceBIT;1998;7.0 (Build 7.0.4) {{Start date and age|2012|03|16}};Proprietary;{{dunno}};
edtFTPj;Bruce P. Blackshaw;2000;2.3.0 {{Start date and age|2011|08|26}};Proprietary;{{yes}};Java JAR file;
edtFTPnet;Bruce P. Blackshaw;2003;2.2.1 {{Start date and age|2011|08|26}};Proprietary;{{yes}};Windows DLL;
Ultimate FTP .NET Lib;ComponentPro;2006;6.8.1 {{Start date and age|2017|11|02}};Proprietary;{{yes}};Windows DLL;
ScriptFTP;FrozenFrog Software;2018;4.5 {{Start date and age|2018|02|05}};Proprietary;{{yes}};Windows;
sFTP Client;sFTP Client Ltd;2013;3.1.6 {{Start date and age|2018|08|18}};Proprietary;{{yes}};Windows, macOS, Linux;
Desktop.Tech;Micro Formatica;2018;0.5.0 {{Start date and age|2018|10|31}};Proprietary;{{yes}};
