Model;Processor;Memory;Display;Input method;Stack;Programming languages;Computer algebra system;Character set;Connectivity;Power supply;Release year;Predecessors;Successors;
HP Prime G2 (2AP18AA);528 MHz NXP i.MX 6ULL MCIMX6Y2 (Cortex A7 core, ARMv7 architecture);256 MB RAM, 512 MB flash;320×240 pixel 16-bit color multi-touch TFT LCD with backlight;Algebraic, Entry RPN;Fixed (128 level);PPL;Xcas/Giac-based;Unicode;USB (Micro-AB) USB-OTG;USB-rechargeable 3.7V/2000mAh/7.4Wh Li-Ion, USB;2018;HP Prime G1;None;
HP Prime G1 (NW280AA, G8X92AA);400 MHz Samsung S3C2416XH-40 (ARM926EJ core, ARMv5 architecture);32 MB RAM, 256 MB flash;320×240 pixel 16-bit color multi-touch TFT LCD with backlight;Algebraic, Entry RPN;Fixed (128 level);PPL;Xcas/Giac-based;Unicode;USB (Micro-AB) (USB-OTG only with G8X92AA model);USB-rechargeable 3.7V/1500mAh/5.55Wh Li-Ion (compatible: Samsung Galaxy S3 2200mAh), USB;2013;HP 39gII, (HP 50g);HP Prime G2;
HP 50g (F2229A, NW240AA);75 MHz (203 MHz) Samsung S3C2410A[1] (ARM920T core, ARMv4T architecture);512 KB RAM, 2 MB flash, expandable via 2 GB SD card;131×80 pixel monochrome LCD;Entry RPN, Algebraic;Dynamic;RPL, Algebraic RPL;Erable-based;8-bit RPL character set (with euro sign[2][3][4]);USB (Mini-B), IrDA, 1×4-pin 3.3V TTL serial (RS-232 via active converter);4×1.5V (6V) AAA, 1×3V CR2032, USB;2006–2015[5][6][7];hp 49g+;(HP Prime);
hp 49g+ (F2228A);75 MHz (203 MHz) Samsung S3C2410X01 (ARM920T core, ARMv4T architecture);512 KB RAM, 2 MB flash, expandable via 2 GB SD card;131×80 pixel monochrome LCD;Entry RPN, Algebraic;Dynamic;RPL, Algebraic RPL;Erable-based;8-bit RPL character set (with euro sign[2][3][4]);USB (Mini-B), IrDA;3×1.5V (4.5V) AAA, 1×3V CR2032;2003–2006;HP 49G;HP 50g;
HP 48gII (F2226A);48 MHz (203 MHz) Samsung S3C2410X01 (ARM920T core, ARMv4T architecture);128 KB RAM (256 KB RAM - 2007 model only), not flashable;131×64 pixel monochrome LCD;Entry RPN, Algebraic;Dynamic;RPL, Algebraic RPL;Erable-based;8-bit RPL character set (with euro sign[3][4]);(USB (Mini-B) - 2007 model only), IrDA, 1×4-pin 3.3V TTL serial (RS-232 via active converter);3×1.5V (4.5V) AAA (4×1.5V (6V) AAA - 2007 model only), 1×3V CR2032, USB (2007 model only);2003;HP 48G+;HP 49g+;
HP 49G (F1633A, F1896A);4 MHz Yorke (Saturn 1LT8 core);512 KB RAM, 2 MB flash;131×64 pixel monochrome LCD;Entry RPN, Algebraic;Dynamic;RPL, Algebraic RPL;Erable-based;8-bit RPL character set (with euro sign[3][4]);2×5-pin RS-232;3×1.5V (4.5V) AAA;1999–2003;HP 48GX, HP 48G+;hp 49g+;
HP 48G+ (F1630A, F1894A);4 MHz Yorke (Saturn 1LT8 core);128 KB RAM, not flashable;131×64 pixel monochrome LCD;Entry RPN;Dynamic;RPL;Rudimentary[8];8-bit RPL character set[9][10];1×4-pin RS-232, HP SIR;3×1.5V (4.5V) AAA;1998–2003[11];HP 48G;HP 49G;
HP 48G;3.68-4 MHz Yorke (Saturn 1LT8 core);32 KB RAM, not flashable;131×64 pixel monochrome LCD;Entry RPN;Dynamic;RPL;Rudimentary[8];8-bit RPL character set[9][10];1×4-pin RS-232, HP SIR;3×1.5V (4.5V) AAA;1993–2003[11];HP 48S;HP 48G+, HP 49G;
HP 48GX (F1895A);4 MHz Yorke (Saturn 1LT8 core);128 KB RAM, expandable via 128 KB and 4 MB max. card slots, not flashable;131×64 pixel monochrome LCD;Entry RPN;Dynamic;RPL;Rudimentary[8];8-bit RPL character set[9][10];1×4-pin RS-232, HP SIR;3×1.5V (4.5V) AAA;1993–2003[11];HP 48SX;HP 49G;
