! HTML5 standard;HTML web browser features;Adobe Flash/AIR features;
Date started;Work began in 2003 Working Draft as of 2011[3];N/A;Work began in 1996[4] Version 1 released in 1997;
Desktop operating systems;N/A;{{yes|AmigaOS, MorphOS, Apple macOS, Linux, Microsoft Windows}};{{yes| Apple macOS, Linux, Microsoft Windows}};
Mobile operating systems;N/A;{{yes|Android 2.3+,[5] Apple iOS 6+,[5] Symbian Belle+,[5] BlackBerry OS 7+,[5] Windows Phone 8+,[5] }};{{depends|Up to Android 4.0[6] (unofficially for Android 4.1 and above),[7] BlackBerry PlayBook,[8] BlackBerry 10 v10.0 - 10.3.0 (10.3.1 unofficially supported),[9] Windows RT }},[10] iOS 64-bit Support, Leapfrog Leapster (Uses cartriges that contains flash files.);
Video game consoles;N/A;{{yes| Sony PlayStation 3,[11][12][13] Xbox 360,[11][14] Nintendo Wii,[11][15][16][17] PlayStation Vita}};{{depends|Sony PlayStation 3 (Flash 9 only), Nintendo Wii (Flash Lite only)}};
Device support;N/A;{{depends|Limited access to web camera, microphone, accelerometer, GPS}};{{yes|Full access to web camera, microphone, accelerometer, GPS}};
Market penetration;N/A;{{yes|~96% of internet connected PCs are CSS 2/3 ACID compliant,[18] ~99% support JavaScript 1.5 or above,[19] ~97% of devices support basic SVG[20]}};{{depends|~95% of internet connected PCs[21] (~83% have Flash Player 11, ~17% have 10 and below),[22]}} but >50% of web traffic comes from mobile devices[23];
Vector graphics formats;N/A;{{yes|Scalable Vector Graphics (SVG) supported on ~97% of browsers[20]}};{{yes|SWF with embedded graphics and AS3SVGRenderer}};
Bitmap effects;{{yes}};{{yes|90+%[24] support of Filters in CSS3 (e.g. Glow, Blur, Drop Shadow, Sepia)[25]}};{{yes}}, applied to text or graphics (e.g. Glow, Drop Shadow, Bevel)[26];
Vector text display;{{yes}};{{yes}};{{yes}}, with Saffron Type System;
Font support;N/A;{{yes|Installed fonts and custom fonts using CSS 3 web fonts}};{{yes|Installed fonts and embedded fonts}}[27];
Text anti-aliasing;N/A;{{yes}}, implemented in most browsers, for system and custom fonts;{{yes}}, in most cases{{note|b|2}};
Text tab stops;{{no}};{{depends|Only supported inside "pre" tags}};{{yes}}, with Text Layout Framework;
Liquid text layout;{{yes}};{{yes}}, via "div" tag and CSS styling;{{depends|No, but text fields can be resized in ActionScript}};
Tabular data;{{yes}};{{yes}}, via "table" tag;{{depends|No, but text fields can be arranged into a grid}};
Linked text frames{{note|a|1}};{{depends|{{As of|2016}}, two specifications compete: CSS Regions[28] and CSS Overflow[29]}};{{depends|With CSS Regions, supported by Safari, IE11 and Edge}}[30];{{yes}}, with Text Layout Framework[31];
Programming languages;{{depends}};{{yes|JavaScript}};{{yes|ActionScript, Pixel Bender}};
C++ support;{{yes|Cross-compiling C++ code to JavaScript via Emscripten}};{{depends|Native code execution with Google Native Client in Google Chrome, also supported with WebAssembly (experimental)}};{{yes|Cross-compiling C++ code to run in Flash Player via FlasCC[32] AIR has AIR Native Extensions that allow loading native code, such as compiled c++ code.}};
Code delivery format;Plaintext;Plaintext JavaScript with limited obfuscation, WebAssembly bytecode (experimental), GLSL for GPUs, in Canvas elements;Compiled bytecode, can be obfuscated;
Data formats;{{depends}};{{yes|CSS 3, HTML, XML, JSON}}[33];{{yes|JSON, XML, Subset of CSS 1}}[34];
Data compression;{{no}};{{yes|GZIP compression for HTML, JS and CSS files[35]}};{{yes|LZMA or DEFLATE for SWF files}};
Image formats;{{depends}};{{yes|PNG, JPEG, Animated GIF}};{{yes|PNG, JPEG, JPEG-XR, Single-frame GIF}}[36][37];
Video formats;{{depends}};{{yes|90+% support of H.264;[38] varying support of WebM and Ogg Theora (see HTML5 video)}};{{yes|H.264, Sorenson Spark, and On2 VP6}}[39];
Streaming video;{{yes}}[40];{{yes|Supported by IE, Edge, Firefox, Chrome, Safari and Opera.}}[41];{{yes|Flash Video, H.264 and partial support for MP4}};
Audio formats;{{depends}};{{yes|~94% support of MP3,[42] AAC[43] and WAV PCM; varying support of Ogg Vorbis, and WebM Vorbis (see HTML5 audio)}};{{yes|MP3, WAV and AAC audio files or embedded sound}};
Fullscreen support;{{yes}}[44];{{yes|Supported on all major desktop browsers, with warning displayed.[45] Not yet widely supported on mobile}};{{yes}}, with warning displayed;
Encryption DRM;{{depends}};{{depends|~65% support of audio/video files.[46] All other files being plaintext, except for obfuscation}};{{depends|No, binary formatted files can be decompiled, which is obfuscation}};
File system access;{{depends}};{{depends|~87% support of single file upload, and drag and drop of files onto browser[47]}};{{yes|Support for single file upload and generation,[48] AIR only: full create/read/write access to file system[49]}};
Bitmap manipulation;{{depends}};{{yes|~95% support for canvas element[50]}};{{yes}}, via BitmapData class[51];
Binary manipulation;{{yes}};{{yes}}, via JavaScript Typed Arrays[52];{{yes}}, via ByteArray class[53];
Large binary data;{{no}};{{depends|Via Web Sockets to stream binary or XML data}};{{yes}}, embedded or streaming binary data[54];
Offline storage;{{depends}};{{yes}}, via Web storage, HTTP cookie, or Indexed DB to store binary, XML or JSON data[55];{{yes}}, via Local Shared Objects to store AMF-formatted data;
Metadata;{{yes|Meta tags}};{{yes|Can be included in meta tags}};{{yes|Extensible Metadata Platform}};
