Editor;Version;Year;Creator;Software license;
Amaya (Discontinued);11.4.4 (January 18);2012;W3C, INRIA;{{free| W3C}};
Aptana Studio;3.6.0 (August 1);2014;Aptana;{{free|GPL}};
Arachnophilia;5.5, build 2935 (March 9);2018;Paul Lutus [1];{{free|LGPL}};
Atom;1.32.2 (October 6);2018;GitHub;MIT License;
Bluefish;2.2.10 (January 27);2017;Bluefish;{{free| GPL}};
BlueGriffon;3.0.1 (November 22);2017;Disruptive Innovations;{{free| MPL 1.1/GPL 2.0/LGPL 2.1}};
Brackets;1.13 (June 18);2018;Adobe;{{free|MIT License}};
Claris Homepage (Discontinued);3.0;1998;Claris;{{proprietary}};
Coda;2;2012;Panic, Inc.;{{proprietary}};
Codelobster;5.10.1 (August 22);2016;Codelobster Software;{{proprietary}};
CoffeeCup HTML Editor;15.1 (July 10);2015;CoffeeCup Software;{{proprietary}};
CudaText;1.57.0 (June 25);2018;UVViewSoft (alexey_t, kvichans, matthias030);{{free|MPL 2.0}};
Contribute;CS6.5 (8)(August 23);2012;Adobe Systems (formerly Macromedia);{{proprietary}};
Dreamweaver;CC 2018 (18.2) (May 1);2018;Adobe Systems (formerly Macromedia);{{proprietary}};
EZGenerator;4.1 (December);2012;Image-Line;{{proprietary}};
Freeway;5.4.2 (November);2009;Softpress;{{proprietary}};
GoLive (Discontinued);9.0 (June 1);2007;Adobe Systems (formerly GoLive Systems);{{proprietary}};
Google Web Designer;(July);2018;Google, Inc.;{{proprietary}};
HTML-Kit;292;;Chami.com;{{proprietary}};
KompoZer (Discontinued);0.7.10/0.8b3 (August 30, 2007/ March 1, 2010);2010;Kaze;{{free|MPL 1.1/GPL 2.0/LGPL 2.1}};
LibreOffice;6.1.2 (September 27);2018;The Document Foundation;{{free|Mozilla Public License/Apache License 2.0/others}};
Maqetta;Preview 5 (March 28);2013;IBM;{{free| BSD or AFL}};
Microsoft Expression Web (Discontinued);4.0.1460.0 (December 20);2012;Microsoft;{{proprietary}};
Microsoft Office FrontPage (Discontinued);11.0.8174 (October 21);2003;Microsoft;{{proprietary}};
Microsoft FrontPage Express (Discontinued);2.0;1997;Microsoft;{{proprietary}};
Web Architect;6.9.1 (July 25);2012;mirabyte;{{proprietary}};
Microsoft SharePoint Designer (Discontinued);2007 (December 4);2006;Microsoft;{{proprietary}};
Microsoft Visual Studio Code;1.28.1 (October 11);2018;Microsoft;MIT License;
Microsoft Visual Web Developer;;2008;Microsoft;{{proprietary}};
Mobirise;4.8;2018;Mobirise.com;{{proprietary}};
Mozilla Composer (Discontinued);1.7.13 (April 21);2006;Mozilla Foundation;{{free|MPL 1.1/GPL 2.0/LGPL 2.1}};
Nvu (Discontinued);1.0 (June 28);2005;Linspire / Daniel Glazman;{{free|MPL 1.1/GPL 2.0/LGPL 2.1}};
openElement;1.44 (January 21);2014;openElement;{{free|Apache License 2.0}};
OpenOffice.org;4.1.5 (October 19);2017;Apache Foundation;{{free|Mozilla Public License/Apache License 2.0/others}};
oXygenXML Editor[2];17.1 (October);2015;Syncro Soft;{{proprietary}} (some components Apache License 2.0);
Quanta Plus (Discontinued);3.5.9 (February 20);2008;The Quanta Team;{{free|GPL}};
Rapidweaver;7.1;2016;Realmac Software;{{proprietary}};
RocketCake;1.4;2017;Ambiera;{{proprietary}};
SeaMonkey Composer;2.49.1 (November 4);2017;SeaMonkey Council;{{free|MPL}};
TextMate;2.0 Preview (August 12);2012;Macromates;{{free| GPL}};
TOWeb;5.07 (July 28);2013;Lauyan Software;{{proprietary}};
WebStorm IDE;7.0 (September 26);2013;JetBrains;{{proprietary}};
Editor;Version;Year;Creator;Software license;
