Editor;Windows;OS X;Linux;BSD;Unix;iOS;Android;
Amaya;{{terminated}} 2012;{{terminated}} 2012;{{terminated}} 2012;source only {{terminated}} 2012;source only {{terminated}} 2012;{{no}};{{no}};
Aptana;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Arachnophilia;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Bluefish;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
BlueGriffon;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Brackets;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Claris Homepage;{{terminated}} (3.0);{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Codelobster;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
CoffeeCup HTML Editor;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
CudaText;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Contribute;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Dreamweaver;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
EZGenerator;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Freeway;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
GoLive;{{terminated}} (9.0);{{terminated}} (9.0);{{no}};{{no}};{{no}};{{no}};{{no}};
HTML-Kit;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
KompoZer [3];{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
LibreOffice;{{yes}};{{yes}};{{yes}};source only;source only;{{no}};{{no}};
Maqetta;{{yes}};{{yes}};Cloud[4];Cloud[4];{{no}};{{no}};{{no}};
Microsoft Expression Web;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Microsoft FrontPage;{{terminated}} (2003);{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Microsoft SharePoint Designer;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Microsoft Visual Web Developer;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Web Architect;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Mobirise;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};
Mozilla Composer;{{terminated}} (1.7.13);{{terminated}} (1.7.13);{{terminated}} (1.7.13);{{terminated}} (1.7.13);{{terminated}} (1.7.13);{{no}};{{no}};
Nvu [5];{{terminated}} (1.0);{{terminated}} (1.0);{{terminated}} (1.0);{{terminated}} (1.0);{{no}};{{no}};{{no}};
openElement;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
OpenOffice.org;{{yes}};{{yes}};{{yes}};source only;source only;{{no}};{{no}};
oXygenXML Editor;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Quanta Gold (deprecated);{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Quanta Plus (Discontinued);{{no}};{{terminated}} 2009;{{terminated}} 2009;{{terminated}} 2009;{{terminated}} 2009;{{no}};{{no}};
RocketCake;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
SeaMonkey Composer;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
TOWeb;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
WebStorm IDE;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Editor;Windows;OS X;Linux;BSD;Unix;iOS;Android;
