Editor;CSS2;Frames;Java;JavaScript;XSLT;XHTML;MathML;XForms;RSS;Atom;XPath;
Amaya[9];{{partial}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};
Aptana;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Arachnophilia;{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Bluefish;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
BlueGriffon;{{yes}} (via commercial proprietary add-on)[10];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}} (via commercial proprietary add-on)[11];{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Brackets;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};
Claris Homepage;{{partial}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Codelobster;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
CoffeeCup HTML Editor;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};
Dreamweaver;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}};{{yes}}http://www.adobe.com/cfusion/exchange/index.cfm?event=extensionDetail&extid=1025026;{{yes}};{{dunno}};{{yes}};
Freeway;{{yes}};{{yes}};{{partial}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
GoLive;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
HTML-Kit;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
KompoZer;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
LibreOffice;{{yes}};{{yes}};{{yes}} (optional);{{yes}} (and Python);{{yes}} (that's how export works);{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Maqetta;{{yes}};?;{{no}};{{yes}};?;?;?;?;?;?;?;
Microsoft Expression Web;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Microsoft FrontPage;{{partial}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Microsoft SharePoint Designer;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Microsoft Visual Web Developer;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Nvu;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
openElement;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
OpenOffice.org;{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
oXygenXML Editor;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Quanta Plus;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};
RocketCake;{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{dunno}};
SeaMonkey Composer;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
TOWeb;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};
Web Architect;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};
WebStorm IDE;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{yes}};
Editor;CSS2;Frames;Java;JavaScript;XSLT;XHTML ;MathML;XForms;RSS;Atom;XPath;
