Editor;JPEG;GIF;PNG;TIFF;SVG;
Amaya;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Aptana;{{yes}};{{yes}};{{yes}};{{yes}};{{depends}};
Arachnophilia;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Bluefish;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
BlueGriffon;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};
Brackets;{{yes}};{{yes}};{{yes}};{{no}};{{yes}} (via extension)[16];
Claris Homepage;{{yes}};{{yes}};{{no}};{{no}};{{no}};
Codelobster;{{yes}};{{yes}};{{yes}};{{no}};{{no}};
CoffeeCup HTML Editor;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
Dreamweaver;{{yes}};{{yes}};{{yes}};{{Yes}};{{yes}};
Freeway;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
GoLive;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};
KompoZer;{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Maqetta;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Microsoft Expression Web;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
Microsoft FrontPage[17];{{yes}};{{yes}};{{yes}};{{dunno}};{{depends}};
Microsoft SharePoint Designer;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
Microsoft Visual Web Developer;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
Mobirise;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Nvu;{{yes}};{{yes}};{{yes}};{{no}};{{no}};
openElement;{{Yes}};{{Yes}};{{Yes}};{{no}};{{no}};
OpenOffice.org;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
oXygenXML Editor;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Quanta Plus;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
RocketCake;{{yes}};{{yes}};{{yes}};{{no}};{{no}};
SeaMonkey Composer;{{yes}};{{yes}};{{yes}};{{no}};{{no}};
TOWeb;{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Web Architect;{{yes}};{{yes}};{{yes}};{{yes}};{{depends}};
WebStorm IDE;{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Editor;JPEG;GIF;PNG;TIFF;SVG;
