Framework;Version compared;Size;License;Source language;
AngularJS;1.5.0 {{nowrap|5 Feb 2016}};{{nowrap|144 kB}} (minified & compressed);{{free|MIT}};JavaScript;
Backbone.js;1.2.1 {{nowrap|June 2015}};{{nowrap|7.3 kB}} (Packed and gzipped);{{free|MIT}};JavaScript;
Dojo;1.10.4 {{nowrap|18 Jan 2015}};Variable. Base size: {{nowrap|41 kB}} (minified & gzipped), {{nowrap|155 kB}} (minified), {{nowrap|598 kB}} (uncompressed)[1];{{free|BSD & AFL}};JavaScript + HTML;
Ember.js;1.7.0 {{nowrap|19 Aug 2014}};{{nowrap|95 kB}} (minified & gzipped), {{nowrap|340 kB}} (minified), {{nowrap|1.5 MB}} (uncompressed);{{free|MIT}};JavaScript;
Enyo;2.0.1 {{nowrap|30 Aug 2012}};{{nowrap|<25 kB}} (core gzipped);{{free|Apache 2 [2]}};JavaScript;
Ext JS;4.2 {{nowrap|13 Mar 2013}};{{nowrap|84–502 kB}};GPL & Commercial [3];JavaScript;
Google Web Toolkit;2.7.0 {{nowrap|November 2014}};Variable;{{free|Apache}};Java;
jQuery (library);1.9.1 {{nowrap|4 Feb 2013}};{{nowrap|32 KiB}} (minified & gzipped), {{nowrap|93 KiB}} (minified), {{nowrap|252 KiB}} (uncompressed);{{free|MIT}};JavaScript;
jQWidgets;3.9.1 {{nowrap|29 Oct 2015}};{{nowrap|3102 KB}} (minified), {{nowrap|7486 KB}} (uncompressed);Creative Commons Attribution-NonCommercial 3.0 and Commercial[4];JavaScript, HTML, CSS;
Knockout;3.4.0 {{nowrap|17 November 2015}};58 KB minified / 280 KB (development mode);{{free|MIT}};JavaScript;
MooTools;1.6.0 {{nowrap|14 Jan 2016}};Variable; {{nowrap|7.3–65 KiB}} {{nowrap|(YUI Compressor)}},[5] Variable; {{nowrap|7.3–65 KiB}} {{nowrap|(YUI Compressor)}},[6] {{nowrap|101 KiB}} (uncompressed)[7];{{free|MIT}};JavaScript;
React (JavaScript library);16.1.1 November 28, 2017;react.production.min.js 6.41KB react-dom.production.min.js 92.4KB redux v3.7.2 2KB Total: 100.81KB;{{free|MIT}};JavaScript;
SAP OpenUI5;1.44.9 {{nowrap|28 Mar 2017}};20.8MB (1.34.7 runtime, minified, zipped) 6.8MB(1.34.7 runtime mobile, minified, zipped) 52.1MB (1.34.7 SDK, zipped);{{free|Apache 2}}[8];JavaScript;
Prototype & script. aculo.us[9];Prototype: 1.7.3 {{nowrap|22 Sep 2015}} script.aculo.us: 1.9.0 {{nowrap|23 Dec 2010}};{{nowrap|46–278 kB}};{{free|MIT}};JavaScript;
qooxdoo;5.0.1 {{nowrap|15 Sep 2015}};Variable, starting at {{nowrap|6 kB}} (gzipped);{{free|LGPL & EPL}};JavaScript;
SmartClient & SmartGWT;SmartClient: 11.1 {{nowrap|June 2017}} SmartGWT: 6.1 {{nowrap|June 2017}};{{nowrap|100–500 kb}} (gzipped).;LGPL & Commercial;Server: Java Client: Java (Smart GWT) or Javascript (SmartClient) or XML (both);
SproutCore;1.11.2 {{nowrap| 2 May 2016}};{{nowrap|250–700 kb}} (gzipped).;{{free|MIT}};JavaScript;
Vue.js;2.1.10 {{nowrap|17 Jan 2017}};26 kB (minified & gzipped) 71 kB (minified) [10] 219 kB (uncompressed) [11];{{free|MIT}};JavaScript;
Wakanda;9 {{nowrap|14 Nov 2014}};Variable;GPL3 (framework), AGPL (server) & Commercial;JavaScript + HTML + CSS;
Webix;4.1 {{nowrap|November 2016}};188 kB (gzipped);GPL & Commercial;JavaScript;
ZK;8.0.1 {{nowrap|19 Jan 2016}};Variable;LGPL & GPL & ZOL;XML + Java (JavaScript optional);
