Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status;
Alpine Linux;Alpine Linux Team;Alpine Linux Team;{{date|2006|iso}};3.8.0;{{dunno}};{{date|2018-06-26|iso}}[2];{{Proprietary|X}};–;security, lightweight, general;{{Free|Gratis}};{{site active}};
ALT Linux;ALT Linux Team;ALT Linux Team, ALT Linux LLC;{{date|2001|iso}};8.2;{{dunno}};{{date|2013-07-10|iso}}[3];{{Proprietary|X}};Mandrake Linux;general, school;{{Free|Gratis}};{{site active}};
Antergos;Alexandre Filgueira;Antergos Project;{{date|2012|iso}};Rolling;Rolling;Rolling;{{Proprietary|X}};Arch Linux;general;{{Free|Gratis}};{{site active}};
antiX;Anticapitalista;Anticapitalista;{{date|2007|iso}};17;{{dunno}};{{date|2017-08-24|iso}}[4];{{Proprietary|X}};Debian, MEPIS;old computers;{{Partial|Some editions are gratis}};{{site active}};
ArchBang;Willensky Aristide;Stan McLaren;{{date|2010|iso}};Rolling;Rolling;{{dunno}};{{Proprietary|X}};Arch Linux;general;{{Free|Gratis}};{{site active}};
Arch Linux;Judd Vinet;dev team;{{date|2002|iso}};Rolling;Rolling;Rolling;{{Proprietary|X}};–;general;{{Free|Gratis}};{{site active}};
BLAG;Brixton Linux Action Group;Brixton Linux Action Group;{{date|2002|iso}};140k;{{dunno}};{{date|2011-05-04|iso}};{{Free|100% Free: GNU FSDG}};Fedora;desktop;{{Free|Gratis}};{{site inactive}};
Bodhi Linux;Bodhi Linux Team;Bodhi Linux Team;{{date|2011|iso}};4.5.0[5];{{dunno}};{{date|2018-02-24|iso}};{{Proprietary|X}};Debian, Ubuntu;desktop;{{Free|Gratis}};{{site active}};
Canaima;CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community;CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community;{{date|2007|iso}};5.0;{{dunno}};{{date|2016-12-19|iso}};{{Proprietary|X}};Debian, Ubuntu;Government of Venezuela;{{Free|Gratis}};{{site active}};
CentOS;CentOS Project;CentOS Project;{{date|2003|iso}};7.5-1804;10 years;{{date|2018-05-10|iso}};{{Proprietary|X}};Red Hat Enterprise Linux (RHEL);server, workstation;{{Free|Gratis}};{{site active}};
Chakra;Jan Mette and Arch Linux KDEmod developers;The Chakra Project Team;{{date|2010|iso}};Rolling;Rolling;{{dunno}};{{Proprietary|X}};Arch Linux[6];desktop;{{Free|Gratis}};{{site active}};
Chromium OS;Google;{{dunno}};2009;Rolling;Rolling;Rolling;{{Proprietary|X}};Chrome OS;web applications;{{Free|Gratis}};{{site active}};
ClearOS;Peter Baldwin;ClearFoundation;{{date|2000|iso}};7.3.0;{{dunno}};{{date|2017-03-04|iso}};{{Proprietary|X}};RHEL, CentOS;server, gateway, network;{{Partial|Some editions are gratis}};{{site active}};
CrunchBang Linux;Philip Newborough;Philip Newborough;{{date|2008|iso}};11;{{dunno}};{{date|2013-05-06|iso}}[7];{{Proprietary|X}};Debian;desktop;{{Free|Gratis}};{{site inactive}};
Damn Small Linux;John Andrews;dev team;{{date|2003|iso}};4.4.10;{{dunno}};{{date|2008-11-18|iso}}[8];{{Proprietary|X}};Debian, Knoppix;lightweight, portable;{{Free|Gratis}};{{site active}};
Debian;Ian Murdock;Debian Project;{{date|1993|iso}};9.5;~3 years[9];{{date|2018-07-14|iso}};{{Free|Debian Social Contract and DFSG}} (main is 100% free, non-free packages are optional)[10];–;general, server, desktop;{{Free|Gratis}};{{site active}};
Debian Edu;;Debian Project;{{date|2004|iso}};8.0+edu0;~3 years[9];{{date|2016-07-03|iso}}[11];{{Partial|Debian Social Contract and DFSG}};–;schools;{{Free|Gratis}};{{site active}};
Devuan;The "Veteran Unix Admins" (VUA);The "Veteran Unix Admins" (VUA);{{date|2016|iso}};1.0.0;{{dunno}};{{date|2017-05-25|iso}};{{dunno}};Debian;general;{{Free|Gratis}};{{site active}};
Dragora GNU/Linux-Libre;Matias A. Fonzo;Matias A. Fonzo;{{date|2009|iso}};2.2;{{dunno}};{{date|2012-04-21|iso}};{{Free|100% Free: GNU FSDG}};Independent, inspired from Slackware;general;{{Free|Gratis}};{{site active}};
dyne:bolic;Jaromil;Jaromilx;{{date|2005|iso}};3.0.0;{{dunno}};{{date|2011-09-08|iso}};{{Free|100% Free: GNU FSDG}};Debian;multimedia;{{Free|Gratis}};{{site inactive}};
