Distribution;Default Linux kernel;Default file system;Default init system;Install-time desktop environment or window manager selection;
Alpine Linux;{{Proprietary|Binary blobs}};ext4;openrc;{{no2}} none;
ALT Linux;{{Proprietary|Binary blobs}};ext3;systemd;KDE Plasma Workspaces, Xfce;
Arch Linux;{{Proprietary|Binary blobs}}[45];none[46];systemd;{{no2}} none;
BLAG;{{Free|Linux-libre}};ext3;sysvinit;GNOME;
Bodhi Linux;{{Proprietary|Binary blobs}};ext4;systemd;Moksha (Enlightenment fork);
Canaima;{{Proprietary|Binary blobs}}[45];{{dunno}};{{dunno}};Cinnamon and MATE;
CentOS;{{Proprietary|Binary blobs}}[45];xfs;systemd;GNOME;
Chakra;{{Proprietary|Binary blobs}};ext4;systemd;KDE Plasma Workspaces;
ClearOS;{{Proprietary|Binary blobs}};ext3;{{dunno}};{{No2}} none (Web based);
CoreOS;{{Proprietary|Binary blobs}};ext4;systemd;None;
CrunchBang Linux;{{Proprietary|Binary blobs}};ext4;sysvinit;Openbox;
Damn Small Linux;{{Proprietary|Binary blobs}};ext3;sysvinit;JWM;
Debian;{{Partial|By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally.}}[45] Built with Linux-libre tools.[47];ext4;systemd;GNOME, KDE, Xfce, LXDE[48];
Devuan;{{dunno}};ext4;sysvinit;Xfce;
Dragora GNU/Linux-Libre;{{Free|Linux-libre}};ext4;runit;Xfce;
dyne:bolic;{{Free|Linux-libre}};{{dunno}};{{dunno}};GNOME;
Fedora;{{Proprietary|Binary blobs}};ext4;systemd;GNOME (default Workstation Edition), Spins for: KDE Plasma Workspaces, Xfce, LXDE, MATE (with Compiz), Cinnamon, Sugar on a Stick;
Funtoo;{{Proprietary|Binary blobs}};none;openrc;None;
Gentoo;{{Proprietary|Binary blobs}};none;openrc;Awesome, Enlightenment, Fluxbox, GNOME, KDE, LXDE-Meta, Openbox, XBMC and Xfce (live DVD)[49];
gNewSense;{{Free|Debian Linux kernel, and (unlike Debian) blobs cannot be installed}}[47];ext3;sysvinit;GNOME;
gnuLinEx;{{Proprietary|Binary blobs}};ext2;{{dunno}};GNOME;
GuixSD;{{Free|Linux-libre}};btrfs, ext4;GNU Shepherd;GNOME, Xfce, Mate, Enlightenment, i3, ratpoison, xmonad;
Hyperbola GNU/Linux-libre;{{free|Linux-libre}};none;openrc[50];{{no2|none}};
Instant WebKiosk;{{Proprietary|Binary blobs}};SquashFS;{{dunno}};Has no DE. It's a browser-only interface;
Kali Linux;{{Proprietary|Binary blobs}};ext3;systemd;GNOME;
Knoppix;{{Proprietary|Binary blobs}};xfs;microknoppix;LXDE;
LibreCMC[51];{{Proprietary|Binary blobs}};ext4;busybox-init;{{No2}} none;
Linux Mint[52];{{Proprietary|Binary blobs}}[45];ext4;systemd;MATE, Cinnamon, KDE 4, XFCE;
Mageia;{{Proprietary|Binary blobs}};ext4;systemd;KDE Plasma Workspaces, GNOME;
Mandriva Linux;{{Proprietary|Binary blobs}};ext4;systemd;KDE Plasma Workspaces;
Manjaro Linux;{{Proprietary|Binary blobs}};none[53];systemd;Xfce, KDE, GNOME [54];
MEPIS;{{Proprietary|Binary blobs}};ext3, ext4;sysvinit;KDE Plasma Workspaces;
Musix GNU+Linux[55];{{Free|Linux-libre}};ext4;initscripts;LXDE;
OpenELEC;{{Proprietary|Binary blobs}};SquashFS;shell script;XBMC Media Center;
openSUSE;{{Proprietary|Binary blobs}};btrfs;systemd;KDE Plasma Workspaces, GNOME, Xfce;
OpenWrt;{{Proprietary|Binary blobs}};overlayfs+SquashFS/JFFS2[56];procd[57];{{no2}} none;
Parabola GNU/Linux-libre;{{Free|Linux-libre}};none;openrc or systemd;{{no2}} none;
Pardus;{{Proprietary|Binary blobs}};ext4;{{dunno}};KDE Plasma Workspaces;
Parsix;{{Proprietary|Binary blobs}};ext4;systemd;GNOME;
PCLinuxOS;{{Proprietary|Binary blobs}};none;sysvinit;KDE Plasma Workspaces, GNOME, LXDE, Xfce, Enlightenment, Openbox;
Pentoo;{{Proprietary|Binary blobs}};SquashFS;openrc;Enlightenment;
Porteus;{{Proprietary|Binary blobs}};Squashfs, ext2, ext3, ext4, FAT32, reiser, xfs;sysvinit;KDE, LXDE, Xfce, Openbox, Razor-qt;
Puppy Linux;{{Proprietary|Binary blobs}};SquashFS containing ext2;busybox-init;JWM;
Red Hat Enterprise Linux;{{Proprietary|Binary blobs}};xfs;systemd;GNOME;
Rxart Desktop;{{Proprietary|Binary blobs}};ext3;{{dunno}};KDE Plasma Workspaces;
Sabayon Linux;{{Proprietary|Binary blobs}};ext4[58];systemd;KDE Plasma Workspaces, GNOME;
Scientific Linux;{{Proprietary|Binary blobs}};ext4;sysvinit, systemd[59];GNOME;
Slackware;{{Proprietary|Binary blobs}}[45];ext4;BSD init scripts;KDE Plasma Workspaces, Xfce, Fluxbox, Blackbox, twm;
Slax;{{Proprietary|Binary blobs}};SquashFS;sysvinit;KDE Plasma Workspaces;
SliTaz GNU/Linux;{{Proprietary|Binary blobs}};ext3;busybox-init;Openbox;
Solus;{{Proprietary|Binary blobs}};ext4;systemd;Budgie, Gnome, MATE;
Source Mage GNU/Linux;{{Proprietary|Binary blobs}};ext2;simpleinit-msb;{{no2}} none;
SteamOS;{{Proprietary|Binary blobs}};{{dunno}};{{dunno}};{{Proprietary|Steam}};
SUSE Linux Enterprise Desktop;{{Proprietary|Binary blobs}}[45];ext3;systemd;GNOME;
Tails;{{Proprietary|Vanilla Linux}}[45];{{dunno}};systemd;GNOME;
Tor-ramdisk;{{Proprietary|Binary blobs}};ext2;{{dunno}};{{no2}} none;
Trisquel;{{Free|Linux-libre}};ext4, xfs;systemd;GNOME, LXDE;
TurnKey GNU/Linux;{{Proprietary|Binary blobs}};ext4;systemd;none - headless server by design; provides Webmin for administration;
Ubuntu/Edubuntu;{{Proprietary|Binary blobs}}[45];ext4[60];systemd;Unity;
Ubuntu GNOME;{{Proprietary|Binary blobs}};ext4;systemd;GNOME 3;
Ubuntu MATE;{{Proprietary|Binary blobs}};ext4;systemd;MATE;
Kubuntu;{{Proprietary|Binary blobs}};ext4[60];systemd;KDE Plasma Workspaces;
Xubuntu;{{Proprietary|Binary blobs}};ext4[60];systemd;Xfce;
Lubuntu;{{Proprietary|Binary blobs}};ext4;systemd;LXDE;
Ututo;{{Free|Ututo XS (stable) is de-blobed with Linux-libre tools.[61] Ututo UL (development) uses Linux-libre. Ututo UL means "Ubuntu-Libre"}};ext3;{{dunno}};GNOME;
VectorLinux;{{Proprietary|Binary blobs}};ReiserFS;sysvinit;KDE, Openbox, Fluxbox, IceWM, Xfce;
Void Linux;{{Proprietary|Binary blobs}};none;runit;{{no2}} none;
Webconverger;{{Proprietary|Binary blobs}};gitfs;sysvinit;dwm enforcing a Browser-only interface;
XBMC Live;{{Proprietary|Binary blobs}};ext3;systemd;XBMC Media Center;
Zentyal;{{Proprietary|Binary blobs}};ext4;{{dunno}};LXDE;
Zenwalk;{{Proprietary|Binary blobs}};ext4;sysvinit;Xfce;
Distribution;Default Linux kernel;Default file system;Default init system;Install-time desktop environment or window manager selection;
