|Model;|Announced;|Released;|Last revision;
Mac Mini;{{Start date|2005|01|11}}[6];{{Start date|2005|01|29}};{{Start date|2014|10|16}};
iMac Pro;{{Start date|2017|06|05}};December 2017;;
iMac;{{Start date|1998|05|06}};{{Start date|1998|08|15}};{{Start date|2017|06|05}};
Mac Pro;{{Start date|2006|08|07}};{{Start date|2006|08|07}};{{Start date|2013|12|19}};
MacBook Air;{{Start date|2008|01|15}};{{Start date|2008|01|29}};{{Start date|2017|06|05}};
MacBook;{{Start date|2015|03|09}};{{Start date|2015|04|10}};{{Start date|2017|06|05}};
MacBook Pro 13.3 in;{{Start date|2016|10|27}};{{Start date|2016|10|27}};{{Start date|2017|06|05}};
MacBook Pro 13.3 in with Touch Bar (4th gen);{{Start date|2016|10|27}};{{Start date|2016|11}};{{Start date|2017|06|05}};
MacBook Pro 15.4 in with Touch Bar (4th gen);{{Start date|2016|10|27}};{{Start date|2016|11}};{{Start date|2017|06|05}};
MacBook Pro 13.3 in with Retina Display (3rd gen);{{Start date|2012|10|23}};{{Start date|2012|10|23}};{{Start date|2017|06|05}};
MacBook Pro 15.4 in with Retina Display (3rd gen);{{Start date|2012|06|11}};{{Start date|2012|06|11}};{{Start date|2015|05|19}};
