Model;Level;Image processor;Sensor format;Sensor type;Sensor manufacturer;Megapixels;Focus points;Metering pixels;Viewfinder coverage;Viewfinder magnification;ISO min (expanded);ISO min;ISO max;ISO max (expanded);Display size, pixels;Touch screen;Storage media;Live view;Movie mode;Max FPS;Shutter Rating;Weight (g);Dimensions (mm);Video;Release Date;WiFi/Bluetooth;GPS;
D3X;Professional;EXPEED;Full-frame;CMOS;Sony;24.5;51;1005;100%;0.7x;50;100;1600;6400;3.0" 921k;;CF, MicroDrive (×2);Yes;No;5;300.000;1220;160 × 157 × 88;;2008 4Q;WT-4;GP-1(A);
D2Xs;Professional;;APS-C;CMOS;Sony;12.4;11;1005;100%;0.86x;100;100;800;3200;2.5" 230k;;CF, MicroDrive;No;No;5;;1070;158 × 150 × 86;;2006 2Q;WT-1 / WT-2;GP-1(A);
D2X;Professional;;APS-C;CMOS;Sony;12.4;11;1005;100%;0.86x;100;100;800;800;2.5" 235k;;CF, MicroDrive;No;No;5;;1070;158 × 150 × 86;;2004 3Q;WT-1 / WT-2;GP-1(A);
D1X;Professional;;APS-C;CCD;Sony;5.3;5;1005;96%;0.8x;125;125;800;800;2.0" 130k;;CF, MicroDrive;No;No;3;;1100;157 × 153 × 85;;2001 1Q;;GP-1(A);
D1;Professional;;APS-C;CCD;Sony;2.66;5;1005;96%;0.8x;200;200;1600;1600;2.0" 114k;;CF;No;No;4.5;;1100;157 × 153 × 86;;1999 2Q;;GP-1(A);
D5;Professional;EXPEED 5;Full-frame;CMOS;Nikon;20.8;153{{refn|group=a|name="153 AF"|55 user-selectable points.}};180000;100%;0.72x;50;100;102400;3280000;3.2" 2539k;Fixed;CF (×2) or XQD (×2);Yes;Yes;12;400.000;1235;160 x 158.5 x 92;4K30 1080p60;2016 1Q;WT-5 / WT-6;GP-1(A);
D4S;Professional;EXPEED 4;Full-frame;CMOS;Nikon;16.2;51;91000;100%;0.7x;50;100;12800;409600;3.2" 921k;;CF, XQD;Yes;Yes;11;400.000;1180;160 × 157 × 91;1080p60;2014 1Q;WT-5;GP-1(A);
D4;Professional;EXPEED 3;Full-frame;CMOS;Nikon;16.2;51;91000;100%;0.7x;50;100;12800;204800;3.2" 921k;;CF, XQD;Yes;Yes;10;400.000;1180;160 × 157 × 91;1080p30;2012 1Q;WT-5;GP-1(A);
D3S;Professional;EXPEED;Full-frame;CMOS;Nikon;12.1;51;1005;100%;0.7x;100;200;12800;102400;3.0" 921k;;CF (×2);Yes;Yes;9;300.000;1240;160 × 157 × 88;720p24;2009 4Q;WT-4;GP-1(A);
D3;Professional;EXPEED;Full-frame;CMOS;Nikon;12.1;51;1005;100%;0.7x;100;200;6400;25600;3.0" 921k;;CF, MicroDrive (×2);Yes;No;9;300.000;1240;160 × 157 × 88;;2007 3Q;WT-4;GP-1(A);
D2Hs;Professional;;APS-C;JFET-LBCAST;Nikon;4.1;11;1005;100%;0.86x;200;200;1600;6400;2.5" 232k;;CF, MicroDrive;No;No;8;;1070;158 × 150 × 86;;2005 1Q;WT-1 / WT-2;GP-1(A);
D2H;Professional;;APS-C;JFET-LBCAST;Nikon;4.1;11;1005;100%;0.86x;200;200;1600;6400;2.5" 211k;;CF, MicroDrive;No;No;9;;1070;158 × 150 × 86;;2003 3Q;WT-1 / WT-2;;
D1H;Professional;;APS-C;CCD;Sony;2.7;5;1005;96%;0.8x;200;200;1600;1600;2.0" 130k;;CF, MicroDrive;No;No;5;;1100;157 × 153 × 86;;2001 1Q;;GP-1(A);
D850;Professional;EXPEED 5;Full-frame;CMOS;Sony;45.7;153;180000;100%;0.78x;32;64;25600;102400;3.2" 2539k;Tilting;SD, XQD;Yes;Yes;7(9){{refn|group=d|name="with optional battery grip"|with optional battery grip}};200.000;1005;146 x 124 x 78.5;4K30 1080p60 1080p120;2017 3Q;WiFi + Bluetooth built in;GP-1(A);
