Platform;Features;Toolkit;| Prolog Mechanics;
Name;OS;Licence;Native Graphics;Compiled Code;Unicode;Object Oriented;Native OS Control;Stand Alone Executable;C Interface[3];Java Interface[3];Interactive Interpreter;Debugger;Code Profiler;Syntax;
BProlog;Unix, Windows, Mac OS X;Free for non-commercial uses;;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};ISO-Prolog, plus event-handling, CLP(FD), and tabling;
JIProlog;JVM, Android;Shareware/Commercial and AGPL;{{yes}};;{{yes}};;{{yes}} via Java;{{yes}};{{yes}} via Java;{{yes}};{{yes}};{{yes}};;ISO-Prolog;
Ciao;Unix, Windows, Mac OS X;GPL, LGPL;;{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};ISO-Prolog, plus extensions;
DOS-PROLOG;MS-DOS;Shareware;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;;;{{yes}};;Edinburgh Prolog;
ECLiPSe;Linux, Windows, Solaris, macOS;MPL;;{{yes}};;;{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Extended Prolog, Multi-dialect, including ISO;
GNU Prolog;Unix, Windows, Mac OS X;GPL, LGPL;;{{yes}};;;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;ISO-Prolog;
Jekejeke Prolog;JVM, Android;Distribution Evaluation;{{yes}};;{{yes}};{{yes}};{{yes}};;;{{yes}};{{yes}};{{yes}};{{yes}};ISO-Prolog, Java API;
JLog;JVM;GPL;{{yes}};{{yes}};;;;;;{{yes}};{{yes}};;;ISO-Prolog;
JScriptLog;Web Browser;GPL;;;;;;;;;{{yes}};;;ISO-Prolog;
jTrolog;JVM;LGPL;;;{{yes}};;;;;{{yes}};{{yes}};{{yes}};;ISO-Prolog tests{{Dead link|date=July 2018 |bot=InternetArchiveBot |fix-attempted=yes }};
LPA-PROLOG;Windows;Commercial;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Edinburgh Prolog with extensions;
Open Prolog;Mac OS;Freeware;;;;;;;;;;{{yes}};;;
Poplog Prolog;Linux (32- and 64-bit), Unix, Windows;Free Open Source;Only through POP-11, on Linux;{{yes}};;;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;Edinburgh Prolog, with interfaces to Poplog Common Lisp and Pop-11;
SICStus Prolog;Unix, Linux, Windows, macOS;Commercial;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};ISO-Prolog;
Strawberry Prolog;Windows, Unix;Freeware, Commercial;{{yes}};{{yes}};{{yes}};;;{{yes}};;;;{{yes}};;Not ISO-Prolog + extensions;
SWI-Prolog;Unix, Linux, Windows, macOS;BSD License;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};ISO-Prolog, Edinburgh Prolog;
tuProlog;JVM, Android;LGPL;{{yes}};;{{yes}};;;;{{yes}};{{yes}};{{yes}};{{yes}};;ISO-Prolog;
Visual Prolog;Windows;Freeware, Commercial;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;{{yes}};{{yes}};;
XSB Prolog;Linux, Windows, Solaris, macOS;LGPL;;{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};ISO-Prolog, tabled WFS;
YAP-Prolog;Linux, Windows, Solaris, Mac OS X, HP-UX;GPL or Artistic (user choice);;{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;Edinburgh, ISO-Prolog, Quintus and SICStus Prolog compatible;
