Implementation;HMAC-MD5;HMAC-SHA1;HMAC-SHA256/384;AEAD;GOST 28147-89 IMIT[74];GOST R 34.11-94[74];
BearSSL[166];{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Botan;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
CryptoComply;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
cryptlib;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
GnuTLS;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
JSSE;{{Yes}};{{yes}};{{yes}};{{yes}};{{no}}[75];{{no}}[75];
LibreSSL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[76];{{yes}}[76];
MatrixSSL;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
mbed TLS;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
NSS;{{yes}};{{yes}};{{yes}};{{yes}};{{no}}[78][79];{{no}}[78][79];
OpenSSL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[80];{{yes}}[80];
RomSTL;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
RSA BSAFE;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
rustls;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
SChannel XP/2003, Vista/2008;{{yes}};{{yes}};{{partial|XP SP3, 2003 SP2 via hotfix}}[167];{{no}};{{no}}[81];{{no}}[81];
SChannel 7/2008R2, 8/2012, 8.1/2012R2;{{yes}};{{yes}};{{yes}};{{partial|except ECDHE_RSA}}[83][84][85];{{no}}[81];{{no}}[81];
SChannel 10;{{yes}};{{yes}};{{yes}};{{yes}}[133];{{no}}[81];{{no}}[81];
Secure Transport;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
wolfSSL;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Erlang/OTP SSL application;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Implementation;HMAC-MD5;HMAC-SHA1;HMAC-SHA256/384;AEAD;GOST 28147-89 IMIT;GOST R 34.11-94;
