Implementation;DEFLATE[168] (insecure);
BearSSL;{{yes|No}};
Botan;{{yes|No}};
CryptoComply;{{yes|Disabled by default}};
cryptlib;{{yes|No}};
GnuTLS;{{yes|Disabled by default}};
JSSE;{{yes|No}};
LibreSSL;{{yes|No}}[27];
MatrixSSL;{{yes|Disabled by default}};
mbed TLS;{{yes|Disabled by default}};
NSS;{{yes|Disabled by default}};
OpenSSL;{{Yes|Disabled by default}};
RSA BSAFE[39];{{yes|No}};
RomSTL;{{yes|No}};
rustls;{{yes|No}};
SChannel;{{yes|No}};
Secure Transport;{{yes|No}};
wolfSSL;{{yes|Disabled by default}};
Erlang/OTP SSL application;{{yes|No}};
Implementation;DEFLATE;
