Implementation;Secure Renegotiation [169];Server Name Indication [170];ALPN [171];Certificate Status Request [170];OpenPGP [172];Supplemental Data [173];Session Ticket [174];Keying Material Exporter [175];Maximum Fragment Length [170];Truncated HMAC [170];Encrypt-then-MAC [176];TLS Fallback SCSV [177];Extended Master Secret [178];ClientHello Padding [179];Raw Public Keys [180];
BearSSL[181];{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{okay|No}};{{no}};{{yes}};{{no}};{{yes}};{{no}};
Botan;{{yes}};{{yes}};{{yes}}[182];{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{okay|No}};{{yes}};{{yes}}[183];{{yes}}[184];{{no}};{{unknown}};
CryptoComply;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{okay|No}};{{no}};{{yes}};{{yes}};{{yes}};{{unknown}};
cryptlib;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}}[185];{{okay|No}};{{yes}};{{yes}};{{yes}};{{no}};{{unknown}};
GnuTLS;{{yes}};{{yes}};{{yes}}[186];{{yes}};{{unofficial|Deprecated}}[187];{{yes}};{{yes}};{{yes}};{{yes}};{{okay|No}};{{yes}}[23];{{yes}}[188];{{yes}}[23];{{yes}}[189];{{no}};
JSSE;{{yes}};{{Yes}}[51];{{Yes}}[51];{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{okay|No}};{{no}};{{no}};{{yes}};{{no}};{{no}};
LibreSSL;{{yes}};{{yes}};{{yes}}[190];{{yes}};{{no}};{{no}}?;{{yes}};{{yes}}?;{{no}};{{okay|No}};{{no}};{{partial|Server side only}}[191];{{no}};{{yes}};{{unknown}};
MatrixSSL;{{yes}};{{yes}};{{yes}}[192];{{yes}}[121];{{no}};{{no}};{{yes}};{{no}};{{yes}};{{okay|Yes}};{{no}};{{yes}}[121];{{yes}}[121];{{no}};{{unknown}};
mbed TLS;{{yes}};{{yes}};{{yes}}[193];{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{okay|Disabled by default}}[30];{{yes}}[194];{{yes}}[194];{{yes}}[194];{{no}};{{no}};
NSS;{{yes}};{{yes}};{{yes}}[195];{{yes}};{{no}}[196];{{no}};{{yes}};{{yes}};{{no}};{{okay|No}};{{no}}[197];{{yes}}[198];{{yes}}[199];{{yes}}[195];{{unknown}};
OpenSSL;{{yes}};{{yes}};{{yes}}[38];{{yes}};{{no}};{{no}}?;{{yes}};{{yes}};{{yes}};{{okay|No}};{{yes}};{{yes}}[200];{{yes}}[201];{{yes}}[202];{{unknown}};
RomSTL;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
RSA BSAFE Micro-Edition Suite;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{okay|Yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
RSA BSAFE SSL-J;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{okay|Yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
rustls;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{okay|No}};{{no}};{{no}};{{yes}};{{no}};{{no}};
SChannel XP/2003;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{okay|No}};{{no}};{{no}};{{no}};{{no}};{{unknown}};
SChannel Vista/2008;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{okay|No}};{{no}};{{no}};{{yes}}[203];{{no}};{{unknown}};
SChannel 7/2008R2;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{okay|No}};{{no}};{{no}};{{yes}}[203];{{no}};{{unknown}};
SChannel 8/2012;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{partial|Client side only}}[204];{{no}};{{no}};{{okay|No}};{{no}};{{no}};{{yes}}[203];{{no}};{{unknown}};
SChannel 8.1/2012R2, 10;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}}[204];{{no}};{{no}};{{okay|No}};{{no}};{{no}};{{yes}}[203];{{no}};{{unknown}};
Secure Transport;{{yes}};{{yes}};{{unknown}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{okay|No}};{{no}};{{no}};{{no}};{{no}};{{unknown}};
wolfSSL;{{yes}};{{yes}};{{yes}}[145];{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{okay|Yes}};{{no}};{{no}};{{yes}};{{no}};{{unknown}};
Erlang/OTP SSL application;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{okay|No}};{{no}};{{yes}};{{no}};{{no}};{{unknown}};
Implementation;Secure Renegotiation;Server Name Indication;ALPN;Certificate Status Request;OpenPGP;Supplemental Data;Session Ticket;Keying Material Exporter;Maximum Fragment Length;Truncated HMAC;Encrypt-then-MAC;TLS Fallback SCSV;Extended Master Secret;ClientHello Padding;
