Implementation;TPM support;Hardware token support;Objects identified via;
BearSSL;{{no}};{{no}};;
Botan;{{partial}}[184];{{yes|PKCS11}};;
CryptoComply;{{yes}};{{yes|PKCS11}};;
cryptlib;{{no}};{{yes|PKCS11}};User-defined label;
GnuTLS;{{yes}};{{yes|PKCS11}};RFC7512 PKCS #11 URLs[218];
JSSE;{{no}};{{yes|PKCS11 Java Cryptography Architecture, Java Cryptography Extension}};;
LibreSSL;{{yes}};{{partial|PKCS11 (via 3rd party module)}};Custom method;
MatrixSSL;{{no}};{{yes|PKCS11}};;
mbed TLS;{{no}};{{yes|PKCS11 (via libpkcs11-helper) or standard hooks}};Custom method;
NSS;{{no}};{{yes|PKCS11}};;
OpenSSL;{{yes}};{{partial|PKCS11 (via 3rd party module)}}[219];RFC7512 PKCS #11 URLs[218];
RomSTL;{{yes}};{{no}};Custom method;
RSA BSAFE Micro-Edition Suite;{{no}};{{yes|PKCS11 (via 3rd party module)}};User-defined label;
RSA BSAFE SSL-J;{{no}};{{no}};;
rustls;{{no}};{{no}};;
SChannel;{{no}};{{yes|Microsoft CryptoAPI}};UUID, User-defined label;
Secure Transport;;;;
wolfSSL;{{no}};{{no}};;
Implementation;TPM support;Hardware token support;Objects identified via;
