Implementation;Platform requirements;Network requirements;Thread safety;Random seed;Able to cross-compile;No OS (bare metal);Supported operating systems;
BearSSL;C;None;;Platform-dependent;{{yes}};{{yes}};Anything that has a C compiler;
Botan;C++11;None;{{yes|Thread-safe}};Platform-dependent;{{yes}};;Windows, Linux, macOS, Android, iOS, FreeBSD, OpenBSD, Solaris, AIX, HP-UX, QNX, BeOS, IncludeOS;
CryptoComply;C89;Platform-dependent;{{yes|Thread-safe}};Platform-dependent;{{yes}};{{no}};Linux (RHEL, CentOS, Debian, Ubuntu, etc.), Windows, iOS, Android, FreeBSD, macOS, Solaris, Java Runtime Environment;
cryptlib;C89;POSIX send() and recv(). API to supply your own replacement;{{yes|Thread-safe}};Platform-dependent, including hardware sources;{{yes}};{{yes}};AMX, BeOS, ChorusOS, DOS, eCos, FreeRTOS/OpenRTOS, uItron, MVS, OS/2, Palm OS, QNX Neutrino, RTEMS, Tandem NonStop, ThreadX, uC/OS II, Unix (AIX, FreeBSD, HPUX, Linux, OS X, Solaris, etc.), VDK, VM/CMS, VxWorks, Win16, Win32, Win64, WinCE/PocketPC/etc, XMK;
GnuTLS;C89;POSIX send() and recv(). API to supply your own replacement.;{{partial|Thread-safe, needs custom mutex hooks if neither POSIX nor Windows threads are available.}};Platform dependent;{{yes}};{{no}};Generally any POSIX platforms or Windows, commonly tested platforms include GNU/Linux, Win32/64, OS X, Solaris, OpenWRT, FreeBSD, NetBSD, OpenBSD.;
JSSE;Java;Java SE network components;{{yes|Thread-safe}};Depends on java.security.SecureRandom;{{yes}};;Java based, platform-independent;
MatrixSSL;C89;None;{{yes|Thread-safe}};Platform dependent;{{yes}};{{yes}};All;
mbed TLS;C89;POSIX read() and write(). API to supply your own replacement.;{{partial|Threading layer available (POSIX or own hooks)}};Random seed set through entropy pool;{{yes}};{{yes}};Known to work on: Win32/64, Linux, OS X, Solaris, FreeBSD, NetBSD, OpenBSD, OpenWRT, iPhone (iOS), Xbox, Android, SeggerOS;
NSS;C89, NSPR[223];NSPR[223] PR_Send() and PR_Recv(). API to supply your own replacement.;{{yes|Thread-safe}};Platform dependent[224];{{yes}} (but cumbersome);{{no}};AIX, Android, FreeBSD, NetBSD, OpenBSD, BeOS, HP-UX, IRIX, Linux, OS X, OS/2, Solaris, OpenVMS, Amiga DE, Windows, WinCE, Sony PlayStation;
OpenSSL;C89;None;{{yes|Thread-safe}};Platform dependent;{{yes}};{{no}};Unix, DOS (with djgpp), Windows, OpenVMS, MacOS, NetWare, eCos;
RomSTL;C;Custom;Custom;Custom;{{yes}};{{yes}};Any;
rustls;Rust;None;{{yes|Thread-safe}};Platform-dependent;{{yes}};;Rust supported platforms;
wolfSSL;C89;POSIX send() and recv(). API to supply your own replacement.;{{partial|Thread-safe, needs mutex hooks if PThreads or WinThreads not available, can be turned off}};Random seed set through wolfCrypt;{{yes}};{{yes}};Win32/64, Linux, OS X, Solaris, ThreadX, VxWorks, FreeBSD, NetBSD, OpenBSD, embedded Linux, Yocto Project, OpenEmbedded, WinCE, Haiku, OpenWRT, iPhone (iOS), Android, Nintendo Wii and Gamecube through DevKitPro, QNX, MontaVista, NonStop, TRON/ITRON/µITRON, Micrium µC/OS-III, FreeRTOS, SafeRTOS, NXP/Freescale MQX, Nucleus, TinyOS, HP/UX, AIX, ARC MQX, Keil RTX, TI-RTOS, uTasker, embOS, INtime, Mbed, uT-Kernel, RIOT, CMSIS-RTOS, FROSTED, Green Hills INTEGRITY, TOPPERS, PetaLinux, Apache mynewt;
Implementation;Platform requirements;Network requirements;Thread safety;Random seed;Able to cross-compile;No OS (bare metal);Supported operating systems;
