Implementation;Block cipher with mode of operation;Stream cipher;None;
AES GCM [107];AES CCM [108];AES CBC;Camellia GCM [109];Camellia CBC [110];ARIA GCM [111];ARIA CBC [111];SEED CBC [112];{{nowrap|3DES EDE}} CBC (insecure)[113];{{nowrap|GOST 28147-89}} CNT (proposed) [74][114];ChaCha20-Poly1305 [115];Null (insecure) [116];
BearSSL;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|Yes}};{{no}};{{yes}};{{yes|Not implemented}};
Botan;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{no}};{{yes}}[117];{{yes|Not implemented}};
BoringSSL;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|Yes}};{{no}};{{yes}};;
CryptoComply;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes|Disabled by default}};{{yes}};{{yes}};{{yes|Disabled by default}};
cryptlib;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|Yes}};{{no}};{{no}};{{yes|Not implemented}};
GnuTLS;{{yes}};{{yes}}[23];{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes|Disabled by default}}[118];{{no}};{{yes}}[119];{{yes|Disabled by default}};
JSSE;{{Yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|Disabled by default}}[120];{{no}}[75];{{no}};{{yes|Disabled by default}};
LibreSSL;{{yes}}[27];{{no}};{{yes}};{{no}};{{yes}}[76];{{no}};{{no}};{{no}}[27];{{no|Yes}};{{yes}}[76];{{yes}}[27];{{yes|Disabled by default}};
MatrixSSL;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes|Disabled by default}};{{no}};{{yes}}[121];{{yes|Disabled by default}};
mbed TLS;{{yes}};{{yes}} [122];{{yes}};{{yes}};{{yes}};{{yes}}[123];{{yes}}[123];{{no}};{{no|Yes}};{{no}};{{yes}}[124];{{yes|Disabled by default at compile time}};
NSS;{{yes}}[125];{{no}};{{yes}};{{no}}[126][127];{{yes}}[128];{{no}};{{no}};{{yes}}[129];{{no|Yes}};{{no}}[78][79];{{yes}}[130];{{yes|Disabled by default}};
OpenSSL;{{yes}}[131];{{okay|Disabled by default}}[36];{{yes}};{{no}};{{okay|Disabled by default}}[36];{{no}};{{no}};{{okay|Disabled by default}}[36];{{yes|Disabled by default}}[36];{{yes}}[80];{{yes}}[36];{{yes|Disabled by default}};
RomSTL;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|No}};{{no}};{{no}};{{no}};
RSA BSAFE Micro-Edition Suite;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{okay|Lowest priority}};{{no}};{{no}};{{Yes|Disabled by default}};
RSA BSAFE SSL-J;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|Disabled by default}};{{no}};{{no}};{{Yes|Disabled by default}};
rustls;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|No}};{{no}};{{yes}};{{yes|No}};
SChannel XP/2003;{{no}};{{no}};{{Partial|2003 only}}[132];{{no}};{{no}};{{no}};{{no}};{{no}};{{no|Yes}};{{no}}[81];{{no}};{{yes|Disabled by default}};
SChannel Vista/2008, 2008R2, 2012;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|Yes}};{{no}}[81];{{no}};{{yes|Disabled by default}};
SChannel 7, 8, 8.1/2012R2;{{Partial|Yes except ECDHE_RSA}} [83][84];{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|Yes}};{{no}}[81];{{no}};{{yes|Disabled by default}};
Schannel 10[133];{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|Yes}};{{no}}[81];{{no}};{{yes|Disabled by default}};
Secure Transport OS X 10.6 - 10.10;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|Yes}};{{no}};{{no}};{{yes|Disabled by default}};
Secure Transport OS X 10.11;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|Yes}};{{no}};{{no}};{{yes|Disabled by default}};
wolfSSL;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no|Yes}};{{no}};{{yes}};{{yes|Disabled by default}};
Erlang/OTP SSL application;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes| Disabled by default}};{{no}};{{okay|Experimental}};{{yes|Disable by defaultl}};
Implementation;Block cipher with mode of operation;Stream cipher;None;
AES GCM [107];AES CCM [108];AES CBC;Camellia GCM [109];Camellia CBC [110];ARIA GCM [111];ARIA CBC [111];SEED CBC [112];{{nowrap|3DES EDE}} CBC (insecure)[113];{{nowrap|GOST 28147-89}} CNT (proposed) [74][114];ChaCha20-Poly1305 [115];Null (insecure) [116];
