;Collapsible sections;Find and replace using RegEx;Intelligent error handling;Autocompletion of LaTeX commands;Parenthesis matching;Starts up to previous state[13];Unicode support;RTL Support[14];;
AUCTeX;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[15];{{yes}};{{yes}};AUCTeX;
  Authorea ;{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};?;  Authorea ;
Auto-Latex Equations for Google Docs;{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};?;Auto-Latex Equations for Google Docs;
CoCalc;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};?;CoCalc;
Gummi;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};?;Gummi;
Kile;{{yes|Yes[16]}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Kile;
GNOME-LaTeX;Planned;{{yes}};{{yes}};{{yes}};{{yes}};{{Partial|(just same files)}};{{yes}};{{yes}};GNOME-LaTeX;
LEd;{{yes}};{{yes}};?;{{yes}};{{yes}};{{no}} (just same files);{{no}};?;LEd;
LyX;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};LyX;
MeWa;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};?;MeWa;
Notepad++;{{yes}};{{yes}};{{no}};{{partial}}[17];{{yes}};{{yes}};{{yes}};{{yes}};Notepad++;
Scientific WorkPlace;{{no}};?;?;{{N/A}};{{yes}};{{no}};{{yes}};?;Scientific WorkPlace;
ShareLaTeX;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};?;ShareLaTeX;
TeXmacs;{{no}};{{yes}};{{N/A}};{{N/A}};{{N/A}};{{no}};{{yes}};?;TeXmacs;
Texmaker;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Texmaker;
TeXnicCenter;{{yes|since v2.0}};{{yes|since v2.0}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|since v2.0}};?;TeXnicCenter;
TeXShop;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};?;TeXShop;
TeXstudio;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};TeXstudio;
TeXworks;{{no}};{{yes}}[18];{{no}};{{yes}}[19];{{yes}};{{no}};{{yes}};{{yes}};TeXworks;
Verbosus;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};?;Verbosus;
WinEdt;{{yes}};{{yes}} (modified);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};WinEdt;
WinShell;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}} (just same files);{{yes}};?;WinShell;
Collapsible sections;Find and replace using RegEx;Intelligent error handling;Autocompletion of LaTeX commands;Parenthesis matching;Starts up to previous state[20];Unicode support;RTL Support[21];;;
