;Client (library);Server (library);Version compared;Protocol (spec) version support;Protocol test report;License;Implementation: language, environment;API: language, environment;Self-hosted server;Text message support;Binary message support;API message-based;API frame-based;API streaming input-output;Flow-control framework;Automatic pongs for pings;Automatic heartbeat pings;Manual pings-pongs;Frame size limit;
Google Chrome 15[1];{{yes}};{{no}};15.0.874.8 {{nowrap|12 Sep 2011}};8 (10);;{{partial|Complex}};C++, WebKit;JavaScript, HTML5;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}}, No;{{no}};{{yes}};{{no}};{{no}};? 16 MB (memory-limited?);
Google Chrome 16[1];{{yes}};{{no}};16.0.912 {{nowrap|13 Dec 2011}};13 (17/RFC 6455);;{{partial|Complex}};C++, WebKit;JavaScript, HTML5;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}}, No;{{no}};{{yes}};{{no}};{{no}};? 16 MB (memory-limited?);
Mozilla Firefox 7[2];{{yes}};{{no}};7 beta {{nowrap|12 Sep 2011}};8 (10);;{{free|MPL, GPL, LGPL}};C++, Necko;JavaScript, HTML5;{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}}, No;{{no}};{{yes}};{{no}};{{no}};< 16 MB;
Mozilla Firefox 11[2];{{yes}};{{no}};11.0 {{nowrap|13 Mar 2012}};13 (17/RFC 6455);;{{free|MPL, GPL, LGPL}};C++, Necko;JavaScript, HTML5;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}}, No;{{no}};{{yes}};{{no}};{{no}};< 2 GB (memory-limited?);
Achex WS[3];{{yes}};{{yes}};2.17 {{nowrap|17 June 2014}};RFC 6455;;{{free|BSD new}};C++;C++, JavaScript;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};2^16;
Kaazing WebSocket Gateway[4];{{yes}};{{yes}};5.0 Dec 2014;RFC 6455;;{{partial|APL2 (Community Edition), commercial (Enterprise Edition)}};Java, JMS;JavaScript, Flash/Flex, Silverlight, Objective-C & iOS, Java, Java & Android, .NET, Xamarin;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};memory-limited, configurable;
Lightstreamer[5];{{yes}};{{yes}};7.0.2 {{nowrap|3 Oct 2018}};RFC 6455;;{{partial|Commercial, freeware}};Java;JavaScript, Flash/Flex, Silverlight, iOS, macOS, tvOS, watchOS, Java, J2ME, Android, .NET PCL/Unity;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};Data driven, configurable;
MigratoryData[6];{{yes}};{{yes}};5.0.15 {{nowrap|13 Oct 2015}};RFC 6455;;{{nonfree|Commercial}};Java;JavaScript, iOS, Android, Java, C++, .NET, PHP, Node.js, Python, Ruby;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}}, No;{{yes}};{{yes}};{{yes}};{{no}};263, configurable;
noPoll[7];{{yes}};{{yes}};0.3.2 {{nowrap|28 aug 2015}};RFC 6455;;{{free|LGPL 2.1}};ANSI C;ANSI C;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};memory-limited, configurable;
POCO C++ Libraries[8];{{yes}};{{yes}};1.4.6 {{nowrap|23 Sep 2014}};RFC 6455;;{{free|Boost}};C++, POCO C++ Libraries;C++;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};memory-limited, configurable;
