Name;License;Can reside in;Can boot from;Can boot;
ESP (UEFI);MBR;VBR;Floppy;Hard disk;Second Hard disk;Logical partitions;CD-ROM;Floppy;USB;Zip;LAN;MS-DOS;Windows 9x/Me;Windows NT series;Windows Vista/7/8/10;Linux;ReactOS;MenuetOS;BSD;Mac OS X;
Acronis OS Selector;{{proprietary}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Dunno}};{{Dunno}};{{Yes}};{{Yes}};
AiR-Boot;{{free|GPLv3}};{{Dunno}};{{Yes}};{{No}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Yes}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};
AKernelLoader;{{free|GPLv2}};{{Dunno}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Dunno}};{{Yes}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};
Barebox;{{free|GPLv2}};{{Yes}};{{Yes}};{{No}};{{Dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};
BootIt Bare Metal (formerly BootIt Next Generation);{{proprietary}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};
BootKey;{{proprietary}};{{Dunno}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};
BootManager;{{free|MIT}};{{Dunno}};{{Yes}};{{No}};{{No}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{No}};{{Yes}};{{Yes}};{{Some|Calls NTLDR}};{{Some|Calls Windows Boot Manager}};{{Some|Calls GRUB or LILO}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};
BootX (Apple);{{proprietary}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};
BootX (Linux);{{proprietary}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};
Darwin Boot Loader;{{free|APSL 2.0}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{yes}};{{Yes}};
Das U-Boot;{{free|GPLv2}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Dunno}};{{Dunno}};{{Yes}} (FreeBSD);{{Dunno}};
GAG;{{free|GPLv2}}+;{{Dunno}};{{Yes}} (SafeBoot);{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Some|Calls NTLDR}};{{Some|Calls Windows Boot Manager}};{{Some|Calls GRUB or LILO}};{{Some|Calls bootloader}};{{Some|Calls bootloader}};{{Some|Calls bootloader}};{{No}};
GRUB Legacy;{{free|GPLv2}}+;{{Dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{some|Calls NTLDR}};{{some|Calls Windows Boot Manager}};{{yes}};{{some|Calls FreeLoader}};{{yes}};{{yes}};{{yes}};
GNU GRUB;{{free|GPLv3}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{some|Calls NTLDR}};{{some|Calls Windows Boot Manager}};{{yes}};{{some|Calls FreeLoader}};{{yes}};{{yes}};{{yes}};
GRUB4DOS;{{free|GPLv2}}+;{{Dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{some|Calls NTLDR}};{{some|Calls Windows Boot Manager}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Gujin [1];{{free|GPLv2}};{{Dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{Some|Calls NTLDR}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
systemd-boot / Gummiboot;{{free|LGPL 2.1}};{{yes}};{{no}};{{no}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{no}};{{no}};{{yes|Windows Server 2013 64bits with UEFI only}};{{some|Calls Windows Boot Manager}}[1];{{yes}};{{dunno}};{{dunno}};{{yes|UEFI only}};{{yes}}[1];
iBoot;{{dunno}};{{dunno}};{{dunno}};{{proprietary}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};
Libreboot;{{free|GPLv3}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
LILO;{{free|BSD license}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{some|Calls NTLDR}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{some|Calls biosboot}} (FreeBSD, PC-BSD, ...);{{dunno}};
loader(8);{{free|BSD license}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}} (FreeBSD, TrueOS);{{dunno}};
loadlin;{{free|GPLv2}}+;{{Dunno}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};
MasterBooter;{{proprietary}};{{dunno}};{{yes}};{{Dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
NTLDR;{{proprietary}};{{Dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{some|Calls GRUB4DOS}};{{dunno}};{{dunno}};{{dunno}};{{some|Calls Darwin bootloader}}[2];
OSL2000 Boot Manager;{{proprietary}};{{Dunno}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{some|Calls GRUB or LILO}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
PLoP Bootmanager;{{proprietary}};{{Dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{some|Calls GRUB or LILO}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
RedBoot;mod {{free|GPLv2}}+;{{Dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{some|Calls NTLDR}};{{some|Calls Windows Boot Manager}};{{yes}};{{some|Calls FreeLoader}};{{yes}};{{yes}};{{yes}};
rEFInd;{{free|GPLv3}}/BSD license;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{Dunno}};{{yes}};{{Dunno}};{{yes}};{{Dunno}};{{no}};{{Dunno}};{{Dunno}};{{yes}};{{yes}};{{yes}};{{Dunno}};{{Dunno}};{{yes}};{{yes}};
Smart Boot Manager;{{free|GPLv2}}+;{{Dunno}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
SPFdisk;{{free|GPLv2}}+;{{Dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
SYSLINUX;{{free|GPLv2}}+;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{some|Calls NTLDR}};{{some|Calls Windows Boot Manager}};{{yes}};{{dunno}};{{yes}};{{some|via mboot.c32 module [2]}};{{dunno}};
XOSL;{{free|GPLv2}};{{Dunno}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Windows Boot Manager;{{proprietary}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{some|Calls NTLDR}};{{yes}};{{some|Calls GRUB or LILO}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
FreeLoader (ReactOS Boot Loader);{{free|GPLv2}}+;{{Dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{partial}}[3];{{some|Calls Windows Boot Manager}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Name;Software license;Can reside in;Can boot from;Can boot;
ESP (UEFI);MBR;VBR;Floppy;Hard disk;Second hard disk;Logical partitions;CD-ROM;Floppy;USB;Zip;LAN;MS-DOS;Windows 9x/Me;Windows NT series;Windows Vista/7/8;Linux;ReactOS;MenuetOS;BSD;Mac OS X;
