Name;Advanced command;Scriptable;Supported architecture;Supported filesystem;Supported OS;Supported executable;Supported protocol;Supported decompression;Others;
GRUB Legacy;{{yes}};{{no}};x86 (PC);FAT16, FAT32, MINIX fs, Linux ext2, ext3, ext4, ReiserFS, JFS, XFS, VSTa fs, Btrfs;FreeBSD, NetBSD, OpenBSD, GNU/Linux;ELF;TFTP;gzip; ;
GRUB 2;{{yes}};{{yes}};x86 (PC, UEFI, coreboot, OLPC, Mac), IA-64, ARM (U-Boot, UEFI), PowerPC (Mac, Pegasos II, IBM), MIPS, SPARC (SPARC v9), QEMU;ext2, ext3, ext4, btrfs, zfs, ufs, minix, iso9660, udf, jfs, hfs, hfs+, afs, affs, sfs, xfs, reiserfs, tar, cpio, NTFS, FAT16, FAT32;Linux (PC, mac), FreeBSD (PC), OpenBSD (PC), NetBSD (PC);Multiboot and others;{{dunno}};gzip, xz[4]; ;
LILO;{{no}};{{no}};x86 (PC);indifferent{{Citation needed|reason=This claim needs a reliable source; how can you access kernel&initramfs?|date=November 2016}};{{dunno}};{{dunno}};{{dunno}};bzip2, gzip; ;
loader(8);{{yes}};{{yes}};x86 (PC, UEFI, coreboot, OLPC, Mac), ARM (U-Boot, UEFI), PowerPC, SPARC v9;ISO-9660, UFS, ZFS;FreeBSD;ELF;TFTP, NFS;gzip, xz; ;
LOLO (Logic PD);{{yes}};{{yes}};ARM7, ARM9, ARM11, Cortex-A8, StrongARM, SH, ColdFire;FAT16, FAT32, YAFFS1, YAFFS2;Linux, WinCE;ELF, binary, BIN (WinCE), SREC;TFTP;{{dunno}};Supported devices: MCF54xx, MCF5329, MCF5373, LLH7A400, LLH7A404, LLH79520, LLH79524, LSH7727, LSH7750, LSH7760, PXA270, PXA320, IMX31, IMX27, OMAP35xx, OMAP37xx;
SYSLINUX;{{some|via cmd.c32 module}};{{some|via lua.c32 module}};x86 (PC);ext2, ext3, ext4, btrfs, ufs 1/2, FAT16, FAT32, iso9660, udf, NTFS (since 4.06), ?;GNU/Linux;Multiboot[5];TFTP;gzip, bzip2, lzo, zip, lzma, ?; ;
AKernelLoader;{{No}};{{No}};x86 (PC);FAT32, ext2, ext3;GNU/Linux;ELF, Binary;{{dunno}};{{dunno}}; ;
Yaboot;{{no}};{{no}};PowerPC (Open Firmware);ext2, ext3, ext4, hfs;GNU/Linux, FreeBSD, NetBSD, OpenBSD, MacOSX;{{dunno}};{{dunno}};{{dunno}}; ;
RedBoot;{{yes}};{{some|yes (boot only)}};ARM, ColdFire, H8300, x86, Freescale/Motorola 68000, MIPS, PPC, SH, SPARC, SPARCLite;JFFS2;Linux, eCos;ELF;TFTP, serial (X-modem);gzip; ;
