Software;Isochronic tones;Monaural beats;Binaural beats;Photic;
BeeOne SMOD/HMS;{{yes}};{{yes}};{{yes}};{{no}};
Binaural Beethoven;{{no}};{{no}};{{yes}};{{no}};
Brain Equalizer;{{no}};{{no}};{{yes}};{{?}};
BrainWave Generator;{{no}};{{no}};{{yes}};{{yes}};
Gnaural;{{yes}};{{yes}};{{yes}};{{dunno}};
BrainIgniter Player;{{yes}};{{yes}};{{yes}};{{no}};
Neuro Entrainment;{{yes}};{{yes}};{{yes}};{{no}};
Neuro-Programmer 3;{{yes}};{{yes}};{{yes}};{{yes}};
Mind WorkStation;{{yes}};{{yes}};{{yes}};{{yes}};
SBaGen;{{no}};{{yes}};{{yes}};{{no}};
Brainwave Studio;{{yes}};{{no}};{{no}};{{no}};
Discord;{{yes}};{{yes}};{{yes}};{{dunno}};
Isochronic Tone Generator;{{yes}};{{no}};{{no}};{{no}};
Lux VST Brainwave Entrainment Instrument;{{yes}};{{yes}};{{yes}};{{yes}};
Neuro Sequencer Pro;{{yes}};{{no}};{{yes}};{{no}};
SHARM Studio 5;{{yes}} (wide, narrow);{{yes}};{{yes}};{{no}};
