Client;Creator;Software license;Latest release;
BookmarkSync;Jack Dean;Proprietary;{{Latest stable software release/BookmarkSync}} BookmarkSync was discontinued some time around 2006.;
Opera;Opera Software;Proprietary;Opera: {{Latest stable software release/Opera}} Opera Mini: {{Latest stable software release/Opera Mini}};
SiteBar;Ondrej Brablc;GPL;3.4 {{Start date and age|2014|02|12|df=yes}};
Firefox Sync;Mozilla Foundation;Mozilla Public License;{{Latest stable software release/Firefox}};
Google Chrome;Google;Freeware under Google Chrome Terms of Service;{{Latest stable software release/Google Chrome}};
Pale Moon Sync;M.C. Straver;Mozilla Public License;N/A (part of Pale Moon);
;
Eversync;Nimbus Web Inc;Proprietary;{{Latest_stable_software_release/eversync}};
Client;Creator;Software license;Latest release;
