Software;Creator;Edition;Release Date;Cost (USD);Open source;Software license;Implementation;
AdroitLogic UltraESB;AdroitLogic;17.01;January 2017;Subscription based licensing and support or perpetual licensing;{{No}};{{proprietary}};Enterprise Service Bus;
Anypoint Platform;MuleSoft;Mule 3.7;June 2015;Sold as software as a subscription with various packaged options to serve different use cases. The pricing scales with usage as measured by number of cores on-premises and virtual cores in the cloud.;{{No}};Dual (CPAL or proprietary;;
Apache Camel;Apache Software Foundation;2.23.3;November 29, 2018;Free/Commercial support available;{{yes}};{{free| Apache Software License}};;
Apache Kafka;Apache Software Foundation;0.10.20;February 2017;Free / Commercial support available;{{yes}};{{free| Apache Software License}};;
Apache ServiceMix;Apache Software Foundation;7.0;January 2017;Free / Commercial support available;{{yes}};{{free| Apache Software License}};;
Apache Synapse;Apache Software Foundation;3.0;December 2016;Free / Commercial support available;{{yes}};{{free| Apache Software License}};;
Artix ESB;Progress Software;5.x;2003;;{{no}};{{proprietary}};
Automation Anywhere Integration Pack;Automation Anywhere;6.1;Feb 2011;$5500;{{No}};{{proprietary}};
BizTalk Server;Microsoft;2016;December 2016;Enterprise Edition: $10,835 per core; Standard Edition: $2,485 per core; Branch Edition: $620 per core (minimum 4 cores required); Developer Edition - per seat, available under Volume or MSDN licence.[1];{{no}};{{proprietary}};Enterprise Application Integration, Hub and Spoke architecture, Cloud ready;
Flow Software;Flow Software Ltd;2.3.0;May, 2010;Free Community Edition, and Enterprise licenses;{{no}};{{proprietary}};
Fuse - Enterprise Camel;Red Hat;7.0;2018;;{{yes}};{{Free|based on Apache Software License}};
{{Anchor|IIB}} IBM Integration Bus (formerly WebSphere Message Broker );IBM;10.0;March 2015[2];Varies between approximately 100 and 850 per Value Unit[3];{{no}};{{proprietary}};Enterprise Service Bus;
Informatica Power Center;Informatica;8.5;October 2007;Varies: 50,000 - 100,000 generally;{{no}};{{proprietary}};
JBoss Enterprise Service Bus (ESB);JBoss, a division of Red Hat, Inc.;4.12;March 2013;Free / Commercial support available;{{yes}};{{LGPL-lic}};Enterprise Service Bus, Replaced by JBoss Fuse;
JBoss Enterprise SOA Platform;JBoss, a division of Red Hat, Inc.;5.1;February 2011;Free / Commercial support available;{{yes}};{{LGPL-lic}};Replaced by JBoss Fuse;
Magic xpi Integration Platform;Magic Software Enterprises;4.0;May 2015;;{{No}};{{proprietary}};
Openadaptor;The Software Conservancy;3.4.6;February 2011;Free;{{yes}};{{Free|variant of MIT}};
OpenESB;OpenESB Community;3.0.5;June 2015;Free / Commercial support available through partners[4];{{yes}};{{Free|CDDL}};
OpenLink Virtuoso;OpenLink Software;7.2.4;2016-04-24;Varies[5];{{yes}};Dual (GPL or proprietary);
Oracle BPEL Process Manager[6];Oracle Corporation;12.1.3.0.0;June 2014;Varies[7];{{no}};{{proprietary}};
Oracle Enterprise Service Bus[6];Oracle Corporation;12.1.3.0.0;June 2014;Varies[8];{{no}};{{proprietary}};
PEtALS ESB;OW2 Consortium;3.1.3;July 2011;Free / Commercial support available;{{yes}};{{LGPL-lic}};
Sonic ESB;Progress Software;8.x;2011;;{{no}};{{proprietary}};Enterprise Service Bus;
SAP NetWeaver Process Integration (short SAP PI);SAP AG;7.5;2011;Varies[9];{{no}};{{proprietary}};
ServiceMix;Apache Software Foundation;5.1.1;July 2014;free/commercial support available;{{yes}};{{free| Apache Software License}};;
Spagic;Engineering group;3.0;May 2010;free / Commercial support;{{yes}};{{LGPL-lic}};
Sun Java Composite Application Platform Suite;Sun Microsystems;6;June 2008;$100 per employee per year subscription, perpetual per socket licensing available[10];{{no}}[11];{{proprietary}};
TrackerSuite.Net;Automation Centre;4.0;June 2012;Based on number of users and modules utilized. Available as SaaS, or as a licensed installation.;{{no}};{{proprietary}};
Unify NXJ;Unify Corporation;11;;;{{no}};{{proprietary}};
webMethods Integration Server;Software AG;9.0[12];May 2013;varies;{{no}};{{proprietary}};Enterprise Service Bus[13];
WebSphere Message Broker (now known as IBM Integration Bus);IBM;8.0;October 2011;No longer marketed under this name - replacement name is IBM Integration Bus;{{no}};{{proprietary}};Enterprise Service Bus;
WSO2 Enterprise Service Bus (ESB);WSO2;5.0.0;2016;Free / Commercial support available;{{yes}};{{free| Apache Software License}};;
