Shell;Command name completion;Path completion;Command argument completion;Wildcard completion;Command history;Mandatory argument prompt;Automatic suggestions;Syntax highlighting;Directory history, stack or similar features;Implicit directory change;Auto­correction;Integrated environment;Snippets;Value prompt;Menu/options prompt;Progress indicator;Context sensitive help;Command builder;
Thompson shell;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Bourne shell 1977 version;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Bourne shell current version;{{no}};{{yes}}[29];{{no}};{{no}};{{yes}}[29];{{no}};{{no}};{{no}};{{yes}} (CDPATH, pushd, popd, dirs), CDPATH since SVr4;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
POSIX shell;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes|Yes (CDPATH)}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
bash (v4.0);{{yes}};{{yes}};{{yes2|when defined}};{{yes}}[30];{{yes}};{{no}};{{no}};{{no}};{{yes|Yes (CDPATH, pushd, popd)}};{{yes|optional}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
csh;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes|Yes (cdpath, pushd, popd)}};{{yes|optional}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
tcsh;{{yes}};{{yes}};{{yes2|when defined}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes|Yes (cdpath, pushd, popd)}};{{yes|optional}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Hamilton C shell;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes|Yes (cdpath, pushd, popd)}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Scsh;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
ksh (ksh93t+);{{yes|Yes (extendable)}};{{yes|Yes (extendable)}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes|Yes (cdpath builtin, pushd, popd implemented as functions)}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
pdksh;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
