Shell;Pipes;Command substitution;Process substitution;Subshells;TCP/UDP connections as streams;Keystroke stacking;
Bourne shell;{{yes|bytes concurrent}};{{yes}};{{no}};{{yes}};{{no}};{{N/A}}[66];
POSIX shell;{{yes|bytes concurrent}};{{yes}};{{no}};{{yes}};{{no}};{{N/A}}[66];
bash (v4.0);{{yes|bytes concurrent}};{{yes}};{{yes|Yes (if system supports /dev/fd/<n>''</tt> or named pipes)}};{{yes}};{{yes|Yes (client only)}};{{N/A}}[66];
csh;{{yes|bytes concurrent}};{{yes}};{{no}};{{yes}};{{no}};{{N/A}}[66];
tcsh;{{yes|bytes concurrent}};{{yes}};{{no}};{{yes}};{{no}};{{N/A}}[66];
Hamilton C shell;{{yes|bytes concurrent}};{{yes}};{{no}};{{yes}};{{no}};?;
Scsh;{{yes|text}};?;?;?;{{yes}};{{N/A}}[66];
ksh (ksh93t+);{{yes|bytes (may contain serialized objects if print -C is used) concurrent}};{{yes|Yes ($(…) and ${<space>…;}</tt>)}};{{yes|Yes (if system supports /dev/fd/<n>''</tt>)}};{{yes}};{{yes|Yes (and SCTP support, client only)}};{{N/A}}[66];
pdksh;{{yes|bytes concurrent}};{{yes}};{{no}};{{yes}};{{no}};{{N/A}}[66];
zsh;{{yes|bytes concurrent}};{{yes}};{{yes}};{{yes}};{{yes|Yes (client and server, but only TCP)}};{{N/A}}[66];
ash;{{yes|bytes concurrent}};{{yes}};{{no}};{{yes}};{{no}};{{N/A}}[66];
CCP;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
COMMAND.COM;{{yes|text sequential temporary files}};{{no}};{{no}};{{partial}} (only under DR-DOS multitasker via COMMAND.COM /T);{{no}};{{no}};
OS/2 CMD.EXE;{{yes|text concurrent}};{{no}};{{no}};?;{{no}};{{no}};
Windows CMD.EXE;{{yes|text concurrent}};{{yes|Yes (via FOR /F command)}};{{no}};{{yes|Yes (Backtick: ` in FOR /F usebackq)}};{{no}};{{no}};
4DOS;{{yes|text sequential temporary files}};{{yes|Yes (via FOR /F command)}};?;{{partial}} (via %@EXECSTR[] and %@EXEC[], or via SET /M, ESET /M and UNSET /M and %@MASTER[…]);{{no}};{{yes}} (via KEYSTACK and KSTACK)[67];
4OS2;{{yes|text concurrent}};?;?;?;{{no}};{{yes}} (via KEYSTACK);
TCC (formerly 4NT);{{yes|text concurrent}};{{yes|Yes (via FOR /F command)}};?;{{partial}} (via %@EXECSTR[] and %@EXEC[]);{{yes}} (via FTP, TFTP, FTPS, SFTP, HTTP, HTTPS and IFTP, client only);{{yes}} (via KEYSTACK);
PowerShell;{{yes|objects concurrent}};{{yes}};{{no}};{{yes}};{{yes}};?;
rc;{{yes|text concurrent}};{{yes}};{{yes|Yes (via: <{cmd} if system supports /dev/fd/<n>''</tt>)}};{{yes}};{{no}};?;
BeanShell;{{no|not supported}};?;?;?;{{yes}};?;
VMS DCL;{{yes|text (via PIPE command)}};{{yes}};{{no}};{{yes|Yes (spawn)}};{{yes|Yes (server TCP only)}};{{no}};
fish;{{yes|bytes concurrent}};{{yes}} (...);{{No|No (broken)[68]}};{{no}};{{no}};{{N/A}}[66];
