Function;Year[2];Designer;Derived from;Reference;
BLAKE;2008;Jean-Philippe Aumasson Luca Henzen Willi Meier Raphael C.-W. Phan;ChaCha20;Website;
BLAKE2;2012;Jean-Philippe Aumasson Samuel Neves Zooko_Wilcox-O'Hearn Christian Winnerlein;BLAKE;Website;
GOST R 34.11-94;1994;FAPSI and VNIIstandart;GOST 28147-89;RFC 5831, RFC 4357;
HAVAL;1992;Yuliang Zheng Josef Pieprzyk Jennifer Seberry;;Website;
KangarooTwelve (Keccak family);2016[3];Guido Bertoni Joan Daemen Michaël Peeters Gilles Van Assche;Keccak;Website;
MD2;1989;Ronald Rivest;;RFC 1319;
MD4;1990;;RFC 1320;
MD5;1992;MD4 RFC 1321 page 1;RFC 1321;
MD6;2008;;md6_report.pdf;
RIPEMD;1990;The RIPE Consortium [1];MD4;;
RIPEMD-128 RIPEMD-256 RIPEMD-160 RIPEMD-320;1996;Hans Dobbertin Antoon Bosselaers Bart Preneel;RIPEMD[2];Website;
SHA-0;1993;NSA;;SHA-0;
SHA-1;1995;SHA-0;[3];
SHA-256 SHA-512 SHA-384;2002;;
SHA-224;2004;
SHA-3 (Keccak);2008[4];Guido Bertoni Joan Daemen Michaël Peeters Gilles Van Assche;RadioGatún;Website;
Streebog;2012;FSB, InfoTeCS JSC;;RFC 6986;
Tiger;1995;Ross Anderson Eli Biham;;Website;
Whirlpool;2004;Vincent Rijmen Paulo Barreto;;Website;
