|;| user manager;| Plugin;| Compare;| Import;| Export;| Debugger;| Source control;| Spatial Visualization;
Adminer;{{yes}};{{yes}};{{yes}};SQL script, CSV, <abbr title="Tab Separated Values">TSV</abbr> or the above in zip (as a plugin); imports of server-site file in SQL or SQL in zip, gzip or bzip2;SQL script, CSV, <abbr title="Tab Separated Values">TSV</abbr> or the above in zip, gzip, bzip2; XML (as a plugin);{{no}};Git;
Altova DatabaseSpy;{{no}};{{no}};{{yes}};CSV, XML;XML, XML Structure, CSV, HTML, MS Excel;{{no}};{{dunno}};
DaDaBIK;{{some}}[6];{{no}};{{no}};{{no}};CSV;{{yes}};{{no}};
Database Workbench;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
DataGrip;{{no}};{{yes}};{{yes}};{{yes}};TXT, CSV, HTML, XML, DBF, SQL script, RTF, MS Word, MS Excel, MS Access, MS Windows Clipboard, Paradox file, WK1, WQ1, SLK, DIF, LDIF;{{no}};{{yes}};
DBeaver;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};With Eclipse plugins;
DBEdit;{{no}};{{no}};{{no}};{{no}};MS Excel, PDF, Text, SQL script;{{no}};{{dunno}};
Epictetus;{{no}};{{yes}};{{no}};{{no}};Excel;{{no}};{{dunno}};
ER/Builder Data Modeler;{{no}};{{no}};{{no}};{{yes}} - from MySQL, MariaDB, FireBird, Interbase and Postgres databases;{{yes}} - Export DDL SQL and databases (MySQL, MariaDB, FireBird, Interbase and Postgres);{{no}};{{no}};
ModelRight;{{some}};{{yes}};{{yes}};{{yes}} - from supported databases using native interfaces, or from any ODBC source;SQL; XML; DTD; Diagram as BMP, JPEG;{{no}};{{dunno}};
Navicat;{{yes}};{{no}};{{yes}};{{yes}} - TXT, CSV, DBF, HTML, MS Excel, MS Access, Paradox file, WK1, WQ1, XML, or from any ODBC source (See link for limitations[7]);{{yes}} - TXT, CSV, HTML, XML, DBF, SQL script, RTF, MS Word, MS Excel, MS Access, MS Windows Clipboard, Paradox file, WK1, WQ1, SLK, DIF, LDIF (See link for limitations[7]);{{yes}};{{no}};
Navicat Data Modeler;{{no}};{{no}};{{yes}};{{yes}} - Import Database from server/ODBC;{{yes}} - Export SQL;{{no}};{{no}};
MySQL Workbench;{{yes}};{{yes}};{{yes}};{{yes}} - CSV, HTML, JSON, MS Excel, SQL INSERTS, Tab-separated, XML;{{yes}} - CSV, HTML, JSON, MS Excel, SQL INSERTS, Tab-separated, XML;{{yes}};{{no}};
Oracle SQL Developer;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};
Orbada;{{no}};{{yes}};{{yes}};SQL script;SQL script, CSV, XML, HTML, PDF, Excel, DBF, DataText;{{no}};{{no}};;
pgAdmin III;{{yes}};{{yes}};{{no}};CSV, Text, or binary;CSV, text, HTML, XML;{{yes}};{{no}};
phpMyAdmin;{{yes}};{{some}};{{yes}};{{yes}} - CSV, SQL, XML, Excel, ODS;{{yes}} - CSV, LaTeX, Excel, Word, ODS, ODT, XML, SQL, YAML, Texy!, JSON, NHibernate, PHP, PDF, MediaWiki;{{yes}};Git;
SQL Database Studio;{{yes}};{{yes}};{{no}};CSV, XML, MS Excel;CSV, HTML, MS Excel, SQL INSERTS, Tab-separated, XML;{{no}};{{no}};
SQLyog;{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};
SQL Server Management Studio;{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}}[8];{{yes}};
SQuirreL SQL;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{dunno}};
Toad;{{some}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};SVN, CVS, TFS, VSS;
Toad Data Modeler;{{no}};{{dunno}};{{yes}};Toad for Oracle ERD, ERWin 7.1(XML) via plugin;SQL; meta data in XML; report in HTML/RTF/CSV; diagram as BMP, JPEG, PNG;{{no}};{{dunno}};
TOra;{{some}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};
