Desktop publishing software;Windows;Mac OS (X);Linux;BSD;UNIX;Other;
CorelDRAW;{{yes}};{{yes|supported versions<11}};{{no}};{{no}};{{no}};{{no}};
Fatpaint;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
FrameMaker;{{yes}};{{yes|supported versions<7}};{{no}};{{no}};{{yes|supported versions<8}};{{no}};
InDesign;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
InPage;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
iStudio Publisher;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
LyX;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|OS/2}};
Microsoft Publisher;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
OpenOffice.org;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
PageMaker*;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
PagePlus;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Pages;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
PageStream;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes|AmigaOS, MorphOS}};
QuarkXPress;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
RagTime;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Ready,Set,Go!;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Scribus;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|OS/2 Warp 4, eComStation, OpenIndiana, Solaris, Haiku}};
The Print Shop;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Ventura*;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Desktop publishing software;Windows;Mac OS (X);Linux;BSD;UNIX;Other;
