! OMF;AAF;MIDI;WAV;MP3;AAC;Ogg;REX2;AIFF;FLAC;Others;
Acoustica;{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};W64;
Ardour;{{No}}[2];{{No}}[3];{{Unk}};{{Yes}};{{Unk}};{{Unk}};{{Yes}};{{Unk}};{{No}};{{Yes}};W64;
Audacity;{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};AMR;
AudioDesk;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};SDII (native);
Audiotool;{{No}};{{No}};{{No}};{{Partial|Import}};{{Partial|Export}};{{No}};{{Partial|Export}};{{No}};{{No}};{{No}};{{No}};
Audition;{{Yes}};{{Unk}};{{No}} (unsupported since CS5);{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};AU, IFF, RAW/PCM, SMP, VOC, VOX, WMA;
BIAS Peak;{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};
Cubase;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};WMA, W64;
Diamond Cut ART;{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};
Digital Performer;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};SDII (native);
Ecasound;{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};
FL Studio;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Partial|Import}};{{Yes}};XI, REX, REX2;
GarageBand;{{No}};{{No}};{{Yes}}[4];{{Unk}};{{Yes}};{{Yes}};{{Unk}};{{Unk}};{{No}};{{No}};;
Goldwave;{{Unk}};{{Unk}};{{Unk}};{{Yes}};{{Yes}};{{Unk}};{{Yes}};{{Unk}};{{Yes}};{{Yes}};Windows Media Audio, AU, Monkey's Audio, VOX, mat, snd, voc;
Harrison Mixbus;{{No}};{{No}};{{Yes}};{{Yes}};{{Unk}};{{Unk}};{{Yes}};{{Unk}};{{No}};{{Yes}};AIFC, NeXT AU/SND, Headerless RAW, PAF, IFF/SVX, Sphere Nist WAV, IRCAM SF, VOC, W64, MAT4, MAT5, PVF, Fasttracker 2 XI, HMM Tool Kit HTK, CAF, SD2;
! OMF;AAF;MIDI;WAV;MP3;AAC;Ogg;REX2;AIFF;FLAC;Others;
Jokosher;{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Unk}};{{Yes}};{{Unk}};{{Unk}};{{Unk}};;
Kristal;{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};
Live;{{No}};{{No}};{{Yes}};{{Yes}};{{Partial|Import}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};SDII (Mac OS X Only);
LMMS;{{Unk}};{{Unk}};{{Yes}};{{Yes}};{{Yes}};{{Unk}};{{Yes}};{{Unk}};{{Yes}};{{Yes}};AU, DS, RAW, SPX, VOC. Can also open .flp files;
Logic Express/Studio;{{partial}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Unk}};{{Yes}};{{Yes}};{{Yes}};;
Mixcraft;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};;
mp3DirectCut;{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};;
MuLab;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};;
MusE;{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};
N-Track;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};WMA, EDL, WAV64;
Nuendo;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};;
NU-Tech;{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};
Podium;{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};
Pro Tools;{{Yes}}[5];{{Yes}}[5];{{Yes}};{{Yes}};{{Yes}};{{Partial|Import}};{{Partial|Import}};{{Yes}} (7.4);{{Yes}};{{No}};SDII (Mac OS X Only);
Qtractor;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};CAF, HTK, IFF/8SVX, MAT4/5, PAF, PVF, RAW, SDII, SDS, SF, VOC, W64, XI;
REAPER;{{partial}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};APE, BWF, MOOG, W64, WavPack;
Reason;{{No}};{{No}};{{Yes}};{{Yes}};{{Partial|Import}};{{Partial|Import}};{{No}};{{Yes}};{{Yes}};{{No}};SF2, ReFill;
Record;{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};SF2, ReFill;
! OMF;AAF;MIDI;WAV;MP3;AAC;Ogg;REX2;AIFF;FLAC;Others;
Renoise;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};MP4, MP4A, CAF, SFZ;
RiffWorks;{{No}};{{No}};{{No}};{{Partial|Export}};{{No}};{{No}};{{Partial|Export}};{{Yes}};{{No}};{{No}};;
Rosegarden;{{No}};{{No}};{{Yes}}[6];{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};{{Unk}};Csound, Mup, MuxicXML, h2song[7];
Samplitude;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};WMA, RealAudio;
SONAR;{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Partial|Import}};{{Yes}};{{No}};{{Yes}};W64, CAF, SDII, AU;
