Name;CBC w/ predictable IVs;CBC w/ secret IVs;CBC w/ random per-sector keys;LRW;XTS;Authenticated encryption;
Aloaha Crypt Disk;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};
ArchiCrypt Live;{{no}};{{no}};{{no}};{{partial|Legacy support}}[127];{{yes}};{{dunno}};
BestCrypt;{{no}};{{yes}};{{no}};{{yes}}[128];{{yes}}[129];{{dunno}};
BitArmor DataControl;{{no}};{{yes}};{{yes|Plumb-IV}};{{no}};{{no}};{{dunno}};
BitLocker;{{no}}[130];{{yes}}[130];{{No}};{{No}};{{Yes|Yes, Windows 10 10547+}};{{dunno}};
Bloombase Keyparc;{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
CGD;{{no}};{{yes}}[131];{{no}};{{no}};{{no}};{{dunno}};
CenterTools DriveLock;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Check Point Full Disk Encryption;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};
CipherShed;{{partial|Legacy support}}[132];{{no}};{{no}};{{partial|Legacy support}}[133];{{yes}}[134];{{dunno}};
CrossCrypt;{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
CryFS;{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};
CryptArchiver;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Cryhod;{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};
Cryptoloop;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
DiskCryptor;{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
Dm-crypt / LUKS;{{yes}};{{yes}};{{no}};{{yes|Yes, using *-lrw-benbi}}[135];{{yes|Yes, using *-xts-plain}};{{yes|Yes, using --integrity mode[136]}};
DriveCrypt;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
DriveSentry GoAnywhere 2;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
E4M;{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};
e-Capsule Private Safe;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
eCryptfs;{{no}};{{yes}};{{dunno}};{{no}};{{no}};{{dunno}};
EgoSecure HDD Encryption;{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};
FileVault;{{yes}}[86];{{no}};{{no}};{{no}};{{no}};{{dunno}};
FileVault 2;{{no}};{{no}};{{no}};{{no}};{{yes}}[137];{{dunno}};
FinalCrypt;{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
FREE CompuSec;{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
FreeOTFE;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};
GBDE;{{no}};{{no}};{{yes}}[91];{{no}};{{no}};{{dunno}};
GELI;{{no}};{{yes}}[138];{{no}};{{no}};{{yes}};{{dunno}};
Loop-AES;{{yes|single-key, multi-key-v2 modes}}[93];{{yes|multi-key-v3 mode}}[93];{{no}};{{no}};{{no}};{{no}};
McAfee Drive Encryption (SafeBoot);{{no}};{{Yes}};{{no}};{{no}};{{no}};{{dunno}};
n-Crypt Pro;{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{dunno}};
PGPDisk;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Private Disk;{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};
ProxyCrypt;{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
R-Crypto;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
SafeGuard Easy;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
SafeGuard Enterprise;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
SafeGuard PrivateDisk;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
SafeHouse Professional;{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Scramdisk;{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};
Scramdisk 4 Linux;{{no}};{{yes}}[139];{{no}};{{yes}}[140];{{yes}}[141];{{dunno}};
SecuBox;{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
SecureDoc;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Sentry 2020;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Softraid / RAID C;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[142];{{dunno}};
Svnd / Vnconfig;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Symantec Endpoint Encryption;{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};
TrueCrypt;{{partial|Legacy support}}[132];{{no}};{{no}};{{partial|Legacy support}}[133];{{yes}}[143];{{no}};
USBCrypt;{{no}};{{yes}};{{no}};{{no}};{{yes}};{{dunno}};
VeraCrypt;{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
CyberSafe Top Secret;{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
Name;CBC w/ predictable IVs;CBC w/ secret IVs;CBC w/ random per-sector keys;LRW;XTS;Authenticated encryption;
