Language;Major purpose;Based on;Markup type;Structural markup;Presentational markup[4];
AsciiDoc;Multi-purpose;;Tag;{{yes}};{{yes}};
Computable Document Format;Interactive technical documents, infographics, blogs[5];Wolfram Language;Tag;{{yes}};{{yes}};
Darwin Information Typing Architecture (DITA);Technical documents;XML;Tag;{{yes}};{{yes}}[6];
DocBook;Technical documents;SGML / XML;Tag;{{yes}};{{yes}}[7];
Encoded Archival Description (EAD);Finding aids;XML;Tag;{{yes}};{{no}};
Extensible HyperText Markup Language (XHTML);Hypertext documents;XML;Tag;{{yes}};{{yes}}[8];
HyperText Markup Language (HTML);Hypertext documents;SGML;Tag;{{yes}};{{yes}}[9];
Lilypond;Music notation;;Control code;{{yes}};{{yes}};
Maker Interchange Format (MIF);Technical documents;;Tag;{{yes}};{{yes}};
Markdown;Formatted Technical documents, Hypertext documents, E-mail;Text E-mail conventions;Tag;{{yes}};{{yes}};
Math Markup Language (MathML);Mathematical documents;XML;Tag;{{yes}};{{yes}}[10];
The Music Encoding Initiative (MEI);Music notation;XML;Tag;{{yes}};{{yes}};
Music Extensible Markup Language (MusicXML);Music notation;XML;Tag;{{yes}};{{yes}};
Office Open XML (OOXML);Multi-purpose;XML / ZIP;Tag;{{yes}};{{yes}};
OpenDocument Format (ODF);Multi-purpose;XML / ZIP;Tag;{{yes}};{{yes}};
Open Mathematical Document (OMDoc);Mathematical documents;XML;Tag;{{yes}}[11];{{yes}}[12];
Org-mode;Multi-purpose (notes, project management, publishing, literate programming);Text outliner;Tag;{{yes}};{{yes}};
reStructuredText;Technical and Multi-purpose documents[13];Structured Text and Setext;Tag;{{yes}};{{yes}}[14];
Rich Text Format (RTF);Formatted documents;TeX;Pattern parsing;{{yes}};{{yes}};
Scalable Vector Graphics (SVG);2D Vector graphics;XML;Tag;{{yes}};{{yes}};
Script;Multi-purpose;RUNOFF;Control code;{{yes}};{{yes}};
TeX;Academic documents;;Control code;{{yes}};{{yes}};
Texinfo;Technical documents;TeX, Scribe;Control code;{{yes}};{{yes}};
Textile;Hypertext documents;AsciiDoc (based on some similarities and dates of release);Tag;{{yes}};{{yes}};
Text Encoding Initiative (TEI);Academic, linguistic, literary and technical documents;SGML / XML;Tag;{{yes}};{{no}};
troff (typesetter runoff), groff (GNU runoff);Technical documents;RUNOFF;Control code;{{yes}};{{yes}};
Wireless Markup Language (WML);Hypertext documents;XML;Tag;{{yes}};{{yes}};
Language;Major purpose;Based on;Markup type;Structural markup;Presentational markup;
