;HTML;CHM;RTF;PDF;LaTeX;PostScript;man pages;DocBook;XML;ePub;
Ddoc;{{Yes}};{{Yes}}{{efn|name=fn4}};{{No}};{{Yes}}{{efn|name=fn4}};{{Yes}}{{efn|name=fn4}};{{Yes}}{{efn|name=fn4}};{{Yes}}{{efn|name=fn4}};{{No}};{{Yes}}{{efn|name=fn4}};
Document! X;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Doxygen;{{Yes}};{{Yes}};{{Yes}};Indirectly{{efn|name=fn13|Generated from the LaTeX output only.[6]}};{{Yes}};Indirectly{{efn|name=fn13}};{{Yes}};{{Yes}};{{Yes}};{{No}};
Epydoc;{{Yes}};{{No}};{{No}};{{Yes}};Indirectly{{efn|name=fn5}};Indirectly{{efn|name=fn5}};{{No}};{{No}};{{No}};
Haddock;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};Partial;{{No}};
HeaderDoc;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};
Imagix 4D;{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Javadoc;{{Yes}};Indirectly{{efn|name=fn6}};Indirectly{{efn|name=fn6}};Indirectly{{efn|name=fn6}};Indirectly{{efn|name=fn6}};Indirectly{{efn|name=fn6}};Indirectly{{efn|name=fn6}};Indirectly{{efn|name=fn6}};Indirectly{{efn|name=fn6}};
JSDoc;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
JsDoc Toolkit;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}}+JSON;
Natural Docs;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
NDoc;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
phpDocumentor;{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};
pydoc;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
RDoc;{{Yes}};{{Yes}}{{efn|name=fn9}};{{No}};{{No}};{{No}};{{No}};Indirectly{{efn|name=fn10}};{{No}};{{Yes}}{{efn|name=fn9}};
ROBODoc;{{Yes}};Indirectly;{{Yes}};Indirectly{{efn|name=fn5}};{{Yes}};Indirectly{{efn|name=fn5}};{{Yes}};{{Yes}};{{No}};
Sandcastle;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Sphinx;bgcolor="#ffffdd" | Indirectly{{efn|name=a|Generated from the LaTeX output only}};{{Yes}};!;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Visual Expert;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
VSdocman;{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{Yes}};
YARD;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
! HTML;CHM;RTF;PDF;LaTeX;PostScript;man pages;DocBook;XML;ePub;
