Model;Release date;Coverage per room (CPR);Self-charging;Self-cleaning;Sensors;Cleaning algorithm;Surfaces/areas treated;Expansion interfaces;Filter quality[1];
Floor cleaning/vacuuming robots;
Neato Botvac Connected;2016;high;{{Yes}};{{no}};lasers, cliff IR, object IR, dirt, motion,;Laser mapping;low-mid carpet, floors;No;0.3µm not HEPA;
Roomba 980;2015-16;high;{{yes}};{{no}};bump, cliff IR, object IR, motion, dirt;Mapping;low-mid carpet, floors;{{yes}};10µm;
bObsweep;2010;high;{{Yes}};{{no}};bump, cliff IR, object IR, dirt, motion,;{{unk}};low-mid carpet, floors;{{unk}};{{unk}};
Koolvac;{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};
Milagrow BlackCat[2];2011[3];High;{{yes}};{{yes}};Cliff IR, Optical Floor Sensor, Obstacle IR Sensors, UV Bulb, Dirt Detection Sensors, Battery Status Sensors, RF Remote, Gyro and Accelerometer;Zig Zag, Spiral, Wall-to-wall and Auto Random;Tile, Marble, Wood, Low-mid carpets, Linoleum, Glass;{{Yes}};{{unk}};
Milagrow RedHawk[4];2011[5];Very High;{{yes}};{{yes}};Cliff IR, Optical Floor Sensor, Obstacle IR Sensors, UV Bulb, Dirt Detection Sensors, Battery Status Sensors, Gyro and Accelerometer;Zig Zag, Spiral, Wall-to-wall and Auto Random;Tile, Marble, Wood, Low-mid carpets, Linoleum, Glass;{{Yes}};{{unk}};
Milagrow RoboCop[6];2011;High;{{yes}};{{yes}};Cliff IR, Optical Floor Sensor, Obstacle IR Sensors, Dirt Detection Sensors, Battery Status Sensors, Gyro and Accelerometer;Zig Zag, Spiral, Wall-to-wall and Auto Random;Tile, Marble, Wood, Low-mid carpets, Linoleum, Glass;{{Yes}};{{unk}};
Milagrow SuperBot[7];2011;High;{{yes}};{{yes}};Cliff IR, Optical Floor Sensor, Obstacle IR Sensors, Dirt Detection Sensors, Battery Status Sensors, Gyro and Accelerometer;Zig Zag, Spiral, Wall-to-wall and Auto Random;Tile, Marble, Wood, Low-mid carpets, Linoleum, Glass;{{Yes}};{{unk}};
Roboking;Dec 2009;Very High;{{yes}};{{unk}};Vision Camera, Ultrasonic, Cliff IR, PSD IR, Optical Floor Sensor, Gyro and Accelerometer;Cell by Cell, Zig Zag, Spiral and Reservation;low-mid carpet, floors;{{unk}};{{unk}};
Orazio;{{unk}};{{unk}};{{no}};{{unk}};{{unk}};{{unk}};low-mid carpet, floors;{{unk}};{{unk}};
Kärcher RC3000/Siemens sensor cruiser;September 2002;Very high;{{yes}};Automatic dustbin emptying;cliff, bump, IR, dirt, motion, dustbin;simple repertoire;low-mid carpet, floors;{{unk}};{{unk}};
Roboking;Dec 2009;Very High;{{yes}};{{unk}};Vision Camera, Ultrasonic, Cliff IR, PSD IR, Optical Floor Sensor, Gyro and Accelerometer;Cell by Cell, Zig Zag, Spiral and Reservation;low-mid carpet, floors;{{unk}};{{unk}};
Roomba 1st Gen.;October 2002;high;{{no}};{{no}};bump, cliff IR, motion;simple repertoire;low-mid carpet, floors;{{yes}};{{unk}};
Roomba 2nd Gen.;July 2004;high;{{yes}};{{no}};bump, cliff IR, motion, dirt;simple repertoire;low-mid carpet, floors;{{yes}};{{unk}};
Roomba 3rd Gen.;2007;high;{{yes}};{{no}};bump, cliff IR, object IR, motion, dirt;simple repertoire;low-mid carpet, floors;{{yes}};{{unk}};
Trilobite (Discontinued);2001;high;{{yes}};{{no}};ultrasonic, IR, bump, others?;mapping;low to deep pile;{{unk}};{{unk}};
Neato XV-11;February 2010;high;{{yes}};{{no}};laser, cliff, bump;mapping;low-mid carpet, floors;{{unk}};{{unk}};
Floor washing robots;
Scooba;2006;Medium;{{no}};{{no}};cliff, soft-touch, IR;simple repertoire;hard floors;{{yes}};{{unk}};
Scooba 450[8];2014;{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};
