Manager;Web browser integration;Resuming;Download acceleration;URLs per file;Mirror search;Auto dial/hangup;Categorized downloads;Cookies import;Speed limit;File browser;ZIP preview;Add-on support;Scheduler;Checksum verification;Remote Access/Control;Modified Time-stamp preserved;
4K Video Downloader;{{no}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
BitComet;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Download Accelerator Plus;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
DownloadStudio;{{yes}};{{yes}};{{yes}};{{partial|1}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{dunno}};{{dunno}};
DownThemAll!;{{partial|Requires Firefox}};{{yes}};{{yes}};10;{{beta}};{{no}};{{yes}};{{no}};{{beta}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};
FlashGet;{{yes}};{{yes}};{{yes}};{{yes|unknown limit}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial|All downloads}};{{yes}};{{no}};{{yes}};{{N/A}};{{no}};{{no}};{{dunno}};
Folx;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Free Download Manager;{{yes}};{{yes}};{{yes}};{{partial|10}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Free Studio;{{yes}};{{yes}};{{yes}};{{yes|unlimited}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Freemake Video Downloader;{{no}};{{yes}};{{yes}};{{yes|unlimited}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
GetRight;{{yes}};{{yes}};{{partial|10 streams, needs mirrors for >4 streams }};{{yes|unlimited}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Scripting}};{{yes}};{{yes}};{{yes}};{{yes}};
Go!Zilla;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Internet Download Accelerator;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Internet Download Manager;{{yes}};{{yes}};{{yes}};{{yes|1 refreshable}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};
JDownloader;{{yes}};{{yes}};{{yes}};{{partial|1}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{Yes}};{{yes}};{{yes}};{{dunno}};
Jigdo;{{no}};{{yes}};{{dunno}};{{yes|unlimited}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};{{yes}};{{no}};{{no}};
KGet;{{yes|Konqueror, Fx (via Flashgot plugin)}};{{yes}};{{yes}};{{yes|unlimited}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial|BitTorrent Only[10]}};{{yes}};{{no}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};
MiniDM;{{yes}};{{yes}};{{yes}};{{yes|unlimited}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};
MLDonkey;{{partial}};{{yes}};{{no}};{{yes|unlimited}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};
Shareaza;{{yes|IE; Fx and similar: ext. plugin[11]}};{{yes}};{{yes}};{{yes|unlimited}};{{yes}};{{yes|via Scheduler}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};
Manager;Web browser integration;Resuming;Download acceleration;URLs per file;Mirror search;Auto dial/hangup;Categorized downloads;Cookies import;Speed limit;File browser;ZIP preview;Add-on support;Scheduler;Checksum verification;Remote Access/Control;Modified Time-stamp preserved;
