Client;Author/Developer;Operating system;Software license;User Interface;
Alpine;University of Washington;Cross-platform;{{free|Apache License 2.0}};TUI;
Balsa;Stuart Parmenter;Linux;{{free|GNU General Public License}};GUI (GTK+);
Becky! Internet Mail;Rimarts;Windows;{{Proprietary}};GUI;
BlitzMail;Dartmouth College;;{{free|BSD licenses}};GUI;
Citadel;citadel.org;Unix-like;{{free|GNU General Public License}};Webmail;
Claws Mail;the Claws Mail team;Cross-platform;{{free|GNU General Public License}};GUI (GTK+);
Cone;Courier Mail Server developers;Unix-like;{{free|GNU General Public License}};TUI;
Courier (formerly Calypso);Micro Computer Systems, Inc., continued by Rose City Software;Windows;{{proprietary}};GUI;
Elm;Dave D. Taylor, Sydney Weinstein, Bill Pemberton, Michael Elkins, Kari Hurtta;Unix-like;{{free|Elm Mail System GPL}};TUI;
eM Client;eM Client Inc.;Windows;{{proprietary}};GUI;
EmailTray;Internet Promotion Agency S.A.;Windows, Android;{{proprietary}};GUI;
Eudora OSE;Qualcomm;Windows, macOS;{{free}};GUI;
Eureka Email;Sean O'Connor;Windows;{{proprietary}};GUI;
Evolution;The GNOME Project;Unix-like;{{free|GNU General Public License}};GUI (GTK+);
FirstClass;Open Text;;{{proprietary}};GUI;
Forté Agent;Mark Sidell;Windows;{{proprietary}};GUI;
Geary;Yorba Foundation;Unix-like;{{free|GNU LGPL v2.1}};GUI (GTK+);
GNUMail;Ludovic Marcotte and others;Unix-like, macOS;{{free|GNU General Public License}};GUI;
Gnus;Gnus team;Cross-platform;{{free|GNU General Public License}};TUI and GUI;
GroupWise;Micro Focus (formerly Novell);Cross-platform;{{proprietary}};GUI;
Hiri;Hiri;Cross-platform;{{proprietary}};GUI;
i.Scribe, InScribe;Memecode;Windows, macOS, Linux;{{proprietary}};GUI;
IBM Notes (formerly IBM Lotus Notes);IBM Collaboration Solutions (formerly Lotus Software), IBM;Windows, macOS, Linux;{{proprietary}};GUI (Notes), Web (iNotes) and Mobile (Traveler);
IMP;Horde LLC;Cross-platform;{{free|GNU General Public License}};Webmail;
KMail;KDE;Cross-platform;{{free|GNU General Public License}};GUI (Qt);
Mailbird;Mailbird;Windows;{{proprietary}};GUI;
Mailpile;Mailpile;Linux, Windows, macOS;{{free|Affero General Public License and Apache License 2.0}};Webmail;
mailx;{{dunno}};Unix-like;{{free|BSD Licenses}};TUI;
Microsoft Entourage;Microsoft;macOS;{{proprietary}};GUI;
Microsoft Outlook;Microsoft;Windows, macOS;{{proprietary}};GUI;
Mozilla Mail & Newsgroups;Mozilla Foundation;;{{free|Mozilla Public License}};GUI (XUL);
Mozilla Thunderbird;Mozilla Foundation;Cross-platform;{{free|Mozilla Public License}};GUI (XUL);
Mulberry;Cyrus Daboo (formerly Cyrusoft International, Inc./ISAMET);Cross-platform;{{free|Apache License 2.0}};GUI;
Mutt;Michael Elkins;Cross-platform;{{free|GNU General Public License}};TUI (ncurses);
Netscape Messenger;Netscape Communications;;?;GUI;
Netscape Messenger 9;Netscape Communications;;{{free|Mozilla Public License}};GUI;
Nylas Mail;Nylas;macOS, Linux, Windows;{{free|MIT}};GUI;
nmh / MH;RAND Corporation;Unix-like;{{free|BSD Licenses}};CLI;
Opera Mail;Opera Software;Cross-platform;{{proprietary}};GUI;
Outlook Express;Microsoft;Windows;{{proprietary}};GUI;
Pegasus Mail;David Harris;Windows;{{proprietary}};GUI;
Pine;University of Washington;Cross-platform;{{free|Pine License}};TUI;
Pocomail;Poco Systems;Windows;{{proprietary}};GUI;
RoundCube;The RoundCube Team;Cross-platform;{{free|GNU General Public License}};Webmail;
SeaMonkey Mail & Newsgroups;SeaMonkey Council;Cross-platform;{{free|Mozilla Public License}};GUI (XUL);
Spark;Readdle;macOS;{{proprietary}};GUI;
Spicebird;Synovel;Windows, Linux, BSD;{{free|Mozilla Public License}};GUI (XUL);
SquirrelMail;The SquirrelMail Project Team;Cross-platform;{{free|GNU General Public License}};Webmail;
Sylpheed;Hiroyuki Yamamoto;Cross-platform;{{free|GNU General Public License}};GUI (GTK+);
The Bat!;RitLabs;Windows;{{proprietary}};GUI;
Trojitá;KDE;Cross-platform;{{free|GNU General Public License}};GUI (Qt);
Turnpike;Thus PLC (Demon Internet);Windows;{{proprietary}};GUI;
Windows Live Mail;Microsoft;Windows;{{proprietary}};GUI;
Windows Mail;Microsoft;Windows;{{proprietary}};GUI;
YAM;YAM Open Source Team and contributing authors;AmigaOS;{{free|GNU General Public License}};GUI;
Zimbra Desktop;Zimbra;Cross-platform;{{free|Mozilla Public License for server and ZPL for client}};GUI;
Client;Author/Developer;Operating system;Software license;User interface;
