Client;First public Date;First public Version;First stable Date;First stable Version;Latest stable release;
Alpine;2006-11;0.8;2007 December;1.00;2017-03-17, {{Latest stable software release/Alpine}};
Becky! Internet Mail;1996;1;{{dunno}};{{dunno}};2017-08-29, {{Latest stable software release/Becky!}};
Citadel;1987;{{dunno}};1988;1.00;2017-01-15, {{Latest stable software release/Citadel/UX}};
Claws Mail;2001-05;0.4.67;2005-01;1.0.0;2017-08-29, {{Latest stable software release/Claws Mail}};
Cone;2003-05;0.50;2003-05;0.50;2016-08-03, {{Latest stable software release/Cone}};
Courier;2004-06;3.5;discontinued;discontinued;2004-06, {{Latest stable software release/Courier}};
Elm;1986;{{dunno}};1987-03;2;2005-08-18, {{Latest stable software release/Elm}};
eM Client;2007-11;1.0;2007-11;1.0;2017-07-10, {{Latest stable software release/eM Client}};
EmailTray;2010-10;2.0;2011-03;3.11;2012-07-02, {{Latest stable software release/EmailTray}};
Eudora;1988[1];{{dunno}};1988[1];{{dunno}};2006-10-11, {{Latest stable software release/Eudora}};
Eureka Email;2002-11;1.0;2002-11;1.0;2005-03-01, {{Latest stable software release/Eureka Email}};
Evolution;2000-05-11;0.0;2001-12-03;1.0;2017-09-13, {{Latest stable software release/GNOME}};
Forté Agent;{{dunno}};{{dunno}};{{dunno}};{{dunno}};2014-10-20, {{Latest stable software release/Forté Agent}};
Geary;{{date|2012|05|04}};0.1;{{date|2012|05|04}};0.1;2017-10-02, {{Latest stable software release/Geary}};
Gnus;1987[2];{{dunno}};1988-02-01[2];2.0;2015-04-06, {{Latest stable software release/Gnus}};
GroupWise;{{dunno}};{{dunno}};1986;1.0;2014-04-02, {{Latest stable software release/GroupWise}};
Hiri;2014-02;0.4;2016-06;1.0;2017-06-10, {{Latest stable software release/Hiri}};
i.Scribe / InScribe;1999;1.00;{{dunno}};{{dunno}};2014-08-04, {{Latest stable software release/Scribe Mail}};
IBM Lotus Notes;1989;1.0;1989;1.0;2013-03-14, {{Latest stable software release/Lotus Notes}};
IMP;{{dunno}};{{dunno}};1998;1.0;2016-09-06, {{Latest stable software release/IMP}};
KMail;1998-10;Alpha;1999-02;1.0.17;2014-11-11, {{Latest stable software release/KDE Software Compilation 4}};
Mailbird;2013-04-01;Public Beta;{{dunno}};{{dunno}};2016-12-07, {{Latest stable software release/Mailbird}};
Mailpile;2011-11;Alpha;tbd 2017;1.00 RC;2017-08-13 {{Latest stable software release/Mailpile}};
Microsoft Entourage;{{dunno}};{{dunno}};{{dunno}};{{dunno}};2013-03-12, {{Latest stable software release/Microsoft Entourage}};
Microsoft Office Outlook;1997;97;1997;97;2015-09-22, {{Latest stable software release/Microsoft Office Outlook}};
Mozilla Thunderbird;2003-07-28;0.1;2004-12-07;1.0;2017-10-06, {{Latest stable software release/Mozilla Thunderbird}};
Mulberry;1996-09-20;1.0;1996-09-20;1.0;2007-02-21, {{Latest stable software release/Mulberry}};
Mutt;1995;{{dunno}};{{dunno}};{{dunno}};2017-09-02, {{Latest stable software release/Mutt}};
Netscape Messenger;{{dunno}};{{dunno}};{{dunno}};{{dunno}};2007-08-17, {{Latest stable software release/Netscape Mail & Newsgroups}};
Netscape Messenger 9;2007-11-15;9.0a1;discontinued;discontinued;2007-11-15;
nmh / MH;1979;{{dunno}};{{dunno}};{{dunno}};2012-06-11, {{Latest stable software release/MH Message Handling System}};
Opera Mail;1996-09;2.1b1;1996-12;2.1;2016-02-16, {{Latest stable software release/Opera Mail}};
Outlook Express;1996;3.0;{{dunno}};{{dunno}};2004-08-25, {{Latest stable software release/Outlook Express}};
Pegasus Mail;1990;{{dunno}};1990;{{dunno}};2018-06-07, {{Latest stable software release/Pegasus Mail}};
Pine;1992-01-15;2.00;1992-01-15;2.00;2005-09-28, {{Latest stable software release/Pine}};
Pocomail;1999;{{dunno}};{{dunno}};{{dunno}};2009-04-06, {{Latest stable software release/Pocomail}};
RoundCube;2006;0.1-rc1;2014-04-07;1.0.0;2017-04-28, 1.2.5;
SeaMonkey Mail & Newsgroups;2005-09-15;1.0a;2006-01-30;1.0;2017-07-31, {{Latest stable software release/SeaMonkey}};
SquirrelMail;1999-12;0.1;2001-01;1.0;2011-07-12, {{Latest stable software release/SquirrelMail}};
Sylpheed;2000-01;0.1.0;2004-12;1.0.0;2017-06-29, {{Latest stable software release/Sylpheed}};
The Bat!;1997-03;1.0 Beta;1998-03;1.00 Build 1310;2018-03-23, {{Latest stable software release/The Bat!}};
Trojitá;2009-08;0.1;2012-12;0.3.90;2016-06-15, {{Latest stable software release/Trojitá}};
Turnpike;1996 (circa);1.0;1996 (circa);1.0;2006-05-23, {{Latest stable software release/Turnpike}};
Windows Live Mail;2007-11-06;12;2007-11-06;12;2014-11-04, {{Latest stable software release/Windows Live Mail}};
Windows Mail;{{dunno}};{{dunno}};{{dunno}};{{dunno}};2007-01-01,;
YAM;1995;1.0;1995;1.0;2014-04-18, {{Latest stable software release/YAM - Yet Another Mailer}};
Zimbra;2005-11;Beta;2006-03;3.5;2014-12-15, {{Latest stable software release/Zimbra}};
